snapshot_date,geonames_admin1_code,geonames_admin1_id,geonames_name,official_admin_name,official_code6,evidence_checked_at
2026-07-30,22,2038349,Beijing,北京市,110000,2026-07-30
2026-07-30,28,1792943,Tianjin,天津市,120000,2026-07-30
2026-07-30,10,1808773,Hebei,河北省,130000,2026-07-30
2026-07-30,24,1795912,Shanxi,山西省,140000,2026-07-30
2026-07-30,20,2035607,Inner Mongolia,内蒙古自治区,150000,2026-07-30
2026-07-30,19,2036115,Liaoning,辽宁省,210000,2026-07-30
2026-07-30,05,2036500,Jilin,吉林省,220000,2026-07-30
2026-07-30,08,2036965,Heilongjiang,黑龙江省,230000,2026-07-30
2026-07-30,23,1796231,Shanghai,上海市,310000,2026-07-30
2026-07-30,04,1806260,Jiangsu,江苏省,320000,2026-07-30
2026-07-30,02,1784764,Zhejiang,浙江省,330000,2026-07-30
2026-07-30,01,1818058,Anhui,安徽省,340000,2026-07-30
2026-07-30,07,1811017,Fujian,福建省,350000,2026-07-30
2026-07-30,03,1806222,Jiangxi,江西省,360000,2026-07-30
2026-07-30,25,1796328,Shandong,山东省,370000,2026-07-30
2026-07-30,09,1808520,Henan,河南省,410000,2026-07-30
2026-07-30,12,1806949,Hubei,湖北省,420000,2026-07-30
2026-07-30,11,1806691,Hunan,湖南省,430000,2026-07-30
2026-07-30,30,1809935,Guangdong,广东省,440000,2026-07-30
2026-07-30,16,1809867,Guangxi,广西壮族自治区,450000,2026-07-30
2026-07-30,31,1809054,Hainan,海南省,460000,2026-07-30
2026-07-30,33,1814905,Chongqing,重庆市,500000,2026-07-30
2026-07-30,32,1794299,Sichuan,四川省,510000,2026-07-30
2026-07-30,18,1809445,Guizhou,贵州省,520000,2026-07-30
2026-07-30,29,1785694,Yunnan,云南省,530000,2026-07-30
2026-07-30,14,1279685,Tibet,西藏自治区,540000,2026-07-30
2026-07-30,26,1796480,Shaanxi,陕西省,610000,2026-07-30
2026-07-30,15,1810676,Gansu,甘肃省,620000,2026-07-30
2026-07-30,06,1280239,Qinghai,青海省,630000,2026-07-30
2026-07-30,21,1799355,Ningxia,宁夏回族自治区,640000,2026-07-30
2026-07-30,13,1529047,Xinjiang,新疆维吾尔自治区,650000,2026-07-30
