geonameid,status,page_path,canonical_geonameid,canonical_page_path,reason_code,reason,evidence_url,reviewed_by,reviewed_at,quality_gate_version
1886760,researched,destinations/中国/江苏省/苏州市.md,,,,,,cyrilggg,2026-07-30,1
1790630,researched,destinations/中国/陕西省/西安市.md,,,,,,codex,2026-07-30,1
1814906,researched,destinations/中国/重庆市/重庆市.md,,,,,,codex,2026-07-30,1
1809858,researched,destinations/中国/广东省/广州市.md,,,,,,codex,2026-07-30,1
1809498,researched,destinations/中国/广西壮族自治区/桂林市.md,,,,,,codex,2026-07-30,1
1816670,researched,destinations/中国/北京市/北京市.md,,,,,,codex,2026-07-30,1
1792359,researched,destinations/中国/安徽省/黄山市.md,,,,,,codex,2026-07-30,1
1796556,researched,destinations/中国/海南省/三亚市.md,,,,,,codex,2026-07-30,1
1280737,researched,destinations/中国/西藏自治区/拉萨市.md,,,,,,codex,2026-07-30,1
1529531,researched,destinations/中国/甘肃省/敦煌市.md,,,,,,codex,2026-07-30,1
1796236,researched,destinations/中国/上海市/上海市.md,,,,,,codex,2026-07-30,1
1792947,researched,destinations/中国/天津市/天津市.md,,,,,,codex,2026-07-30,1
1799962,researched,destinations/中国/江苏省/南京市.md,,,,,,codex,2026-07-30,1
1808926,researched,destinations/中国/浙江省/杭州市.md,,,,,,codex,2026-07-30,1
1815286,researched,destinations/中国/四川省/成都市.md,,,,,,codex,2026-07-30,1
1791247,researched,destinations/中国/湖北省/武汉市.md,,,,,,codex,2026-07-30,1
1797929,researched,destinations/中国/山东省/青岛市.md,,,,,,codex,2026-07-30,1
1815577,researched,destinations/中国/湖南省/长沙市.md,,,,,,codex,2026-07-30,1
1795565,researched,destinations/中国/广东省/深圳市.md,,,,,,codex,2026-07-30,1
1804651,researched,destinations/中国/云南省/昆明市.md,,,,,,codex,2026-07-30,1
2037013,researched,destinations/中国/黑龙江省/哈尔滨市.md,,,,,,codex,2026-07-30,1
1799869,researched,destinations/中国/广西壮族自治区/南宁市.md,,,,,,codex,2026-07-30,1
1790645,researched,destinations/中国/福建省/厦门市.md,,,,,,codex,2026-07-30,1
1529102,researched,destinations/中国/新疆维吾尔自治区/乌鲁木齐市.md,,,,,,codex,2026-07-30,1
2034937,researched,destinations/中国/辽宁省/沈阳市.md,,,,,,codex,2026-07-30,1
1808722,researched,destinations/中国/安徽省/合肥市.md,,,,,,codex,2026-07-30,1
2038180,researched,destinations/中国/吉林省/长春市.md,,,,,,codex,2026-07-30,1
1805753,researched,destinations/中国/山东省/济南市.md,,,,,,codex,2026-07-30,1
1810821,researched,destinations/中国/福建省/福州市.md,,,,,,codex,2026-07-30,1
1795270,researched,destinations/中国/河北省/石家庄市.md,,,,,,codex,2026-07-30,1
1793511,researched,destinations/中国/山西省/太原市.md,,,,,,codex,2026-07-30,1
1800163,researched,destinations/中国/江西省/南昌市.md,,,,,,codex,2026-07-30,1
1809461,researched,destinations/中国/贵州省/贵阳市.md,,,,,,codex,2026-07-30,1
2036892,researched,destinations/中国/内蒙古自治区/呼和浩特市.md,,,,,,codex,2026-07-30,1
1809078,researched,destinations/中国/海南省/海口市.md,,,,,,codex,2026-07-30,1
1804430,researched,destinations/中国/甘肃省/兰州市.md,,,,,,codex,2026-07-30,1
1788852,researched,destinations/中国/青海省/西宁市.md,,,,,,codex,2026-07-30,1
1786657,researched,destinations/中国/宁夏回族自治区/银川市.md,,,,,,codex,2026-07-30,1
1790923,researched,destinations/中国/江苏省/无锡市.md,,,,,,codex,2026-07-30,1
1814087,researched,destinations/中国/辽宁省/大连市.md,,,,,,codex,2026-07-30,1
1799397,researched,destinations/中国/浙江省/宁波市.md,,,,,,codex,2026-07-30,1
1812545,researched,destinations/中国/广东省/东莞市.md,,,,,,codex,2026-07-30,1
1784658,researched,destinations/中国/河南省/郑州市.md,,,,,,codex,2026-07-30,1
1811103,researched,destinations/中国/广东省/佛山市.md,,,,,,codex,2026-07-30,1
1790842,researched,destinations/中国/宁夏回族自治区/吴忠市.md,,,,,,codex,2026-07-30,1
6986104,researched,destinations/中国/广东省/中山市.md,,,,,,codex,2026-07-30,1
1795940,researched,destinations/中国/广东省/汕头市.md,,,,,,codex,2026-07-30,1
1794903,researched,destinations/中国/湖北省/十堰市.md,,,,,,codex,2026-07-30,1
1793346,researched,destinations/中国/河北省/唐山市.md,,,,,,codex,2026-07-30,1
13512505,researched,destinations/中国/山西省/吕梁市.md,,,,,,codex,2026-07-30,1
1815456,researched,destinations/中国/江苏省/常州市.md,,,,,,codex,2026-07-30,1
1785286,researched,destinations/中国/山东省/淄博市.md,,,,,,codex,2026-07-30,1
1803318,researched,destinations/中国/山东省/临沂市.md,,,,,,codex,2026-07-30,1
1806776,researched,destinations/中国/广东省/惠州市.md,,,,,,codex,2026-07-30,1
1816971,researched,destinations/中国/河北省/保定市.md,,,,,,codex,2026-07-30,1
11995100,researched,destinations/中国/四川省/巴中市.md,,,,,,codex,2026-07-30,1
1791388,researched,destinations/中国/浙江省/温州市.md,,,,,,codex,2026-07-30,1
1797873,researched,destinations/中国/江苏省/淮安市.md,,,,,,codex,2026-07-30,1
1785725,researched,destinations/中国/广东省/云浮市.md,,,,,,codex,2026-07-30,1
1795855,researched,destinations/中国/浙江省/绍兴市.md,,,,,,codex,2026-07-30,1
1799722,researched,destinations/中国/江苏省/南通市.md,,,,,,codex,2026-07-30,1
1787093,researched,destinations/中国/山东省/烟台市.md,,,,,,codex,2026-07-30,1
2038432,researched,destinations/中国/内蒙古自治区/包头市.md,,,,,,codex,2026-07-30,1
8347664,researched,destinations/中国/内蒙古自治区/鄂尔多斯市.md,,,,,,codex,2026-07-30,1
1790437,researched,destinations/中国/广东省/珠海市.md,,,,,,codex,2026-07-30,1
12359313,researched,destinations/中国/甘肃省/庆阳市.md,,,,,,codex,2026-07-30,1
1791681,researched,destinations/中国/山东省/潍坊市.md,,,,,,codex,2026-07-30,1
1783621,researched,destinations/中国/贵州省/遵义市.md,,,,,,codex,2026-07-30,1
10859300,researched,destinations/中国/江苏省/连云港市.md,,,,,,codex,2026-07-30,1
1810638,researched,destinations/中国/江西省/赣州市.md,,,,,,codex,2026-07-30,1
1797121,researched,destinations/中国/广东省/揭阳市.md,,,,,,codex,2026-07-30,1
2037799,researched,destinations/中国/山西省/大同市.md,,,,,,codex,2026-07-30,1
2036502,researched,destinations/中国/吉林省/吉林市.md,,,,,,codex,2026-07-30,1
1799629,researched,destinations/中国/河南省/南阳市.md,,,,,,codex,2026-07-30,1
1796134,researched,destinations/中国/河南省/商丘市.md,,,,,,codex,2026-07-30,1
1806299,researched,destinations/中国/广东省/江门市.md,,,,,,codex,2026-07-30,1
1800146,researched,destinations/中国/四川省/南充市.md,,,,,,codex,2026-07-30,1
