geonameid,name,asciiname,country_code,admin1_code,admin2_code,admin3_code,admin4_code,feature_class,feature_code,population,latitude,longitude,timezone,geonames_modified_at,in_cities15000,in_cities5000,in_cities1000,in_cities500,assigned_phase
1279423,Zongzhai,Zongzhai,CN,15,6209,,,P,PPLA4,0,39.61667,98.6,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1279428,Zongjia,Zongjia,CN,06,6328,,,P,PPLA4,0,36.25154,96.949,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1279429,Zongga,Zongga,CN,14,5402,,,P,PPLA3,0,29,85.25,Asia/Shanghai,2024-07-12,false,false,true,true,cities1000
1279435,Zito,Zito,CN,14,5403,,,P,PPLA3,0,30.73893,95.83613,Asia/Shanghai,2024-07-12,false,false,true,true,cities1000
1279449,Zhugkyung,Zhugkyung,CN,06,6328,,,P,PPLA4,0,37.59776,99.41418,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1279451,Zhowagoin,Zhowagoin,CN,14,5404,,,P,PPLA3,0,28.6591,97.45065,Asia/Shanghai,2024-07-12,false,false,true,true,cities1000
1279462,Zhoinda,Zhoinda,CN,06,6327,,,P,PPLA4,0,33.20002,97.0305,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1279464,Zhiqu,Zhiqu,CN,06,6327,,,P,PPLA4,0,34.30825,95.50335,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1279471,Zhefang,Zhefang,CN,29,5331,,,P,PPLA4,51477,24.26667,98.28333,Asia/Shanghai,2021-10-15,true,true,true,true,cities15000
1279472,Zhedao,Zhedao,CN,29,5331,,,P,PPLA3,0,24.81934,98.27627,Asia/Shanghai,2021-09-20,false,false,true,true,cities1000
1279485,Zhangfeng,Zhangfeng,CN,29,5331,,,P,PPLA3,53370,24.19064,97.80191,Asia/Shanghai,2024-07-12,true,true,true,true,cities15000
1279489,Zhamog,Zhamog,CN,14,5404,,,P,PPLA3,0,29.86653,95.75903,Asia/Shanghai,2024-07-12,false,false,true,true,cities1000
1279491,Zham,Zham,CN,14,5402,,,P,PPLA4,0,27.98333,85.98333,Asia/Shanghai,2024-07-12,false,false,false,true,cities500
1279497,Zhadong,Zhadong,CN,14,5402,,,P,PPLA3,0,29.65,84.16667,Asia/Shanghai,2024-07-12,false,false,true,true,cities1000
1279501,Zepu,Zepu,CN,13,6531,,,P,PPLA3,51691,38.18867,77.27075,Asia/Urumqi,2022-03-08,true,true,true,true,cities15000
1279503,Xuji,Xuji,CN,06,6328,,,P,PPLA4,0,37.34913,97.83299,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1279509,Zaring,Zaring,CN,14,5406,,,P,PPLA4,0,31.98568,91.70785,Asia/Shanghai,2024-07-12,false,false,false,true,cities500
1279517,Zaqing,Zaqing,CN,06,6327,,,P,PPLA4,0,33.068,95.16901,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1279524,Zangguy,Zangguy,CN,13,6532,,,P,PPL,13027,37.28333,78.76667,Asia/Urumqi,2021-09-20,false,true,true,true,cities5000
1279528,Zala,Zala,CN,14,5406,,,P,PPLA4,0,31.76446,93.60966,Asia/Shanghai,2024-07-12,false,false,false,true,cities500
1279531,Zaindainxoi,Zaindainxoi,CN,14,5406,,,P,PPLA3,0,31.85,93.66667,Asia/Shanghai,2024-07-12,false,false,true,true,cities1000
1279536,Zadoi,Zadoi,CN,06,6327,,,P,PPLA4,0,33.76962,96.74201,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1279548,Yumendong,Yumendong,CN,15,6209,,,P,PPLA4,0,39.8,97.9,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1279552,Yukuriawat,Yukuriawat,CN,13,6531,,,P,PPLA4,0,39.08335,77.56662,Asia/Urumqi,2021-09-20,false,false,false,true,cities500
1279553,Zibihu,Zibihu,CN,29,5329,,,P,PPLA3,56246,26.1143,99.95267,Asia/Shanghai,2024-07-12,true,true,true,true,cities15000
1279554,Yege,Yege,CN,06,6327,,,P,PPLA4,0,34.57502,95.34226,Asia/Shanghai,2021-09-20,false,false,false,true,cities500
1279564,Yuepuhu,Yuepuhu,CN,13,6531,,,P,PPLA3,0,39.23503,76.76819,Asia/Urumqi,2025-02-18,false,false,true,true,cities1000
1279575,Yingpan,Yingpan,CN,29,5333,,,P,PPL,37406,26.45,99.15,Asia/Shanghai,2021-10-19,true,true,true,true,cities15000
1279586,Yeyik,Yeyik,CN,13,6532,,,P,PPLA4,0,36.66667,83.23333,Asia/Urumqi,2021-09-20,false,false,false,true,cities500
1279587,Yeniugou,Yeniugou,CN,06,6322,,,P,PPLA4,2747,38.42731,99.51866,Asia/Shanghai,2021-12-17,false,false,true,true,cities1000
1279590,Yengisar,Yengisar,CN,13,6531,,,P,PPL,31113,38.92583,76.17139,Asia/Urumqi,2025-10-10,true,true,true,true,cities15000
1279592,Yanduo,Yanduo,CN,14,5403,,,P,PPLA3,0,30.65722,97.5731,Asia/Shanghai,2024-07-13,false,false,true,true,cities1000
1279602,Qaghiliq,Qaghiliq,CN,13,6531,1279601,,P,PPLA3,0,37.88256,77.41255,Asia/Urumqi,2025-05-07,false,false,true,true,cities1000
