administrative_code,name,city_level,source_type,province_administrative_code,province_name,prefecture_administrative_code,prefecture_name,source_cutoff,source_url
110000,北京市,direct_municipality,直辖市,110000,北京市,,,2025-12-31,https://dmfw.mca.gov.cn/xzqh/getList?code=11&trimCode=true&maxLevel=3
120000,天津市,direct_municipality,直辖市,120000,天津市,,,2025-12-31,https://dmfw.mca.gov.cn/xzqh/getList?code=12&trimCode=true&maxLevel=3
130100,石家庄市,prefecture_level_city,地级市,130000,河北省,,,2025-12-31,https://dmfw.mca.gov.cn/xzqh/getList?code=13&trimCode=true&maxLevel=3
130181,辛集市,county_level_city,县级市,130000,河北省,130100,石家庄市,2025-12-31,https://dmfw.mca.gov.cn/xzqh/getList?code=13&trimCode=true&maxLevel=3
130183,晋州市,county_level_city,县级市,130000,河北省,130100,石家庄市,2025-12-31,https://dmfw.mca.gov.cn/xzqh/getList?code=13&trimCode=true&maxLevel=3
130184,新乐市,county_level_city,县级市,130000,河北省,130100,石家庄市,2025-12-31,https://dmfw.mca.gov.cn/xzqh/getList?code=13&trimCode=true&maxLevel=3
130200,唐山市,prefecture_level_city,地级市,130000,河北省,,,2025-12-31,https://dmfw.mca.gov.cn/xzqh/getList?code=13&trimCode=true&maxLevel=3
130281,遵化市,county_level_city,县级市,130000,河北省,130200,唐山市,2025-12-31,https://dmfw.mca.gov.cn/xzqh/getList?code=13&trimCode=true&maxLevel=3
130283,迁安市,county_level_city,县级市,130000,河北省,130200,唐山市,2025-12-31,https://dmfw.mca.gov.cn/xzqh/getList?code=13&trimCode=true&maxLevel=3
130284,滦州市,county_level_city,县级市,130000,河北省,130200,唐山市,2025-12-31,https://dmfw.mca.gov.cn/xzqh/getList?code=13&trimCode=true&maxLevel=3
130300,秦皇岛市,prefecture_level_city,地级市,130000,河北省,,,2025-12-31,https://dmfw.mca.gov.cn/xzqh/getList?code=13&trimCode=true&maxLevel=3
130400,邯郸市,prefecture_level_city,地级市,130000,河北省,,,2025-12-31,https://dmfw.mca.gov.cn/xzqh/getList?code=13&trimCode=true&maxLevel=3
130481,武安市,county_level_city,县级市,130000,河北省,130400,邯郸市,2025-12-31,https://dmfw.mca.gov.cn/xzqh/getList?code=13&trimCode=true&maxLevel=3
