administrative_code,name,longitude,latitude
110000,北京市,116.401145,39.902776
120000,天津市,117.195212,39.084312
130100,石家庄市,114.509003,38.041388
130181,辛集市,115.211536,37.942521
130183,晋州市,115.037946,38.033139
130184,新乐市,114.677803,38.343398
130200,唐山市,118.173871,39.629372
130281,遵化市,117.959644,40.187943
130283,迁安市,118.694985,39.997628
130284,滦州市,118.697003,39.739743
130300,秦皇岛市,119.514248,39.887014
130400,邯郸市,114.533423,36.625770
130481,武安市,114.197590,36.697326
130500,邢台市,114.491486,37.059735
130581,南宫市,115.402416,37.358050
130582,沙河市,114.497134,36.855218
130600,保定市,115.458204,38.873575
130681,涿州市,115.968447,39.484618
130682,定州市,114.984272,38.516128
130683,安国市,115.320836,38.418252
130684,高碑店市,115.867710,39.326329
130700,张家口市,114.879785,40.767647
130800,承德市,117.956422,40.951361
130881,平泉市,118.695861,41.016763
130900,沧州市,116.832925,38.304117
130981,泊头市,116.572743,38.083740
130982,任丘市,116.078239,38.684424
130983,黄骅市,117.323706,38.371486
130984,河间市,116.093220,38.445811
131000,廊坊市,116.677631,39.537203
131081,霸州市,116.385345,39.124084
131082,三河市,117.071752,39.981519
131100,衡水市,115.663100,37.738728
131182,深州市,115.553697,38.000993
140100,太原市,112.543359,37.869927
140181,古交市,112.168436,37.906683
140200,大同市,113.359578,40.095791
140300,阳泉市,113.574024,37.856591
140400,长治市,113.110730,36.194976
140500,晋城市,112.845914,35.491730
140581,高平市,112.917676,35.799065
140600,朔州市,112.426060,39.330573
140681,怀仁市,113.125959,39.819222
140700,晋中市,112.746141,37.687325
140781,介休市,111.910243,37.027309
140800,运城市,111.001238,35.027408
140881,永济市,110.442271,34.867306
140882,河津市,110.706495,35.596633
140900,忻州市,112.727581,38.415377
140981,原平市,112.704454,38.730772
141000,临汾市,111.513093,36.088705
141081,侯马市,111.365639,35.619163
141082,霍州市,111.748721,36.568944
141100,吕梁市,111.138178,37.518219
141181,孝义市,111.772498,37.145580
141182,汾阳市,111.764374,37.260948
150100,呼和浩特市,111.741896,40.840680
150200,包头市,109.947464,40.620210
150300,乌海市,106.789390,39.654105
150400,赤峰市,118.881442,42.254941
150500,通辽市,122.237756,43.651204
150581,霍林郭勒市,119.674586,45.531728
150600,鄂尔多斯市,109.776762,39.607727
150700,呼伦贝尔市,119.771145,49.164607
150781,满洲里市,117.370835,49.596652
150782,牙克石市,120.705081,49.284000
150783,扎兰屯市,122.702188,48.026313
150784,额尔古纳市,120.173291,50.241552
150785,根河市,121.513264,50.778446
150800,巴彦淖尔市,107.382173,40.741540
150900,乌兰察布市,113.124960,40.992758
150981,丰镇市,113.102666,40.435615
152201,乌兰浩特市,122.087095,46.070179
152202,阿尔山市,119.937005,47.175552
152501,二连浩特市,111.942471,43.640888
152502,锡林浩特市,116.078922,43.931178
210100,沈阳市,123.458631,41.675224
210181,新民市,122.830599,41.983626
210200,大连市,121.609843,38.913185
210281,瓦房店市,121.974416,39.625757
210283,庄河市,122.960686,39.679576
210300,鞍山市,122.988684,41.106320
210381,海城市,122.679996,40.880879
210400,抚顺市,123.951278,41.879155
210500,本溪市,123.760783,41.292033
210600,丹东市,124.348648,39.999101
210681,东港市,124.146803,39.861671
210682,凤城市,124.060949,40.450532
