administrative_code,name,admin_area,city_level,geonames_id,longitude,latitude
01100,札幌市,北海道,municipal_city,2128291,141.350000,43.066670
01202,函館市,北海道,municipal_city,2130184,140.925970,41.837540
01203,小樽市,北海道,municipal_city,2128570,141.025720,43.156280
01204,旭川市,北海道,municipal_city,2130628,142.364730,43.770660
01205,室蘭市,北海道,municipal_city,2129098,140.988450,42.366590
01206,釧路市,北海道,municipal_city,2129370,144.066470,43.159100
01207,帯広市,北海道,municipal_city,2128812,143.030610,42.757360
01208,北見市,北海道,municipal_city,2129532,143.715200,43.851600
01209,夕張市,北海道,municipal_city,2127415,142.110650,43.043360
01210,岩見沢市,北海道,municipal_city,2129869,141.797440,43.180860
01211,網走市,北海道,municipal_city,2130736,144.210510,43.985650
01212,留萌市,北海道,municipal_city,2128378,141.755670,43.885600
01213,苫小牧市,北海道,municipal_city,2127732,141.579480,42.682260
01214,稚内市,北海道,municipal_city,2127513,141.828310,45.332430
01215,美唄市,北海道,municipal_city,2130533,141.881840,43.338050
01216,芦別市,北海道,municipal_city,2130609,142.201610,43.425420
01217,江別市,北海道,municipal_city,2130402,141.543910,43.107290
01218,赤平市,北海道,municipal_city,2130704,142.062810,43.567900
01219,紋別市,北海道,municipal_city,7429515,143.292930,44.203230
01220,士別市,北海道,municipal_city,2128201,142.540540,44.115220
01221,名寄市,北海道,municipal_city,7429516,142.459320,44.339510
01222,三笠市,北海道,municipal_city,8301405,141.992730,43.239760
01223,根室市,北海道,municipal_city,2128971,145.616670,43.333330
01224,千歳市,北海道,municipal_city,2130449,141.509510,42.800480
01225,滝川市,北海道,municipal_city,2127895,141.949880,43.608370
01226,砂川市,北海道,municipal_city,2127954,141.932740,43.503280
01227,歌志内市,北海道,municipal_city,2127544,142.038780,43.493660
01228,深川市,北海道,municipal_city,2130331,142.099230,43.793340
01229,富良野市,北海道,municipal_city,2130304,142.473490,43.281820
01230,登別市,北海道,municipal_city,2128892,141.075780,42.465650
