administrative_code,name,admin_area,city_level,geonames_id,longitude,latitude
1871859,平壤市,朝鲜,directly_governed_city,1871859,125.754320,39.033850
2042645,罗先市,朝鲜,special_city,2042645,130.283080,42.255590
1873757,南浦市,朝鲜,special_city,1873757,125.407780,38.737500
1876373,开城市,朝鲜,special_city,1876373,126.554440,37.970830
2043572,江界市,慈江道,provincial_city,2043572,126.585230,40.969460
2044013,熙川市,慈江道,provincial_city,2044013,126.213760,40.118560
2042893,满浦市,慈江道,provincial_city,2042893,126.289440,41.154720
2044757,清津市,咸镜北道,provincial_city,2044757,129.775830,41.795560
2044091,会宁市,咸镜北道,provincial_city,2044091,129.746010,42.441130
2043476,金策市,咸镜北道,provincial_city,2043476,129.125530,40.774290
1877449,咸兴市,咸镜南道,provincial_city,1877449,127.536390,39.918330
2040959,新浦市,咸镜南道,provincial_city,2040959,128.194300,40.039710
2040062,端川市,咸镜南道,provincial_city,2040062,128.900280,40.459440
1870883,沙里院市,黄海北道,provincial_city,1870883,125.755830,38.507220
1869446,松林市,黄海北道,provincial_city,1869446,125.640960,38.763490
1877615,海州市,黄海南道,provincial_city,1877615,125.714720,38.040560
1866923,元山市,江原道,provincial_city,1866923,127.443610,39.152780
1874228,文川市,江原道,provincial_city,1874228,127.307780,39.267500
2040893,新义州市,平安北道,provincial_city,2040893,124.398060,40.100560
1878389,定州市,平安北道,provincial_city,1878389,125.213550,39.692520
1875107,龟城市,平安北道,provincial_city,1875107,125.252900,39.979690
1871871,平城市,平安南道,provincial_city,1871871,125.871940,39.246390
1879613,安州市,平安南道,provincial_city,1879613,125.664720,39.617780
1876401,价川市,平安南道,provincial_city,1876401,125.893330,39.700560
1869012,顺川市,平安南道,provincial_city,1869012,125.932780,39.431670
1868144,德川市,平安南道,provincial_city,1868144,126.257980,39.752610
2043837,惠山市,两江道,provincial_city,2043837,128.177780,41.401670
2041442,三池渊市,两江道,provincial_city,2041442,128.318860,41.803560
