administrative_code,name,admin_area,city_level,geonames_id,longitude,latitude
11000,首尔市,韩国,special_city,1835848,126.978400,37.566000
21000,釜山市,韩国,metropolitan_city,1838524,129.030040,35.101680
22000,大邱市,韩国,metropolitan_city,1835329,128.591110,35.870280
23000,仁川市,韩国,metropolitan_city,1843564,126.705150,37.456460
jngj,光州市,韩国,integrated_special_city,1841811,126.915560,35.154720
25000,大田市,韩国,metropolitan_city,1835235,127.384930,36.349130
26000,蔚山市,韩国,metropolitan_city,1833747,129.316670,35.537220
29000,世宗市,韩国,special_self_governing_city,11523293,127.292230,36.592450
31010,水原市,京畿道,municipal_city,1835551,127.009930,37.285860
31020,城南市,京畿道,municipal_city,1836091,127.128770,37.418750
31030,议政府市,京畿道,municipal_city,1833787,127.047700,37.738650
31040,安养市,京畿道,municipal_city,1846894,126.928740,37.402820
31050,富川市,京畿道,municipal_city,1838715,126.766250,37.504400
31060,光明市,京畿道,municipal_city,8393794,126.864990,37.444350
31070,平泽市,京畿道,municipal_city,1838341,126.987480,37.013720
31080,东豆川市,京畿道,municipal_city,1834308,127.068970,37.918890
31090,安山市,京畿道,municipal_city,8393792,126.830480,37.316930
31100,高阳市,京畿道,municipal_city,1842486,126.833330,37.666670
31110,果川市,京畿道,municipal_city,8393798,126.999890,37.434070
31120,九里市,京畿道,municipal_city,8393803,127.133800,37.601200
31130,南杨州市,京畿道,municipal_city,1840374,127.240100,37.652170
31140,乌山市,京畿道,municipal_city,8393795,127.052460,37.162300
31150,始兴市,京畿道,municipal_city,1837364,126.788800,37.390670
31160,军浦市,京畿道,municipal_city,8393793,126.921490,37.342610
31170,义王市,京畿道,municipal_city,8393796,126.975750,37.345000
31180,河南市,京畿道,municipal_city,8393790,127.212500,37.538950
31190,龙仁市,京畿道,municipal_city,1832426,127.177950,37.238250
31200,坡州市,京畿道,municipal_city,1839430,126.777720,37.759520
31210,利川市,京畿道,municipal_city,1843700,127.436920,37.276420
31220,安城市,京畿道,municipal_city,1846909,127.300570,37.037890
31230,金浦市,京畿道,municipal_city,1842170,126.692700,37.636370
31240,华城市,京畿道,municipal_city,8604734,126.829090,37.200250
31250,广州市,京畿道,municipal_city,1841809,127.298550,37.403290
31260,杨州市,京畿道,municipal_city,8393804,127.046000,37.817320
31270,抱川市,京畿道,municipal_city,1839102,127.200280,37.893700
31280,骊州市,京畿道,municipal_city,1832742,127.636680,37.295620
32010,春川市,江原特别自治道,municipal_city,1845134,127.727760,37.880480
32020,原州市,江原特别自治道,municipal_city,1833099,127.921320,37.321040
32030,江陵市,江原特别自治道,municipal_city,1843136,128.878250,37.751900
32040,东海市,江原特别自治道,municipal_city,1834262,129.113570,37.523450
32050,太白市,江原特别自治道,municipal_city,8393711,128.985700,37.165200
32060,束草市,江原特别自治道,municipal_city,1836534,128.592750,38.207250
32070,三陟市,江原特别自治道,municipal_city,8604737,129.166260,37.450130
33010,清州市,忠清北道,municipal_city,1845599,127.467810,36.635350
33020,忠州市,忠清北道,municipal_city,1845032,127.877130,37.017910
33030,堤川市,忠清北道,municipal_city,1846277,128.140650,37.062060
34010,天安市,忠清南道,municipal_city,1845757,127.194310,36.804880
34020,公州市,忠清南道,municipal_city,1842615,127.083330,36.500000
34030,保宁市,忠清南道,municipal_city,1838749,126.594440,36.356490
34040,牙山市,忠清南道,municipal_city,1846848,126.977690,36.807910
34050,瑞山市,忠清南道,municipal_city,1835889,126.465680,36.785180
34060,论山市,忠清南道,municipal_city,1840209,127.121430,36.197740
34070,鸡龙市,忠清南道,municipal_city,8419251,127.225750,36.293040
34080,唐津市,忠清南道,municipal_city,1834884,126.666670,36.916670
35010,全州市,全北特别自治道,municipal_city,1845453,127.150000,35.833330
35020,群山市,全北特别自治道,municipal_city,1842023,126.683380,35.935830
35030,益山市,全北特别自治道,municipal_city,1843663,127.009300,36.024430
35040,井邑市,全北特别自治道,municipal_city,1845501,126.916670,35.600000
35050,南原市,全北特别自治道,municipal_city,1840378,127.380070,35.448210
35060,金堤市,全北特别自治道,municipal_city,1842211,126.907550,35.807010
36010,木浦市,全南光州统合特别市,municipal_city,1841063,126.391790,34.812260
36020,丽水市,全南光州统合特别市,municipal_city,1832757,127.642530,34.776470
36030,顺天市,全南光州统合特别市,municipal_city,1835646,127.460960,34.971620
36040,罗州市,全南光州统合特别市,municipal_city,1840535,126.673620,35.056830
36060,光阳市,全南光州统合特别市,municipal_city,1841773,127.609490,35.040070
37010,浦项市,庆尚北道,municipal_city,1839068,129.366670,36.083330
37020,庆州市,庆尚北道,municipal_city,1833276,129.250000,35.833330
37030,金泉市,庆尚北道,municipal_city,8604733,128.111570,36.144810
37040,安东市,庆尚北道,municipal_city,1846980,128.716670,36.566670
37050,龟尾市,庆尚北道,municipal_city,1842218,128.354420,36.210090
37060,荣州市,庆尚北道,municipal_city,1844834,128.586310,36.874590
37070,永川市,庆尚北道,municipal_city,1832611,129.000000,36.000000
37080,尚州市,庆尚北道,municipal_city,1837700,128.166670,36.416670
37090,闻庆市,庆尚北道,municipal_city,8604735,128.186240,36.587550
37100,庆山市,庆尚北道,municipal_city,1841596,128.800000,35.833330
38030,晋州市,庆尚南道,municipal_city,1846050,128.124080,35.204450
38050,统营市,庆尚南道,municipal_city,1845017,128.397090,34.873600
38060,泗川市,庆尚南道,municipal_city,8604736,128.068570,35.003850
38070,金海市,庆尚南道,municipal_city,1842942,128.866670,35.250000
38080,密阳市,庆尚南道,municipal_city,1841147,128.786900,35.497500
38090,巨济市,庆尚南道,municipal_city,1842752,128.666660,34.900000
38100,梁山市,庆尚南道,municipal_city,1832824,129.036120,35.398660
38110,昌原市,庆尚南道,municipal_city,1846322,128.651520,35.275330
39010,济州市,济州特别自治道,administrative_city,1846261,126.539280,33.455780
39020,西归浦市,济州特别自治道,administrative_city,1836630,126.497480,33.293070
