administrative_code,name,admin_area,city_level,geonames_id,feature_code,population,longitude,latitude
290594,Umm Al Quwain City,乌姆盖万酋长国,emirate_capital,290594,PPLA,59098,55.555170,25.564730
291074,Ras Al Khaimah,哈伊马角酋长国,emirate_capital,291074,PPLA,351943,55.943200,25.789530
291794,Al Jazīrah al Ḩamrā’,哈伊马角酋长国,populated_place_5000_plus,291794,PPL,10190,55.807720,25.709100
292692,Ar Rams,哈伊马角酋长国,populated_place_5000_plus,292692,PPL,13000,56.018620,25.876580
292878,Fujairah,富查伊拉酋长国,emirate_capital,292878,PPLA,118933,56.341410,25.116410
292231,Dibba Al-Fujairah,富查伊拉酋长国,populated_place_5000_plus,292231,PPL,30000,56.261760,25.592460
292672,Sharjah,沙迦酋长国,emirate_capital,292672,PPLA,1800000,55.412210,25.334200
292953,Adh Dhayd,沙迦酋长国,populated_place_5000_plus,292953,PPL,20165,55.881570,25.288120
13118445,Al Madam,沙迦酋长国,populated_place_5000_plus,13118445,PPL,8652,55.777810,24.973550
292239,Dibba Al-Hisn,沙迦酋长国,populated_place_5000_plus,292239,PPL,26395,56.272910,25.619550
291763,Kalbā,沙迦酋长国,populated_place_5000_plus,291763,PPL,37545,56.354220,25.051300
291696,Khawr Fakkān,沙迦酋长国,populated_place_5000_plus,291696,PPL,40677,56.341990,25.331320
292223,Dubai,迪拜酋长国,emirate_capital,292223,PPLA,3790000,55.309270,25.077250
13118439,Lahbab,迪拜酋长国,populated_place_5000_plus,13118439,PPL,53079,55.591350,25.037630
292862,Ḩattā,迪拜酋长国,populated_place_5000_plus,292862,PPL,15324,56.127260,24.800730
292968,Abu Dhabi,阿布扎比酋长国,country_capital,292968,PPLC,1807000,54.396960,24.451180
292913,Al Ain City,阿布扎比酋长国,populated_place_5000_plus,292913,PPL,846747,55.760560,24.191670
292688,Ar Ruways,阿布扎比酋长国,populated_place_5000_plus,292688,PPL,25000,52.730560,24.110280
291279,Muzayri‘,阿布扎比酋长国,populated_place_5000_plus,291279,PPL,10000,53.788100,23.143550
413256,Suwayḩān,阿布扎比酋长国,populated_place_5000_plus,413256,PPL,5403,55.337150,24.462350
291580,Zayed City,阿布扎比酋长国,populated_place_5000_plus,291580,PPL,63482,53.705220,23.654160
292932,Ajman,阿治曼酋长国,emirate_capital,292932,PPLA,490035,55.478780,25.401770
292799,Al Manāmah,阿治曼酋长国,populated_place_5000_plus,292799,PPL,5823,56.021880,25.329900
291489,Maşfūţ,阿治曼酋长国,populated_place_5000_plus,291489,PPL,8988,56.106570,24.810890
