administrative_code,name,admin_area,city_level,geonames_id,longitude,latitude
1142170,Fayzabad,Badakhshan,provincial_municipality,1142170,70.580020,37.116640
1129867,Qala-e-Naw,Badghis,provincial_municipality,1129867,63.128910,34.987350
1130490,Pul-e Khumri,Baghlan,provincial_municipality,1130490,68.715120,35.944580
1133616,Mazar-e Sharif,Balkh,provincial_municipality,1133616,67.110870,36.709040
1147242,Bamyan,Bamyan,provincial_municipality,1147242,67.827340,34.821560
1131833,Nili,Daykundi,provincial_municipality,1131833,66.130230,33.721780
1142264,Farah,Farah,provincial_municipality,1142264,62.116380,32.374510
1133453,Maymana,Faryab,provincial_municipality,1133453,64.783610,35.921390
1141269,Ghazni,Ghazni,provincial_municipality,1141269,68.420960,33.553910
1145904,Firozkoh,Ghor,provincial_municipality,1145904,65.250930,34.519520
1134720,Lashkar Gah,Helmand,provincial_municipality,1134720,64.371610,31.593820
1140026,Herat,Herat,provincial_municipality,1140026,62.199670,34.348170
1125444,Sheberghan,Jowzjan,provincial_municipality,1125444,65.752900,36.667570
1138958,Kabul,Kabul,capital_municipality,1138958,69.172330,34.528130
1138336,Kandahar,Kandahar,provincial_municipality,1138336,65.710130,31.613320
1126606,Mahmud-i-Raqi,Kapisa,provincial_municipality,1126606,69.351120,35.022980
1136469,Khost,Khost,provincial_municipality,1136469,69.920410,33.339510
1148311,Asadabad,Kunar,provincial_municipality,1148311,71.146970,34.873110
1135689,Kunduz,Kunduz,provincial_municipality,1135689,68.857000,36.728950
1133574,Mehtar Lam,Laghman,provincial_municipality,1133574,70.209440,34.671390
1130497,Pul-e Alam,Logar,provincial_municipality,1130497,69.022740,33.995290
1456960,Maidan Shahr,Maidan Wardak,provincial_municipality,1456960,68.866180,34.395610
1139715,Jalalabad,Nangarhar,provincial_municipality,1139715,70.451530,34.426470
1120985,Zaranj,Nimroz,provincial_municipality,1120985,61.860370,30.959620
1130469,Parun,Nuristan,provincial_municipality,1130469,70.922610,35.420640
1141857,Gardez,Paktia,provincial_municipality,1141857,69.225920,33.597440
8534261,Sharana,Paktika,provincial_municipality,8534261,68.730450,33.175680
1429434,Bazarak,Panjshir,provincial_municipality,1429434,69.515190,35.312920
1145352,Charikar,Parwan,provincial_municipality,1145352,69.171390,35.013610
1127768,Aybak,Samangan,provincial_municipality,1127768,68.015510,36.264680
1127110,Sar-e Pol,Sar-e Pol,provincial_municipality,1127110,65.932490,36.215440
1123004,Taloqan,Takhar,provincial_municipality,1123004,69.534510,36.736050
1122747,Tarinkot,Uruzgan,provincial_municipality,1122747,65.878060,32.629980
1130131,Qalat,Zabul,provincial_municipality,1130131,66.908330,32.105750
