administrative_code,name,admin_area,city_level,geonames_id,feature_code,population,longitude,latitude
3183719,Vlorë,发罗拉州,county_capital,3183719,PPLA,115261,19.483790,40.469600
363383,Delvinë,发罗拉州,official_urban_city,363383,PPLA2,6166,20.097780,39.951110
3185377,Himarë,发罗拉州,official_urban_city,3185377,PPLA3,4596,19.744720,40.101670
363320,Konispol,发罗拉州,official_urban_city,363320,PPLA3,1349,20.181390,39.658890
3184575,Orikum,发罗拉州,official_urban_city,3184575,PPLA3,2604,19.471390,40.325280
363243,Sarandë,发罗拉州,official_urban_city,363243,PPLA2,22613,20.004770,39.875340
3184197,Selenicë,发罗拉州,official_urban_city,3184197,PPLA3,6912,19.635830,40.530560
783148,Gjirokastër,吉诺卡斯特州,county_capital,783148,PPLA,23437,20.138890,40.075830
782843,Këlcyrë,吉诺卡斯特州,official_urban_city,782843,PPLA3,4900,20.189440,40.313060
782523,Libohovë,吉诺卡斯特州,official_urban_city,782523,PPLA3,3651,20.263060,40.031110
3184743,Memaliaj,吉诺卡斯特州,official_urban_city,3184743,PPLA3,4951,19.980280,40.351670
782070,Përmet,吉诺卡斯特州,official_urban_city,782070,PPLA2,7980,20.351670,40.233610
781443,Tepelenë,吉诺卡斯特州,official_urban_city,781443,PPLA2,11955,20.019170,40.295830
3183875,Tirana,地拉那州,country_capital,3183875,PPLC,418495,19.818660,41.327440
3185270,Kamëz,地拉那州,official_urban_city,3185270,PPLA3,11026,19.760280,41.381670
3185211,Kavajë,地拉那州,official_urban_city,3185211,PPLA2,30012,19.556940,41.185560
3185087,Krrabë,地拉那州,official_urban_city,3185087,PPLA3,1177,19.971390,41.215560
3184252,Rrogozhinë,地拉那州,official_urban_city,3184252,PPLA3,7049,19.665280,41.076390
3183708,Vorë,地拉那州,official_urban_city,3183708,PPLA3,4973,19.655000,41.390830
3186084,Berat,培拉特州,county_capital,3186084,PPLA,62232,19.952220,40.705830
3185060,Kuçovë,培拉特州,official_urban_city,3185060,PPLA2,31077,19.916670,40.800280
781979,Poliçan,培拉特州,official_urban_city,781979,PPLA3,4318,20.098060,40.612220
3183814,Ura Vajgurore,培拉特州,official_urban_city,3183814,PPLA3,7232,19.877780,40.768890
783408,Çorovodë,培拉特州,official_urban_city,783408,PPLA2,3918,20.227220,40.504170
782661,Kukës,库克斯州,county_capital,782661,PPLA,36125,20.421940,42.076940
7932375,Bajram Curri,库克斯州,official_urban_city,7932375,PPLA2,4113,20.076790,42.357340
782892,Kam,库克斯州,official_urban_city,782892,PPL,0,20.249170,42.256940
782685,Krumë,库克斯州,official_urban_city,782685,PPLA2,4814,20.413330,42.196940
3184081,Shkodër,斯库台州,county_capital,3184081,PPLA,95553,19.512580,42.068280
3343181,Bajzë,斯库台州,official_urban_city,3343181,PPL,0,19.432220,42.276390
783247,Fierzë,斯库台州,official_urban_city,783247,PPLA3,0,20.016940,42.260560
783214,Fushë-Arrëz,斯库台州,official_urban_city,783214,PPLA3,2438,20.016670,42.062220
3185133,Koplik,斯库台州,official_urban_city,3185133,PPLA2,4078,19.436390,42.213610
3184388,Pukë,斯库台州,official_urban_city,3184388,PPLA2,6495,19.899720,42.044440
3185823,Vau i Dejës,斯库台州,official_urban_city,3185823,PPLA3,0,19.624720,42.010000
783263,Elbasan,爱尔巴桑州,county_capital,783263,PPLA,100903,20.082240,41.111380
3185897,Cërrik,爱尔巴桑州,official_urban_city,3185897,PPLA3,14269,19.975830,41.031670
783059,Gramsh,爱尔巴桑州,official_urban_city,783059,PPLA2,11556,20.184440,40.869720
782519,Librazhd,爱尔巴桑州,official_urban_city,782519,PPLA2,23312,20.315000,41.179440
3184497,Peqin,爱尔巴桑州,official_urban_city,3184497,PPLA2,16580,19.751110,41.046110
781920,Përrenjas,爱尔巴桑州,official_urban_city,781920,PPLA3,5847,20.548890,41.073060
782756,Korçë,科尔察州,county_capital,782756,PPLA,58259,20.780830,40.618610
783606,Bilisht,科尔察州,official_urban_city,783606,PPLA3,7287,20.990000,40.627500
783259,Ersekë,科尔察州,official_urban_city,783259,PPLA2,7890,20.678890,40.337780
782535,Leskovik,科尔察州,official_urban_city,782535,PPLA3,939,20.597220,40.151390
782393,Maliq,科尔察州,official_urban_city,782393,PPLA3,3735,20.699720,40.705830
781988,Pogradec,科尔察州,official_urban_city,781988,PPLA2,46070,20.652500,40.902500
3184935,Lezhë,莱什州,county_capital,3184935,PPLA,18695,19.643610,41.783610
782632,Kurbnesh,莱什州,official_urban_city,782632,PPL,1429,20.083610,41.779720
3185012,Laç,莱什州,official_urban_city,3185012,PPLA2,12854,19.713060,41.635560
3184806,Mamurras,莱什州,official_urban_city,3184806,PPLA3,8282,19.692220,41.577500
3184702,Milot,莱什州,official_urban_city,3184702,PPLA3,2157,19.715560,41.683890
781809,Reps,莱什州,official_urban_city,781809,PPL,900,20.025830,41.866110
3184264,Rrëshen,莱什州,official_urban_city,3184264,PPLA2,6773,19.875560,41.767500
3184238,Rubik,莱什州,official_urban_city,3184238,PPLA3,2332,19.786110,41.774440
3184136,Shëngjin,莱什州,official_urban_city,3184136,PPL,6963,19.593890,41.813610
3185672,Fier,费里州,county_capital,3185672,PPLA,56297,19.558230,40.725100
3186145,Ballsh,费里州,official_urban_city,3186145,PPLA2,4944,19.734720,40.598890
3185797,Divjakë,费里州,official_urban_city,3185797,PPLA3,6713,19.529440,40.996670
3184862,Lushnjë,费里州,official_urban_city,3184862,PPLA2,63135,19.705000,40.941940
3184518,Patos,费里州,official_urban_city,3184518,PPLA3,16000,19.619440,40.683330
3184290,Roskovec,费里州,official_urban_city,3184290,PPLA3,6657,19.702220,40.737500
782061,Peshkopi,迪勃拉州,county_capital,782061,PPLA,14710,20.428580,41.685000
783508,Bulqizë,迪勃拉州,official_urban_city,783508,PPLA2,26826,20.221940,41.491670
783493,Burrel,迪勃拉州,official_urban_city,783493,PPLA2,7928,20.008890,41.610280
782806,Klos,迪勃拉州,official_urban_city,782806,PPLA3,7873,20.086670,41.506940
782707,Krastë,迪勃拉州,official_urban_city,782707,PPL,1540,20.205000,41.422780
3183824,Ulëz,迪勃拉州,official_urban_city,3183824,PPLA3,1229,19.893330,41.682780
3185728,Durrës,都拉斯州,county_capital,3185728,PPLA,195920,19.454690,41.323550
3185638,Fushë-Krujë,都拉斯州,official_urban_city,3185638,PPLA3,17877,19.717780,41.478330
3185082,Krujë,都拉斯州,official_urban_city,3185082,PPLA2,51191,19.792780,41.509170
3184801,Manzë,都拉斯州,official_urban_city,3184801,PPLA3,7185,19.593060,41.428610
3184099,Shijak,都拉斯州,official_urban_city,3184099,PPLA3,14138,19.567220,41.345560
3183945,Sukth,都拉斯州,official_urban_city,3183945,PPLA3,13395,19.537780,41.380560
