administrative_code,name,admin_area,city_level,geonames_id,longitude,latitude
585915,Khirdalan,Absheron District,district_subordinate_city,585915,49.755020,40.448080
587378,Agdash,Agdash District,district_subordinate_city,587378,47.473800,40.646990
148619,Aghdam,Aghdam District,district_subordinate_city,148619,46.927360,39.990960
587379,Aghdara,Aghdara District,district_subordinate_city,587379,46.821350,40.211270
587384,Aghjabadi,Aghjabadi District,district_subordinate_city,587384,47.459370,40.050150
587362,Aghstafa,Aghstafa District,district_subordinate_city,587362,45.453890,41.118890
587361,Aghsu,Aghsu District,district_subordinate_city,587361,48.400870,40.570280
148445,Astara,Astara District,district_subordinate_city,148445,48.874980,38.455980
148413,Babek,Babek District,district_subordinate_city,148413,45.442820,39.154590
587084,Baku,Baku,republic_subordinate_city,587084,49.892010,40.377670
587070,Balakan,Balakan District,district_subordinate_city,587070,46.404780,41.726260
587057,Barda,Barda District,district_subordinate_city,587057,47.126190,40.375770
148354,Beylagan,Beylagan District,district_subordinate_city,148354,47.618610,39.775560
148340,Bilasuvar,Bilasuvar District,district_subordinate_city,148340,48.545000,39.458330
586765,Dashkasan,Dashkasan District,district_subordinate_city,586765,46.081860,40.523930
148106,Fuzuli,Fuzuli District,district_subordinate_city,148106,47.145290,39.600940
148003,Horadiz,Fuzuli District,district_subordinate_city,148003,47.334960,39.450150
586573,Gadabay,Gadabay District,district_subordinate_city,586573,45.812290,40.570550
586523,Ganja,Ganja,republic_subordinate_city,586523,46.361340,40.681570
585570,Gobustan,Gobustan District,district_subordinate_city,585570,48.928190,40.533600
586794,Dalimammadli,Goranboy District,district_subordinate_city,586794,46.573820,40.694210
586430,Goranboy,Goranboy District,district_subordinate_city,586430,46.789720,40.610280
586427,Goychay,Goychay District,district_subordinate_city,586427,47.742190,40.650550
584716,Goygol,Goygol District,district_subordinate_city,584716,46.318900,40.585840
585225,Hajigabul,Hajigabul District,district_subordinate_city,585225,48.942860,40.038740
147982,Imishli,Imishli District,district_subordinate_city,147982,48.059950,39.870950
586318,Ismayilli,Ismayilli District,district_subordinate_city,586318,48.151410,40.784850
148141,Jabrayil,Jabrayil District,district_subordinate_city,148141,47.028350,39.399170
146862,Goytepe,Jalilabad District,district_subordinate_city,146862,48.593830,39.119980
148290,Jalilabad,Jalilabad District,district_subordinate_city,148290,48.491860,39.209630
148251,Julfa,Julfa District,district_subordinate_city,148251,45.629610,38.953970
586268,Kalbajar,Kalbajar District,district_subordinate_city,586268,46.044460,40.109840
584717,Khachmaz,Khachmaz District,district_subordinate_city,584717,48.805650,41.464260
584715,Khudat,Khachmaz District,district_subordinate_city,584715,48.681610,41.630520
146970,Khankendi,Khankendi,republic_subordinate_city,146970,46.752800,39.817700
585909,Khizi,Khizi District,district_subordinate_city,585909,49.074810,40.908470
147774,Khojaly,Khojaly District,district_subordinate_city,147774,46.792130,39.913610
146969,Khojavend,Khojavend District,district_subordinate_city,146969,47.111700,39.794960
585763,Kurdamir,Kurdamir District,district_subordinate_city,585763,48.156490,40.342570
147625,Lachin,Lachin District,district_subordinate_city,147625,46.549770,39.637420
147622,Lankaran,Lankaran District,republic_subordinate_city,147622,48.850620,38.754280
147316,Liman,Lankaran District,district_subordinate_city,147316,48.808340,38.874170
147611,Lerik,Lerik District,district_subordinate_city,147611,48.414970,38.773880
147552,Masalli,Masalli District,district_subordinate_city,147552,48.665400,39.035320
585514,Mingachevir,Mingachevir,republic_subordinate_city,585514,47.062270,40.764220
585400,Naftalan,Naftalan,republic_subordinate_city,585400,46.820300,40.508210
147429,Nakhchivan,Nakhchivan,republic_subordinate_city,147429,45.412220,39.208890
147425,Neftchala,Neftchala District,district_subordinate_city,147425,49.247000,39.376800
585333,Oghuz,Oghuz District,district_subordinate_city,585333,47.465280,41.071280
147368,Ordubad,Ordubad District,district_subordinate_city,147368,46.022740,38.909610
585231,Qabala,Qabala District,district_subordinate_city,585231,47.845830,40.981390
585227,Qakh,Qakh District,district_subordinate_city,585227,46.920430,41.418260
585226,Qazakh,Qazakh District,district_subordinate_city,585226,45.365610,41.092460
585221,Quba,Quba District,district_subordinate_city,585221,48.513410,41.361080
147305,Qubadli,Qubadli District,district_subordinate_city,147305,46.581830,39.344410
585220,Qusar,Qusar District,district_subordinate_city,585220,48.430200,41.427500
147288,Saatli,Saatli District,district_subordinate_city,147288,48.368920,39.932140
585187,Sabirabad,Sabirabad District,district_subordinate_city,585187,48.477010,40.008690
147271,Salyan,Salyan District,district_subordinate_city,147271,48.984790,39.596210
585177,Samukh,Samukh District,district_subordinate_city,585177,46.408680,40.764850
586763,Shabran,Shabran District,district_subordinate_city,586763,48.987120,41.201170
147278,Shahbuz,Shahbuz District,district_subordinate_city,147278,45.573890,39.407220
585156,Shamakhi,Shamakhi District,district_subordinate_city,585156,48.641370,40.631410
585152,Shamkir,Shamkir District,district_subordinate_city,585152,46.017800,40.829750
146858,Sharur,Sharur District,district_subordinate_city,146858,44.979930,39.552980
585170,Sheki,Sheki District,republic_subordinate_city,585170,47.170560,41.191940
148565,Shirvan,Shirvan,republic_subordinate_city,148565,48.929000,39.937780
147105,Shusha,Shusha District,district_subordinate_city,147105,46.749890,39.760060
584954,Siyazan,Siyazan District,district_subordinate_city,584954,49.115640,41.078110
584923,Sumgayit,Sumgayit,republic_subordinate_city,584923,49.668610,40.589720
584871,Tartar,Tartar District,district_subordinate_city,584871,46.931610,40.342010
585802,Qovlar,Tovuz District,district_subordinate_city,585802,45.731750,40.945950
584821,Tovuz,Tovuz District,district_subordinate_city,584821,45.628380,40.992490
584791,Ujar,Ujar District,district_subordinate_city,584791,47.654230,40.519020
146961,Yardimli,Yardimli District,district_subordinate_city,146961,48.240520,38.907710
584649,Yevlakh,Yevlakh District,republic_subordinate_city,584649,47.150140,40.618320
146901,Zangilan,Zangilan District,district_subordinate_city,146901,46.659880,39.083710
584596,Zaqatala,Zaqatala District,district_subordinate_city,584596,46.644790,41.631600
584586,Zardab,Zardab District,district_subordinate_city,584586,47.712140,40.218400
