administrative_code,name,admin_area,city_level,geonames_id,feature_code,population,longitude,latitude
3204541,Banja Luka,塞族共和国,entity_or_district_seat,3204541,PPLA,221106,17.206290,44.778790
3204269,Berkovići,塞族共和国,municipal_seat,3204269,PPLA2,0,18.170280,43.094720
3204186,Bijeljina,塞族共和国,municipal_seat,3204186,PPLA2,37692,19.214370,44.758740
3204161,Bileća,塞族共和国,municipal_seat,3204161,PPLA2,13257,18.429670,42.876450
3203533,Bratunac,塞族共和国,municipal_seat,3203533,PPLA2,4717,19.330850,44.184550
3203651,Brod,塞族共和国,municipal_seat,3203651,PPLA2,9249,17.987220,45.137470
3202081,Derventa,塞族共和国,municipal_seat,3202081,PPLA2,9773,17.907790,44.978390
3201984,Doboj,塞族共和国,municipal_seat,3201984,PPLA2,27235,18.086980,44.731790
3201482,Donji Dubovik,塞族共和国,municipal_seat,3201482,PPLA2,0,16.325100,44.890210
3201368,Donji Žabar,塞族共和国,municipal_seat,3201368,PPLA2,1157,18.646730,44.943170
3201183,Drinić,塞族共和国,municipal_seat,3201183,PPLA2,0,16.466990,44.506710
3200837,Foča,塞族共和国,municipal_seat,3200837,PPLA2,14615,18.778540,43.506460
3200768,Gacko,塞族共和国,municipal_seat,3200768,PPLA2,3417,18.535280,43.167220
3199933,Gornji Ribnik,塞族共和国,municipal_seat,3199933,PPLA2,0,16.816900,44.417520
3203656,Gradiška,塞族共和国,municipal_seat,3203656,PPLA2,13346,17.254530,45.144840
3199417,Han Pijesak,塞族共和国,municipal_seat,3199417,PPLA2,4206,18.952580,44.081610
3199275,Hreša,塞族共和国,municipal_seat,3199275,PPLA3,0,18.496990,43.878000
3198623,Jezero,塞族共和国,municipal_seat,3198623,PPLA2,581,17.168800,44.349540
3198448,Kalinovik,塞族共和国,municipal_seat,3198448,PPLA2,1095,18.446490,43.504640
3190733,Kneževo,塞族共和国,municipal_seat,3190733,PPLA2,6866,17.381610,44.490710
3197764,Kopači,塞族共和国,municipal_seat,3197764,PPLA2,0,19.028450,43.678330
3203655,Kostajnica,塞族共和国,municipal_seat,3203655,PPLA2,4739,16.539290,45.219560
3197532,Kotor Varoš,塞族共和国,municipal_seat,3197532,PPLA2,5068,17.372040,44.618310
3203657,Kozarska Dubica,塞族共和国,municipal_seat,3203657,PPLA2,9959,16.809440,45.176670
3196792,Laktaši,塞族共和国,municipal_seat,3196792,PPLA2,6464,17.301350,44.908570
3196364,Ljubinje,塞族共和国,municipal_seat,3196364,PPLA2,4235,18.087020,42.951200
3196209,Lopare,塞族共和国,municipal_seat,3196209,PPLA2,3614,18.843400,44.634980
3196069,Lukavica,塞族共和国,municipal_seat,3196069,PPLA3,0,18.383180,43.826930
3195128,Milići,塞族共和国,municipal_seat,3195128,PPLA2,8210,19.091950,44.170160
11205170,Modriča,塞族共和国,municipal_seat,11205170,PPLA3,8996,18.302020,44.957810
3194724,Mrkonjić Grad,塞族共和国,municipal_seat,3194724,PPLA2,14737,17.082880,44.417290
3194510,Nevesinje,塞族共和国,municipal_seat,3194510,PPLA2,7313,18.113330,43.258610
3203647,Novi Grad,塞族共和国,municipal_seat,3203647,PPLA2,8920,16.377820,45.046430
3194339,Novo Selo,塞族共和国,municipal_seat,3194339,PPLA2,0,17.155560,44.080070
3193900,Osmaci,塞族共和国,municipal_seat,3193900,PPLA2,0,18.916380,44.401590
3193856,Oštra Luka,塞族共和国,municipal_seat,3193856,PPLA2,0,16.660690,44.860270
3193692,Pale,塞族共和国,municipal_seat,3193692,PPLA3,7458,18.569490,43.816640
3193520,Pelagićevo,塞族共和国,municipal_seat,3193520,PPLA2,4,18.591850,44.901050
3203643,Petrovo,塞族共和国,municipal_seat,3203643,PPLA2,0,18.353230,44.628040
3192652,Potoci,塞族共和国,municipal_seat,3192652,PPLA2,0,16.620010,44.392610
3192409,Prijedor,塞族共和国,municipal_seat,3192409,PPLA2,36347,16.714010,44.979910
3192327,Prnjavor,塞族共和国,municipal_seat,3192327,PPLA2,7099,17.662560,44.870210
3191576,Rogatica,塞族共和国,municipal_seat,3191576,PPLA2,4947,19.003630,43.798940
3191449,Rudo,塞族共和国,municipal_seat,3191449,PPLA2,1760,19.367190,43.617810
3190385,Sokolac,塞族共和国,municipal_seat,3190385,PPLA3,8842,18.800790,43.938170
3190172,Srbac,塞族共和国,municipal_seat,3190172,PPLA2,7380,17.523310,45.097300
3190159,Srebrenica,塞族共和国,municipal_seat,3190159,PPLA2,2862,19.296690,44.107480
3210448,Stanari,塞族共和国,municipal_seat,3210448,PPLA2,3590,17.827140,44.744750
