administrative_code,name,admin_area,city_level,geonames_id,longitude,latitude
PIROJPUR-PIROJPUR-POURASHAVA,Pirojpur,Pirojpur,pourashava_class_a,1185138,89.975210,22.579650
PIROJPUR-MATHBARIA-POURASHAVA,Mathbaria,Pirojpur,pourashava_class_a,1185173,89.958830,22.286160
PIROJPUR-SHORUPKATHI-POURASHAVA,Shorupkathi,Pirojpur,pourashava_class_a,1477496,90.101420,22.745350
JHALOKATHI-JHALAKATHI-POURASHAVA,Jhalakathi,Jhalokathi,pourashava_class_a,11283340,90.194900,22.644810
BARGUNA-BARGUNA-POURASHAVA,Barguna,Barguna,pourashava_class_a,8304391,90.117580,22.156720
BARGUNA-AMTALI-POURASHAVA,Amtali,Barguna,pourashava_class_a,1212693,90.088840,22.296230
PATUAKHALI-PATUAKHALI-POURASHAVA,Patuakhali,Patuakhali,pourashava_class_a,7646711,90.345800,22.368330
PATUAKHALI-GALACHIPA-POURASHAVA,Galachipa,Patuakhali,pourashava_class_a,7646879,90.414390,22.168650
PATUAKHALI-KALAPARA-POURASHAVA,Kalapara,Patuakhali,pourashava_class_a,1185192,90.229690,21.984550
BHOLA-BHOLA-POURASHAVA,Bhola,Bhola,pourashava_class_a,1336136,90.644030,22.687590
BHOLA-LALMOHAN-POURASHAVA,Lalmohan,Bhola,pourashava_class_a,1185251,90.737080,22.337740
BHOLA-CHARFESSION-POURASHAVA,Charfession,Bhola,pourashava_class_a,7646183,90.700000,22.100000
BHOLA-BORHANUDDIN-POURASHAVA,Borhanuddin,Bhola,pourashava_class_a,1210565,90.723910,22.495180
BARISHAL-GOURNADI-POURASHAVA,Gournadi,Barishal,pourashava_class_a,1185210,90.223760,22.973720
BARISHAL-MULADI-POURASHAVA,Muladi,Barishal,pourashava_class_a,9259293,90.415000,22.915000
BARISHAL-BAKERGANJ-POURASHAVA,Bakerganj,Barishal,pourashava_class_a,1185285,90.342590,22.540570
PATUAKHALI-BAUPHAL-POURASHAVA,Bauphal,Patuakhali,pourashava_class_a,1185273,90.559430,22.415930
BARISHAL-MEHENDIGANJ-POURASHAVA,Mehendiganj,Barishal,pourashava_class_b,1185171,90.528590,22.822570
BARISHAL-BANARIPARA-POURASHAVA,Banaripara,Barishal,pourashava_class_b,1477495,90.172220,22.789360
JHALOKATHI-NALCHITY-POURASHAVA,Nalchity,Jhalokathi,pourashava_class_b,7646928,90.280000,22.610000
BARGUNA-PATHARGHATA-POURASHAVA,Patharghata,Barguna,pourashava_class_b,9257487,89.968330,22.045000
BHOLA-DOULATKHAN-POURASHAVA,Doulatkhan,Bhola,pourashava_class_b,1185237,90.741420,22.599770
PATUAKHALI-KUAKATA-POURASHAVA,Kuakata,Patuakhali,pourashava_class_b,1196822,90.119750,21.821240
BARGUNA-BETAGI-POURASHAVA,Betagi,Barguna,pourashava_class_b,7476273,90.163330,22.415290
BARISHAL-WAZIRPUR-POURASHAVA,Wazirpur,Barishal,pourashava_class_c,1185435,90.246630,22.821610
PIROJPUR-BHANDARIA-POURASHAVA,Bhandaria,Pirojpur,pourashava_class_c,1477498,90.062730,22.488980
CHATTOGRAM-PATIYA-POURASHAVA,Patiya,Chattogram,pourashava_class_a,1185148,91.979000,22.295430
CHATTOGRAM-BARIYARHAT-POURASHAVA,Bariyarhat,Chattogram,pourashava_class_a,,91.519036,22.892964
CHATTOGRAM-SITAKUNDA-POURASHAVA,Sitakunda,Chattogram,pourashava_class_a,1187704,91.659380,22.621640
CHATTOGRAM-SATKANIA-POURASHAVA,Satkania,Chattogram,pourashava_class_a,1336133,92.049550,22.076390
CHATTOGRAM-BANSHKHALI-POURASHAVA,Banshkhali,Chattogram,pourashava_class_a,7646186,91.930000,22.030000
COX-S-BAZAR-COX-S-BAZAR-POURASHAVA,Cox’s Bazar,Cox's Bazar,pourashava_class_a,1336134,92.009550,21.439730
COX-S-BAZAR-CHAKARIA-POURASHAVA,Chakaria,Cox's Bazar,pourashava_class_a,1185246,92.076120,21.764590
RANGAMATI-RANGAMATI-POURASHAVA,Rangamati,Rangamati,pourashava_class_a,1336139,92.191860,22.643170
BANDARBAN-BANDARBAN-POURASHAVA,Bandarban,Bandarban,pourashava_class_a,1185270,92.219460,22.195340
KHAGRCHHARI-KHAGRACHHARI-POURASHAVA,Khagrachhari,Khagrchhari,pourashava_class_a,1185252,91.970070,23.107870
CHATTOGRAM-CHANDANAISH-POURASHAVA,Chandanaish,Chattogram,pourashava_class_a,11282270,92.064110,22.211910
CHATTOGRAM-RAOZAN-POURASHAVA,Raozan,Chattogram,pourashava_class_a,1189638,91.919190,22.535110
CHATTOGRAM-HATHAZARI-POURASHAVA,Hathazari,Chattogram,pourashava_class_a,1462674,91.813390,22.505150
CUMILLA-LAKSAM-POURASHAVA,Laksam,Cumilla,pourashava_class_a,1185183,91.121430,23.240180
CUMILLA-CHAUDDAGRAM-POURASHAVA,Chauddagram,Cumilla,pourashava_class_a,7646745,91.300000,23.220000
CHANDPUR-CHANDPUR-POURASHAVA,Chandpur,Chandpur,pourashava_class_a,1207332,90.754290,23.384070
CHANDPUR-HAJIGANJ-POURASHAVA,Hajiganj,Chandpur,pourashava_class_a,1201753,90.855080,23.251910
CHANDPUR-SHAHRASTI-POURASHAVA,Shahrasti,Chandpur,pourashava_class_a,7645695,90.950000,23.210000
CHANDPUR-KACHUA-POURASHAVA,Kachua,Chandpur,pourashava_class_a,1185189,90.908510,23.348540
NOAKHALI-NOAKHALI-POURASHAVA,Noakhali,Noakhali,pourashava_class_a,1185103,91.089450,22.817630
NOAKHALI-CHOUMUHONI-POURASHAVA,Choumuhoni,Noakhali,pourashava_class_a,1206305,91.116670,22.933330
NOAKHALI-CHATKHIL-POURASHAVA,Chatkhil,Noakhali,pourashava_class_a,10086857,90.976840,23.052410
NOAKHALI-BASHURHAT-POURASHAVA,Bashurhat,Noakhali,pourashava_class_a,1185268,91.278210,22.873010
NOAKHALI-SONAIMURI-POURASHAVA,Sonaimuri,Noakhali,pourashava_class_a,1187588,91.100490,23.033170
LAXMIPUR-LAKSHMIPUR-POURASHAVA,Lakshmipur,Laxmipur,pourashava_class_a,1196292,90.830050,22.944300
LAXMIPUR-RAMGONJ-POURASHAVA,Ramgonj,Laxmipur,pourashava_class_a,1185127,90.849890,23.100600
LAXMIPUR-RAIPUR-POURASHAVA,Raipur,Laxmipur,pourashava_class_a,1185236,90.768080,23.039100
FENI-FENI-POURASHAVA,Feni,Feni,pourashava_class_a,1185224,91.396600,23.014400
FENI-DAGANBHUIYAN-POURASHAVA,Daganbhuiyan,Feni,pourashava_class_a,1462695,91.303570,22.936560
BRAHMANBARIA-BRAHMANBARIA-POURASHAVA,Brahmanbaria,Brahmanbaria,pourashava_class_a,1336142,91.112280,23.974640
BRAHMANBARIA-NOBINAGAR-POURASHAVA,Nobinagar,Brahmanbaria,pourashava_class_a,1193823,90.967920,23.887910
BRAHMANBARIA-AKHAURA-POURASHAVA,Akhaura,Brahmanbaria,pourashava_class_a,1462814,91.207680,23.872430
FENI-SONAGAZI-POURASHAVA,Sonagazi,Feni,pourashava_class_a,1462698,91.391630,22.851820
CUMILLA-NANGALKOT-POURASHAVA,Nangalkot,Cumilla,pourashava_class_a,1462755,91.257220,23.121670
CHANDPUR-MATLAB-POURASHAVA,Matlab,Chandpur,pourashava_class_a,1185278,90.707750,23.347540
CHANDPUR-SANGARCHAR-POURASHAVA,Sangarchar,Chandpur,pourashava_class_a,11286079,90.628860,23.442050
CHATTOGRAM-MIRSHARAI-POURASHAVA,Mirsharai,Chattogram,pourashava_class_b,1462687,91.566390,22.864720
CHATTOGRAM-RANGUNIA-POURASHAVA,Rangunia,Chattogram,pourashava_class_b,6416023,92.066370,22.480190
CHATTOGRAM-SANDWIP-POURASHAVA,Sandwip,Chattogram,pourashava_class_b,1185120,91.454910,22.514090
COX-S-BAZAR-TEKNAF-POURASHAVA,Teknaf,Cox's Bazar,pourashava_class_b,1185095,92.297730,20.858290
COX-S-BAZAR-MOHESHKHALI-POURASHAVA,Moheshkhali,Cox's Bazar,pourashava_class_b,1195583,91.969540,21.520210
KHAGRCHHARI-RAMGARH-POURASHAVA,Ramgarh,Khagrchhari,pourashava_class_b,1185129,91.796670,22.970280
BANDARBAN-LAMA-POURASHAVA,Lama,Bandarban,pourashava_class_b,6415294,92.219070,21.774390
CHATTOGRAM-FATIKCHHARI-POURASHAVA,Fatikchhari,Chattogram,pourashava_class_b,6414184,91.790580,22.683470
CHATTOGRAM-BOALKHALI-POURASHAVA,Boalkhali,Chattogram,pourashava_class_b,6414052,91.926610,22.335660
KHAGRCHHARI-MATIRANGA-POURASHAVA,Matiranga,Khagrchhari,pourashava_class_b,1462827,91.876670,23.121940
BRAHMANBARIA-KASBA-POURASHAVA,Kasba,Brahmanbaria,pourashava_class_b,1462807,91.141670,23.815000
NOAKHALI-KABIRHAT-POURASHAVA,Kabirhat,Noakhali,pourashava_class_b,7646707,91.198920,22.795640
NOAKHALI-SENBUG-POURASHAVA,Senbug,Noakhali,pourashava_class_b,1462663,91.233410,22.991020
FENI-CHHAGALNAIYA-POURASHAVA,Chhagalnaiya,Feni,pourashava_class_b,1185249,91.510910,23.024750
FENI-PARSHURAM-POURASHAVA,Parshuram,Feni,pourashava_class_b,1185150,91.468640,23.211380
CUMILLA-DAUDKANDI-POURASHAVA,Daudkandi,Cumilla,pourashava_class_b,1185145,90.712550,23.535460
CUMILLA-CHANDINA-POURASHAVA,Chandina,Cumilla,pourashava_class_b,1462791,90.993000,23.474000
CUMILLA-DEBIDWAR-POURASHAVA,Debidwar,Cumilla,pourashava_class_b,1462797,91.000280,23.662500
CUMILLA-HOMNA-POURASHAVA,Homna,Cumilla,pourashava_class_b,7645492,90.790000,23.660000
CUMILLA-BARURA-POURASHAVA,Barura,Cumilla,pourashava_class_b,1185269,91.048360,23.368350
LAXMIPUR-RAMGATI-POURASHAVA,Ramgati,Laxmipur,pourashava_class_b,7646950,90.936000,22.669000
CHANDPUR-FARIDGONJ-POURASHAVA,Faridgonj,Chandpur,pourashava_class_b,1185223,90.743400,23.135590
CHATTOGRAM-NAZIRHAT-POURASHAVA,Nazirhat,Chattogram,pourashava_class_c,6414391,91.801220,22.638360
RANGAMATI-BAGHAICHARI-POURASHAVA,Baghaichari,Rangamati,pourashava_class_c,7646728,92.250000,23.370000
BRAHMANBARIA-BANCHARAMPUR-POURASHAVA,Bancharampur,Brahmanbaria,pourashava_class_c,9257689,90.800290,23.775660
CHANDPUR-NARAYANPUR-POURASHAVA,Narayanpur,Chandpur,pourashava_class_c,1193252,90.768640,23.368600
NOAKHALI-HATIA-POURASHAVA,Hatia,Noakhali,pourashava_class_c,7646893,91.090000,22.340000
CHATTOGRAM-DOHAZARI-POURASHAVA,Dohazari,Chattogram,pourashava_class_c,1203878,92.073330,22.163850
NARAYANGANJ-TARABO-POURASHAVA,Tarabo,Narayanganj,pourashava_class_a,11284991,90.530080,23.743600
NARSINGDI-NARSINGDI-POURASHAVA,Narsingdi,Narsingdi,pourashava_class_a,1185117,90.717680,23.922980
NARSINGDI-MADHABDI-POURASHAVA,Madhabdi,Narsingdi,pourashava_class_a,1195897,90.692460,23.998990
NARSINGDI-GHORASAL-POURASHAVA,Ghorasal,Narsingdi,pourashava_class_a,1202532,90.630350,23.941290
DHAKA-SAVAR-POURASHAVA,Savar,Dhaka,pourashava_class_a,1349452,90.250020,23.848580
DHAKA-DOHAR-POURASHAVA,Dohar,Dhaka,pourashava_class_a,1185100,90.142510,23.593110
TANGAIL-TANGAIL-POURASHAVA,Tangail,Tangail,pourashava_class_a,1336144,89.916550,24.249840
