administrative_code,name,official_name,admin_area,city_level,geonames_id,feature_code,population,longitude,latitude
04501,Bobov Dol,Бобов дол,丘斯滕迪尔州,official_town,733151,PPLA2,6184,22.998270,42.363780
04532,Boboshevo,Бобошево,丘斯滕迪尔州,official_town,733153,PPL,1784,23.000370,42.153230
68789,Dupnitsa,Дупница,丘斯滕迪尔州,official_town,726872,PPL,34764,23.117230,42.264780
39116,Kocherinovo,Кочериново,丘斯滕迪尔州,official_town,730268,PPL,2872,23.057100,42.084390
41112,Kyustendil,Кюстендил,丘斯滕迪尔州,official_town,729730,PPLA,46856,22.692240,42.283140
62671,Rila,Рила,丘斯滕迪尔州,official_town,727628,PPL,3002,23.132830,42.126250
65365,Sapareva Banya,Сапарева баня,丘斯滕迪尔州,official_town,727441,PPL,4610,23.263130,42.289230
72223,Batanovtsi,Батановци,佩尔尼克州,official_town,726489,PPL,2519,22.956340,42.596920
06286,Breznik,Брезник,佩尔尼克州,official_town,732883,PPL,4020,22.907230,42.740850
30778,Zemen,Земен,佩尔尼克州,official_town,725402,PPL,2107,22.749170,42.478890
55871,Pernik,Перник,佩尔尼克州,official_town,728330,PPLA,82467,23.033180,42.596710
61577,Radomir,Радомир,佩尔尼克州,official_town,727832,PPL,14494,22.965530,42.545650
73273,Tran,Трън,佩尔尼克州,official_town,726307,PPLA2,3102,22.651670,42.835280
00607,Ardino,Ардино,克尔贾利州,official_town,733638,PPL,3531,25.133710,41.583220
20746,Dzhebel,Джебел,克尔贾利州,official_town,731741,PPLA2,3329,25.303630,41.495660
39970,Krumovgrad,Крумовград,克尔贾利州,official_town,729896,PPLA2,5271,25.654850,41.471270
40909,Kardzhali,Кърджали,克尔贾利州,official_town,729794,PPLA,44071,25.365780,41.645020
48996,Momchilgrad,Момчилград,克尔贾利州,official_town,728995,PPL,0,25.416670,41.533330
14218,Gabrovo,Габрово,加布罗沃州,official_town,731549,PPLA,48133,25.318230,42.874190
23947,Dryanovo,Дряново,加布罗沃州,official_town,731882,PPL,8346,25.478500,42.978970
56719,Plachkovtsi,Плачковци,加布罗沃州,official_town,728225,PPL,0,25.481290,42.828360
65927,Sevlievo,Севлиево,加布罗沃州,official_town,727337,PPL,24582,25.103640,43.022950
73403,Tryavna,Трявна,加布罗沃州,official_town,726287,PPL,13818,25.500000,42.866670
21052,Dimitrovgrad,Димитровград,哈斯科沃州,official_town,732263,PPL,38015,25.600000,42.050000
32024,Ivaylovgrad,Ивайловград,哈斯科沃州,official_town,730837,PPL,3969,26.124900,41.526720
44570,Lyubimets,Любимец,哈斯科沃州,official_town,729466,PPL,8065,26.081150,41.844320
46084,Madzharovo,Маджарово,哈斯科沃州,official_town,729428,PPL,1319,25.864390,41.634610
47843,Merichleri,Меричлери,哈斯科沃州,official_town,729150,PPL,0,25.500000,42.133330
65677,Svilengrad,Свиленград,哈斯科沃州,official_town,726546,PPL,16959,26.197750,41.768360
47278,Simeonovgrad,Симеоновград,哈斯科沃州,official_town,727217,PPL,7388,25.833330,42.033330
72761,Topolovgrad,Тополовград,哈斯科沃州,official_town,726384,PPL,6464,26.333330,42.083330
77181,Harmanli,Харманли,哈斯科沃州,official_town,730442,PPL,18931,25.901720,41.932330
77195,Haskovo,Хасково,哈斯科沃州,official_town,730435,PPLA,64564,25.555570,41.934150
02508,Balchik,Балчик,多布里奇州,official_town,733515,PPLA2,13000,28.158480,43.421660
14711,General Toshevo,Генерал Тошево,多布里奇州,official_town,731464,PPLA2,7758,28.037870,43.701230
72624,Dobrich,Добрич,多布里奇州,official_town,726418,PPLA,69434,27.831380,43.564910
35064,Kavarna,Каварна,多布里奇州,official_town,730518,PPLA2,11205,28.339530,43.436010
72271,Tervel,Тервел,多布里奇州,official_town,726474,PPLA2,6808,27.409110,43.747890
83017,Shabla,Шабла,多布里奇州,official_town,727329,PPLA2,3901,28.534290,43.539830
07716,Byala Cherkva,Бяла черква,大特尔诺沃州,official_town,732717,PPL,3010,25.300000,43.200000
10447,Veliko Tŭrnovo,Велико Търново,大特尔诺沃州,official_town,725993,PPLA,59166,25.629040,43.081240
16359,Gorna Oryahovitsa,Горна Оряховица,大特尔诺沃州,official_town,731233,PPL,32792,25.701670,43.127780
20242,Debelets,Дебелец,大特尔诺沃州,official_town,732359,PPL,4418,25.616670,43.033330
22232,Dolna Oryahovitsa,Долна Оряховица,大特尔诺沃州,official_town,732118,PPL,0,25.733330,43.166670
27190,Elena,Елена,大特尔诺沃州,official_town,731696,PPL,6042,25.883330,42.933330
30962,Zlataritsa,Златарица,大特尔诺沃州,official_town,725295,PPL,2468,25.900000,43.050000
36837,Kilifarevo,Килифарево,大特尔诺沃州,official_town,730367,PPL,2497,25.633330,42.983330
44793,Lyaskovets,Лясковец,大特尔诺沃州,official_town,729489,PPL,8488,25.728330,43.111110
55052,Pavlikeni,Павликени,大特尔诺沃州,official_town,728385,PPL,11151,25.321940,43.242780
57354,Polski Trambesh,Полски Тръмбеш,大特尔诺沃州,official_town,728124,PPL,5663,25.635250,43.372330
65766,Svishtov,Свищов,大特尔诺沃州,official_town,726534,PPL,30157,25.350330,43.618750
