administrative_code,name,admin_area,city_level,geonames_id,feature_code,population,longitude,latitude
290247,Madīnat Ḩamad,北方省,populated_place_5000_plus,290247,PPL,133550,50.506940,26.115280
385038,Ar Rifā‘,南方省,populated_place_5000_plus,385038,PPL,115495,50.555000,26.130000
290296,Az Zallāq,南方省,populated_place_5000_plus,290296,PPL,9095,50.486390,26.047500
290269,Dār Kulayb,南方省,populated_place_5000_plus,290269,PPL,65466,50.503890,26.068610
290187,Madīnat ‘Īsá,南方省,populated_place_5000_plus,290187,PPL,38090,50.547780,26.173610
290332,Al Muharraq,穆哈拉格省,populated_place_5000_plus,290332,PPL,176583,50.611940,26.257220
290363,Al Ḩadd,穆哈拉格省,populated_place_5000_plus,290363,PPL,12797,50.654170,26.245560
290340,Manama,首都省,country_capital,290340,PPLC,147074,50.585650,26.227870
290215,Jidd Ḩafş,首都省,populated_place_5000_plus,290215,PPL,66588,50.547780,26.218610
290121,Sanābis,首都省,populated_place_5000_plus,290121,PPL,6564,50.550830,26.227220
290104,Sitrah,首都省,populated_place_5000_plus,290104,PPL,72601,50.620560,26.154720
