administrative_code,name,admin_area,city_level,geonames_id,feature_code,population,longitude,latitude
146412,Kyrenia,凯里尼亚区,district_capital,146412,PPLA,26701,33.317290,35.336340
146403,Lápithos,凯里尼亚区,populated_place_5000_plus,146403,PPL,5215,33.173680,35.338230
146384,Limassol,利马索尔区,district_capital,146384,PPLA,154000,33.037940,34.684060
145963,Germasógeia,利马索尔区,populated_place_5000_plus,145963,PPL,17325,33.084470,34.720730
146451,Kolossi,利马索尔区,populated_place_5000_plus,146451,PPL,6478,32.933750,34.668650
146516,Káto Polemídia,利马索尔区,populated_place_5000_plus,146516,PPL,23231,32.993240,34.697210
145952,Ýpsonas,利马索尔区,populated_place_5000_plus,145952,PPL,7348,32.961910,34.687970
146268,Nicosia,尼科西亚区,country_capital,146268,PPLC,200452,33.353970,35.172840
146523,Káto Lakatámeia,尼科西亚区,municipal_or_administrative_center,146523,PPLA2,40000,33.325390,35.117550
146054,Stróvolos,尼科西亚区,municipal_or_administrative_center,146054,PPLA2,67904,33.333840,35.148670
146619,Aglantziá,尼科西亚区,populated_place_5000_plus,146619,PPL,21543,33.396430,35.154220
146666,Dáli,尼科西亚区,populated_place_5000_plus,146666,PPL,12350,33.421950,35.022940
145964,Géri,尼科西亚区,populated_place_5000_plus,145964,PPL,9651,33.419770,35.105600
146392,Léfka,尼科西亚区,populated_place_5000_plus,146392,PPL,7835,32.849970,35.111990
146286,Mórfou,尼科西亚区,populated_place_5000_plus,146286,PPL,24070,32.993380,35.198690
145981,Tséri,尼科西亚区,populated_place_5000_plus,145981,PPL,5498,33.323440,35.073070
146732,Ágios Dométios,尼科西亚区,populated_place_5000_plus,146732,PPL,12904,33.340450,35.173460
146214,Paphos,帕福斯区,district_capital,146214,PPLA,35961,32.424510,34.776790
146490,Chlórakas,帕福斯区,populated_place_5000_plus,146490,PPL,6421,32.406530,34.798360
146639,Emba,帕福斯区,populated_place_5000_plus,146639,PPL,5505,32.424060,34.807000
11919534,Geroskipou,帕福斯区,populated_place_5000_plus,11919534,PPL,8355,32.448440,34.760910
146400,Larnaca,拉纳卡区,district_capital,146400,PPLA,72000,33.627940,34.922100
146189,Pérgamos,拉纳卡区,municipal_or_administrative_center,146189,PPLA2,15000,33.708330,35.041670
146796,Aradíppou,拉纳卡区,populated_place_5000_plus,146796,PPL,22934,33.588130,34.947790
146768,Athíenou,拉纳卡区,populated_place_5000_plus,146768,PPL,5202,33.541660,35.061830
146654,Dhromolaxia,拉纳卡区,populated_place_5000_plus,146654,PPL,6866,33.586840,34.875510
146469,Kíti,拉纳卡区,populated_place_5000_plus,146469,PPL,5136,33.575230,34.848980
146371,Livádia,拉纳卡区,populated_place_5000_plus,146371,PPL,5329,33.627340,34.955150
145972,Xylofágou,拉纳卡区,populated_place_5000_plus,145972,PPL,6000,33.848940,34.977430
146617,Famagusta,法马古斯塔区,district_capital,146617,PPLA,42526,33.941350,35.124890
146661,Derýneia,法马古斯塔区,populated_place_5000_plus,146661,PPL,6229,33.960830,35.064840
146209,Paralímni,法马古斯塔区,populated_place_5000_plus,146209,PPL,11836,33.981810,35.039450
18918,Protaras,法马古斯塔区,populated_place_5000_plus,18918,PPL,20230,34.058330,35.012500
146105,Rizokárpaso,法马古斯塔区,populated_place_5000_plus,146105,PPL,5215,34.379160,35.597190
146638,Égkomi,法马古斯塔区,populated_place_5000_plus,146638,PPL,20502,33.883220,35.162720
