administrative_code,name,official_name,admin_area,city_level,geonames_id,feature_code,population,longitude,latitude
3193561,Pazin,Pazin,伊斯特拉县,county_capital,3193561,PPLA,3981,13.939450,45.239170
3203090,Buje,Buje-Buie,伊斯特拉县,official_city,3203090,PPLA2,2087,13.661940,45.410000
3202942,Buzet,Buzet,伊斯特拉县,official_city,3202942,PPLA2,2339,13.966670,45.409440
3196834,Labin,Labin,伊斯特拉县,official_city,3196834,PPLA2,5806,14.119720,45.095000
3194379,Novigrad,Novigrad-Cittanova,伊斯特拉县,official_city,3194379,PPLA2,2292,13.558060,45.315000
3192699,Poreč,Poreč-Parenzo,伊斯特拉县,official_city,3192699,PPLA2,8841,13.595110,45.225670
3192224,Pula,Pula-Pola,伊斯特拉县,official_city,3192224,PPLA2,52220,13.848060,44.868330
3191518,Rovinj,Rovinj-Rovigno,伊斯特拉县,official_city,3191518,PPLA2,11629,13.634570,45.082680
3188498,Umag,Umag-Umago,伊斯特拉县,official_city,3188498,PPLA2,6751,13.523890,45.431390
3187477,Vodnjan,Vodnjan-Dignano,伊斯特拉县,official_city,3187477,PPLA2,3133,13.851670,44.959440
3197369,Krapina,Krapina,克拉皮纳-扎戈列县,county_capital,3197369,PPLA,4201,15.873700,46.160760
3201621,Donja Stubica,Donja Stubica,克拉皮纳-扎戈列县,official_city,3201621,PPLA2,2121,15.966670,45.983330
3198103,Klanjec,Klanjec,克拉皮纳-扎戈列县,official_city,3198103,PPLA2,506,15.744180,46.049820
3193962,Oroslavje,Oroslavje,克拉皮纳-扎戈列县,official_city,3193962,PPLA2,3253,15.915070,45.996720
3192545,Pregrada,Pregrada,克拉皮纳-扎戈列县,official_city,3192545,PPLA2,1870,15.750830,46.164170
3186984,Zabok,Zabok,克拉皮纳-扎戈列县,official_city,3186984,PPLA2,3408,15.903910,46.026260
3186406,Zlatar,Zlatar,克拉皮纳-扎戈列县,official_city,3186406,PPLA2,2825,16.070830,46.094170
3199873,Gospić,Gospić,利卡-塞尼县,county_capital,3199873,PPLA,6362,15.374720,44.546110
3194422,Novalja,Novalja,利卡-塞尼县,official_city,3194422,PPLA2,2415,14.886670,44.557780
3193788,Otočac,Otočac,利卡-塞尼县,official_city,3193788,PPLA2,3852,15.237500,44.869440
3191055,Senj,Senj,利卡-塞尼县,official_city,3191055,PPLA2,4164,14.905830,44.989440
3345300,Karlovac,Karlovac,卡尔洛瓦茨县,county_capital,3345300,PPLA,41869,15.550000,45.491670
3201030,Duga Resa,Duga Resa,卡尔洛瓦茨县,official_city,3201030,PPLA2,5380,15.498710,45.446140
3194183,Ogulin,Ogulin,卡尔洛瓦茨县,official_city,3194183,PPLA2,7374,15.228610,45.266110
3193754,Ozalj,Ozalj,卡尔洛瓦茨县,official_city,3193754,PPLA2,1053,15.477710,45.612930
3190523,Slunj,Slunj,卡尔洛瓦茨县,official_city,3190523,PPLA2,1576,15.584300,45.114560
3193935,Osijek,Osijek,奥西耶克-巴拉尼亚县,county_capital,3193935,PPLA,75535,18.694200,45.550660
3204320,Beli Manastir,Beli Manastir,奥西耶克-巴拉尼亚县,official_city,3204320,PPLA2,6327,18.603610,45.770000
3204317,Belišće,Belišće,奥西耶克-巴拉尼亚县,official_city,3204317,PPLA2,5354,18.405830,45.680280
3201432,Donji Miholjac,Donji Miholjac,奥西耶克-巴拉尼亚县,official_city,3201432,PPLA2,5330,18.167220,45.760830
3194581,Našice,Našice,奥西耶克-巴拉尼亚县,official_city,3194581,PPLA2,7307,18.087780,45.488610
3188395,Valpovo,Valpovo,奥西耶克-巴拉尼亚县,official_city,3188395,PPLA2,6332,18.418610,45.660830
3202220,Đakovo,Đakovo,奥西耶克-巴拉尼亚县,official_city,3202220,PPLA2,16875,18.410560,45.308330
3190586,Slavonski Brod,Slavonski Brod,布罗德-波萨维纳县,county_capital,3190586,PPLA,45005,18.016300,45.161580
