administrative_code,name,admin_area,city_level,geonames_id,feature_code,population,longitude,latitude
293768,Ramla,中央区,administrative_center,293768,PPLA,76246,34.863500,31.926240
295475,Bet Dagan,中央区,populated_place_5000_plus,295475,PPL,7099,34.829770,32.001910
295525,Be’er Ya‘aqov,中央区,populated_place_5000_plus,295525,PPL,27768,34.837490,31.938640
295515,Bnei Ayish,中央区,populated_place_5000_plus,295515,PPL,6978,34.759000,31.790000
8428480,El‘ad,中央区,populated_place_5000_plus,8428480,PPL,48763,34.953820,32.049840
295122,Even Yehuda,中央区,populated_place_5000_plus,295122,PPL,13826,34.885630,32.271620
295130,Eṭ Ṭaiyiba,中央区,populated_place_5000_plus,295130,PPL,43957,35.008930,32.266160
295127,Eṭ Ṭīra,中央区,populated_place_5000_plus,295127,PPL,26552,34.950230,32.234100
295080,Gan Yavne,中央区,populated_place_5000_plus,295080,PPL,23869,34.706590,31.787370
295089,Ganei Tikva,中央区,populated_place_5000_plus,295089,PPL,25093,34.873200,32.059710
295064,Gedera,中央区,populated_place_5000_plus,295064,PPL,30798,34.779980,31.814560
294760,Hod HaSharon,中央区,populated_place_5000_plus,294760,PPL,63175,34.893200,32.159340
294634,Jaljūlya,中央区,populated_place_5000_plus,294634,PPL,10148,34.953720,32.154700
11524864,Kadima Zoran,中央区,populated_place_5000_plus,11524864,PPL,22490,34.919400,32.277820
294604,Kafr Qāsim,中央区,populated_place_5000_plus,294604,PPL,23823,34.976240,32.114060
294514,Kfar Saba,中央区,populated_place_5000_plus,294514,PPL,110456,34.906940,32.175000
294492,Kfar Yona,中央区,populated_place_5000_plus,294492,PPL,24778,34.935700,32.315170
294421,Lod,中央区,populated_place_5000_plus,294421,PPL,77223,34.890300,31.946700
294303,Mazkeret Batya,中央区,populated_place_5000_plus,294303,PPL,14837,34.846460,31.853570
282926,Modi‘in Makkabbim Re‘ut,中央区,populated_place_5000_plus,282926,PPL,93277,35.015040,31.893850
294074,Ness Ziona,中央区,populated_place_5000_plus,294074,PPL,50351,34.798680,31.929330
294071,Netanya,中央区,populated_place_5000_plus,294071,PPL,228204,34.859170,32.332940
293942,Pardesiya,中央区,populated_place_5000_plus,293942,PPL,5930,34.910860,32.307100
293918,Petaẖ Tiqva,中央区,populated_place_5000_plus,293918,PPL,253529,34.887470,32.087070
293896,Qalansuwa,中央区,populated_place_5000_plus,293896,PPL,16898,34.981060,32.284930
294552,Qiryat ‘Eqron,中央区,populated_place_5000_plus,294552,PPL,11001,34.822750,31.861190
293807,Ra'anana,中央区,populated_place_5000_plus,293807,PPL,75421,34.873860,32.183600
293725,Reẖovot,中央区,populated_place_5000_plus,293725,PPL,149392,34.811990,31.894210
293703,Rishon LeTsiyyon,中央区,populated_place_5000_plus,293703,PPL,258535,34.789390,31.971020
293690,Rosh Ha‘Ayin,中央区,populated_place_5000_plus,293690,PPL,72881,34.956640,32.095560
8428283,Shoham,中央区,populated_place_5000_plus,8428283,PPL,20740,34.945590,31.998660
293354,Tel Mond,中央区,populated_place_5000_plus,293354,PPL,13144,34.918170,32.253180
293222,Yavné,中央区,populated_place_5000_plus,293222,PPL,47585,34.739830,31.878080
8142386,Zemer,中央区,populated_place_5000_plus,8142386,PPL,7094,35.037820,32.364880
294098,Nazareth,北部区,administrative_center,294098,PPLA,77445,35.297190,32.700870
295765,Abū Sinān,北部区,populated_place_5000_plus,295765,PPL,14099,35.171520,32.958910
295721,Acre,北部区,populated_place_5000_plus,295721,PPL,51420,35.076470,32.928140
295740,Afula,北部区,populated_place_5000_plus,295740,PPL,44930,35.289200,32.609070
295411,Al-Bi‘na,北部区,populated_place_5000_plus,295411,PPL,8381,35.271340,32.930460
295174,Ar Rayna,北部区,populated_place_5000_plus,295174,PPL,15621,35.315600,32.722200
295553,Basmat Ṭab‘ūn,北部区,populated_place_5000_plus,295553,PPL,7916,35.156960,32.739130
295523,Beit Jann,北部区,populated_place_5000_plus,295523,PPL,12001,35.377010,32.964820
295435,Bet She’an,北部区,populated_place_5000_plus,295435,PPL,16800,35.496500,32.496580
11979636,Bu'ayna-Nujaydat,北部区,populated_place_5000_plus,11979636,PPL,9645,35.369870,32.809660
295379,Buqei‘a,北部区,populated_place_5000_plus,295379,PPL,5893,35.333620,32.978030
295404,Bīr el Maksūr,北部区,populated_place_5000_plus,295404,PPL,7106,35.220660,32.777300
295370,Dabbūrīya,北部区,populated_place_5000_plus,295370,PPL,8305,35.371230,32.692560
295341,Deir el Asad,北部区,populated_place_5000_plus,295341,PPL,12514,35.263830,32.936200
295339,Deir Ḥannā,北部区,populated_place_5000_plus,295339,PPL,10339,35.363650,32.861960
294809,H̱atsor HaGlilit,北部区,populated_place_5000_plus,294809,PPL,9272,35.544940,32.982340
294658,Iksāl,北部区,populated_place_5000_plus,294658,PPL,14784,35.323650,32.681640
294663,I‘billīn,北部区,populated_place_5000_plus,294663,PPL,13305,35.192710,32.822330
294622,Judeida Makr,北部区,populated_place_5000_plus,294622,PPL,21163,35.157050,32.928200
294620,Jūlis,北部区,populated_place_5000_plus,294620,PPL,6465,35.182780,32.942670
294610,Kafr Kannā,北部区,populated_place_5000_plus,294610,PPL,22751,35.342420,32.746600
294608,Kafr Mandā,北部区,populated_place_5000_plus,294608,PPL,20188,35.260710,32.810950
294577,Karmi’el,北部区,populated_place_5000_plus,294577,PPL,46252,35.297680,32.909510
8265524,Ka‘abiyya-Tabbash-H̱ajajra,北部区,populated_place_5000_plus,8265524,PPL,5504,35.183680,32.749520
386445,Kfar Vradim,北部区,populated_place_5000_plus,386445,PPL,5486,35.277930,32.993850
294600,Kfar Yasif,北部区,populated_place_5000_plus,294600,PPL,10133,35.162300,32.954510
11979665,Kisra - Sume'a,北部区,populated_place_5000_plus,11979665,PPL,8818,35.298770,32.972620
294615,Kābūl,北部区,populated_place_5000_plus,294615,PPL,14095,35.211710,32.868560
11979755,Maale Iron,北部区,populated_place_5000_plus,11979755,PPL,14833,35.184120,32.553820
294387,Maghār,北部区,populated_place_5000_plus,294387,PPL,22957,35.408310,32.888880
294373,Majd el Kurūm,北部区,populated_place_5000_plus,294373,PPL,15455,35.254380,32.920940
294210,Migdal Ha‘Emeq,北部区,populated_place_5000_plus,294210,PPL,25675,35.241580,32.677880
294117,Nahariyya,北部区,populated_place_5000_plus,294117,PPL,58096,35.098140,33.008920
294114,Naḥf,北部区,populated_place_5000_plus,294114,PPL,13113,35.317510,32.933120
294097,Naẕerat ‘Illit,北部区,populated_place_5000_plus,294097,PPL,43556,35.324690,32.708160
293825,Qiryat Shmona,北部区,populated_place_5000_plus,293825,PPL,22512,35.570440,33.212040
293793,Rama,北部区,populated_place_5000_plus,293793,PPL,7728,35.366430,32.938590
293773,Ramat Yishay,北部区,populated_place_5000_plus,293773,PPL,7785,35.164330,32.701040
293100,Safed,北部区,populated_place_5000_plus,293100,PPL,36094,35.496000,32.964650
293655,Sakhnīn,北部区,populated_place_5000_plus,293655,PPL,31702,35.297710,32.865060
293595,Sha‘ab,北部区,populated_place_5000_plus,293595,PPL,6941,35.238850,32.890140
293539,Shefar‘am,北部区,populated_place_5000_plus,293539,PPL,42137,35.168950,32.805830
12156807,Shibli–Umm al-Ghanam,北部区,populated_place_5000_plus,12156807,PPL,5995,35.396210,32.683950
293522,Shlomi,北部区,populated_place_5000_plus,293522,PPL,6511,35.145270,33.071860
293426,Tamra,北部区,populated_place_5000_plus,293426,PPL,25917,35.198700,32.853010
293322,Tiberias,北部区,populated_place_5000_plus,293322,PPL,44779,35.531520,32.793960
293298,Tūbā Zangarīya,北部区,populated_place_5000_plus,293298,PPL,6776,35.593320,32.966120
11979655,Yanuah Jat,北部区,populated_place_5000_plus,11979655,PPL,6679,35.238060,32.979800
293181,Yirkā,北部区,populated_place_5000_plus,293181,PPL,17171,35.211970,32.954350
293153,Yoqne‘am ‘Illit,北部区,populated_place_5000_plus,293153,PPL,23796,35.092020,32.646610
293254,Yāfā,北部区,populated_place_5000_plus,293254,PPL,18905,35.278320,32.689230
8264669,Zarzir,北部区,populated_place_5000_plus,8264669,PPL,7942,35.213810,32.727540
293420,maalot Tarshīhā,北部区,populated_place_5000_plus,293420,PPL,21836,35.266670,33.016670
294666,Ḥurfeish,北部区,populated_place_5000_plus,294666,PPL,6410,35.347860,33.017620
295291,‘Eilabun,北部区,populated_place_5000_plus,295291,PPL,5752,35.400830,32.836750
295285,‘Ein Māhil,北部区,populated_place_5000_plus,295285,PPL,13335,35.352980,32.723250
294654,‘Ilūṭ,北部区,populated_place_5000_plus,294654,PPL,8356,35.259860,32.717630
295530,Beersheba,南部区,administrative_center,295530,PPLA,186600,34.791300,31.251810
295657,Arad,南部区,populated_place_5000_plus,295657,PPL,27967,35.212820,31.258820
295629,Ashdod,南部区,populated_place_5000_plus,295629,PPL,226838,34.649660,31.792130
295620,Ashkelon,南部区,populated_place_5000_plus,295620,PPL,144073,34.571490,31.669260
295328,Dimona,南部区,populated_place_5000_plus,295328,PPL,36192,35.032690,31.070790
295277,Eilat,南部区,populated_place_5000_plus,295277,PPL,52299,34.948210,29.558050
8374209,H̱ura,南部区,populated_place_5000_plus,8374209,PPL,21558,34.936060,31.300840
293842,Kiryat Gat,南部区,populated_place_5000_plus,293842,PPL,61817,34.764220,31.609980
8374220,Kuseifa,南部区,populated_place_5000_plus,8374220,PPL,21079,35.093100,31.245350
8184241,Laqiyya,南部区,populated_place_5000_plus,8184241,PPL,14075,34.858900,31.318500
6693244,Lehavim,南部区,populated_place_5000_plus,6693244,PPL,6415,34.816190,31.372840
8062538,Meitar,南部区,populated_place_5000_plus,8062538,PPL,8438,34.938550,31.327260
294166,Mitzpe Ramon,南部区,populated_place_5000_plus,294166,PPL,5211,34.801110,30.609440
294068,Netivot,南部区,populated_place_5000_plus,294068,PPL,43732,34.589110,31.423050
293992,Ofaqim,南部区,populated_place_5000_plus,293992,PPL,34666,34.620250,31.314100
293835,Qiryat Mal’akhi,南部区,populated_place_5000_plus,293835,PPL,25362,34.746320,31.728880
8184212,Rahat,南部区,populated_place_5000_plus,8184212,PPL,19586,34.756990,31.395470
293619,Sderot,南部区,populated_place_5000_plus,293619,PPL,27635,34.596930,31.525000
8184332,Segev Shalom,南部区,populated_place_5000_plus,8184332,PPL,10362,34.839560,31.199180
8310136,Tel Sheva‘,南部区,populated_place_5000_plus,8310136,PPL,20204,34.860070,31.248640
293203,Yeroẖam,南部区,populated_place_5000_plus,293203,PPL,10294,34.931760,30.988220
8374203,‘Ar‘ara BaNegev,南部区,populated_place_5000_plus,8374203,PPL,17640,35.022740,31.160460
293982,‘Omer,南部区,populated_place_5000_plus,293982,PPL,7530,34.847660,31.264890
294801,Haifa,海法区,administrative_center,294801,PPLA,285316,34.999280,32.813030
295613,Atlit,海法区,populated_place_5000_plus,295613,PPL,8875,34.942360,32.688890
12156812,Basma,海法区,populated_place_5000_plus,12156812,PPL,9779,35.100590,32.529040
295410,Binyamina-Giv‘at ‘Ada,海法区,populated_place_5000_plus,295410,PPL,15847,34.944870,32.523050
295571,Bāqa el Gharbīya,海法区,populated_place_5000_plus,295571,PPL,29950,35.042660,32.420610
295365,Daliyat al Karmel,海法区,populated_place_5000_plus,295365,PPL,25000,35.046860,32.693830
295269,Furaydis,海法区,populated_place_5000_plus,295269,PPL,13247,34.952700,32.597270
294946,Hadera,海法区,populated_place_5000_plus,294946,PPL,97335,34.903900,32.441920
8141842,H̱arish,海法区,populated_place_5000_plus,8141842,PPL,7569,35.045550,32.461820
294630,Jatt,海法区,populated_place_5000_plus,294630,PPL,12100,35.038040,32.398050
294626,Jisr ez Zarqā,海法区,populated_place_5000_plus,294626,PPL,14930,34.912700,32.536840
294605,Kafr Qari‘,海法区,populated_place_5000_plus,294605,PPL,19018,35.052150,32.505270
294078,Nesher,海法区,populated_place_5000_plus,294078,PPL,24148,35.044250,32.766220
293969,Or Akiva,海法区,populated_place_5000_plus,293969,PPL,18972,34.920870,32.506400
293943,Pardés H̱anna Karkur,海法区,populated_place_5000_plus,293943,PPL,44840,34.977810,32.474080
293845,Qiryat Ata,海法区,populated_place_5000_plus,293845,PPL,59030,35.113230,32.811490
293844,Qiryat Bialik,海法区,populated_place_5000_plus,293844,PPL,43955,35.085830,32.827500
293831,Qiryat Motsqin,海法区,populated_place_5000_plus,293831,PPL,43303,35.077600,32.837060
293823,Qiryat Tiv‘on,海法区,populated_place_5000_plus,293823,PPL,18130,35.125050,32.712170
293822,Qiryat Yam,海法区,populated_place_5000_plus,293822,PPL,39897,35.069730,32.849660
293721,Rekhasim,海法区,populated_place_5000_plus,293721,PPL,12668,35.100570,32.749580
293308,Tirat Karmel,海法区,populated_place_5000_plus,293308,PPL,27822,34.968740,32.760250
293286,Umm el Faḥm,海法区,populated_place_5000_plus,293286,PPL,56109,35.153970,32.517580
293067,Zikhron Ya‘aqov,海法区,populated_place_5000_plus,293067,PPL,23206,34.954270,32.568830
295655,‘Ara-‘Ar‘ara,海法区,populated_place_5000_plus,295655,PPL,24904,35.092610,32.495650
294642,‘Isfiyā,海法区,populated_place_5000_plus,294642,PPL,12503,35.065090,32.718360
293397,Tel Aviv,特拉维夫区,administrative_center,293397,PPLA,432892,34.780570,32.080880
295584,Azor,特拉维夫区,populated_place_5000_plus,295584,PPL,12957,34.806320,32.024300
295548,Bat Yam,特拉维夫区,populated_place_5000_plus,295548,PPL,129012,34.751850,32.023790
295514,Bnei Brak,特拉维夫区,populated_place_5000_plus,295514,PPL,214444,34.833800,32.080740
294981,Giv'at Shmuel,特拉维夫区,populated_place_5000_plus,294981,PPL,28628,34.848580,32.078170
294999,Givatayim,特拉维夫区,populated_place_5000_plus,294999,PPL,60644,34.812530,32.072250
294778,Herzliya,特拉维夫区,populated_place_5000_plus,294778,PPL,97470,34.825360,32.166270
294751,H̱olon,特拉维夫区,populated_place_5000_plus,294751,PPL,196282,34.779180,32.010340
