administrative_code,name,admin_area,city_level,geonames_id,longitude,latitude
253098,Port Blair,Andaman And Nicobar Islands,municipality,1259385,92.746350,11.666130
257868,Addanki,Andhra Pradesh,municipality,1279356,79.973380,15.810610
251792,Adoni,Andhra Pradesh,municipality,1279335,77.274950,15.627880
253272,Allagadda,Andhra Pradesh,municipality,11270089,78.412180,15.690830
251699,Amadalavalasa,Andhra Pradesh,municipality,1278698,83.902950,18.410250
251735,Amalapuram,Andhra Pradesh,municipality,1278935,82.006090,16.578680
248112,Anantapur,Andhra Pradesh,municipal_corporation,1278672,77.608130,14.677840
258033,Atmakur,Andhra Pradesh,municipality,1278202,79.626130,14.615860
253270,Atmakur (Kurnool),Andhra Pradesh,municipality,1278201,78.587040,15.881090
248111,Badvel,Andhra Pradesh,municipality,1277949,79.062880,14.745100
251760,Bapatla,Andhra Pradesh,municipality,1277183,80.467430,15.904220
251741,Bhimavaram,Andhra Pradesh,municipality,1275947,81.523220,16.540780
251702,Bobbili,Andhra Pradesh,municipality,1275406,83.359250,18.573660
251756,Chilakaluripeta,Andhra Pradesh,municipality,,80.155557,16.093334
253274,Chimakurthy,Andhra Pradesh,municipality,1274185,79.870060,15.583390
251763,Chirala,Andhra Pradesh,municipality,1274106,80.352190,15.823850
248122,Chittoor,Andhra Pradesh,municipal_corporation,1274033,79.095600,13.210550
251782,Cuddapah,Andhra Pradesh,municipal_corporation,1273800,78.823460,14.479950
248115,Dharmavaram,Andhra Pradesh,municipality,1272842,77.720350,14.414350
253169,Dhone,Andhra Pradesh,municipality,1272722,77.871500,15.395200
251739,Eluru,Andhra Pradesh,municipal_corporation,1272051,81.104370,16.713110
251797,Gooty,Andhra Pradesh,municipality,1270974,77.637760,15.118360
251747,Gudivada,Andhra Pradesh,municipality,1270801,80.995550,16.435470
263068,Gudur,Andhra Pradesh,municipality,1270791,79.852100,14.150930
248113,Guntakal,Andhra Pradesh,municipality,1270670,77.362440,15.171120
251757,Guntur,Andhra Pradesh,municipal_corporation,1270668,80.457290,16.299740
248118,Hindupur,Andhra Pradesh,municipality,1270079,77.491430,13.828070
251696,Ichapuram,Andhra Pradesh,municipality,1269827,84.687210,19.113930
277319,Jaggiahpet,Andhra Pradesh,municipality,13156777,80.095510,16.891550
257906,Jangareddygudem,Andhra Pradesh,municipality,,81.295963,17.123821
248116,Kadiri,Andhra Pradesh,municipality,1268673,78.159820,14.111680
251731,Kakinada,Andhra Pradesh,municipal_corporation,1268561,82.238090,16.960360
251799,Kalyandurg,Andhra Pradesh,municipality,7302838,77.105520,14.545190
251768,Kandukur,Andhra Pradesh,municipality,,79.907100,15.213000
253295,Kanigiri,Andhra Pradesh,municipality,1268059,79.506940,15.405550
251770,Kavali,Andhra Pradesh,municipality,1267394,79.994490,14.916300
296264,Kondapalli,Andhra Pradesh,municipality,1266209,80.542440,16.619890
251736,Kovvur,Andhra Pradesh,municipality,1265886,81.729340,17.016200
296257,Kuppam,Andhra Pradesh,municipality,1265555,78.341890,12.749310
251789,Kurnool,Andhra Pradesh,municipal_corporation,1265491,78.036020,15.828870
251751,Macherla,Andhra Pradesh,municipality,1264647,79.435330,16.476350
251750,Machilipatnam Municipal Corporation,Andhra Pradesh,municipal_corporation,1264637,81.138880,16.187470
248119,Madanapalli,Andhra Pradesh,municipality,1264621,78.502880,13.550300
251732,Mandapeta,Andhra Pradesh,municipality,1263898,81.929210,16.862540
251752,Mangalagiri Tadepalli,Andhra Pradesh,municipal_corporation,,80.600017,16.445758
251762,Markapur,Andhra Pradesh,municipality,1263504,79.268480,15.735340
253297,Mydukur,Andhra Pradesh,municipality,12519259,78.731540,14.726200
248125,Nagari,Andhra Pradesh,municipality,11419949,79.011420,13.563100
257831,Naidupeta,Andhra Pradesh,municipality,,79.463425,13.628953
254922,Nandigama,Andhra Pradesh,municipality,10778160,80.655110,16.724320
