administrative_code,name,admin_area,city_level,geonames_id,feature_code,population,longitude,latitude
99344,Al Hindīyah,卡尔巴拉省,district_seat,99344,PPLA2,139578,44.224690,32.541930
90831,‘Ayn Tamr,卡尔巴拉省,district_seat,90831,PPLA2,0,43.488150,32.566870
94824,Karbala,卡尔巴拉省,governorate_capital,94824,PPLA,1218732,44.024880,32.616030
99375,Al Ḩamzah,卡迪西亚省,district_seat,99375,PPLA2,0,44.976940,31.724440
98629,Ash Shāmīyah,卡迪西亚省,district_seat,98629,PPLA2,57661,44.600750,31.962570
99738,‘Afak,卡迪西亚省,district_seat,99738,PPLA2,35536,45.247430,32.064300
99762,Al Diwaniyah,卡迪西亚省,governorate_capital,99762,PPLA,318801,44.925520,31.992890
99434,Nahiyat Ghammas,卡迪西亚省,populated_place_5000_plus,99434,PPL,30909,44.619600,31.743110
98589,Nāḩiyat ash Shināfīyah,卡迪西亚省,populated_place_5000_plus,98589,PPL,22643,44.646750,31.583760
96205,Halabja,哈拉卜贾省,governorate_capital,96205,PPL,57333,45.986110,35.177780
447741,Choman,埃尔比勒省,district_seat,447741,PPLA2,0,44.888200,36.636650
94220,Koysinceq,埃尔比勒省,district_seat,94220,PPLA2,44987,44.628730,36.082890
93818,Mexmur,埃尔比勒省,district_seat,93818,PPLA2,0,43.579740,35.776220
93455,Mêrgasur,埃尔比勒省,district_seat,93455,PPLA2,0,44.302290,36.840690
91083,Shaqlāwah,埃尔比勒省,district_seat,91083,PPLA2,32599,44.325630,36.404220
96961,Soran,埃尔比勒省,district_seat,96961,PPLA2,91589,44.542170,36.655580
96833,Xebat,埃尔比勒省,district_seat,96833,PPLA2,148047,43.670650,36.277980
92002,Ṟuwandiz,埃尔比勒省,district_seat,92002,PPLA2,22943,44.521940,36.611400
95446,Erbil,埃尔比勒省,governorate_capital,95446,PPLA,1612700,44.009430,36.191170
446732,Khalīfān,埃尔比勒省,populated_place_5000_plus,446732,PPL,19891,44.404800,36.608700
91696,Pīrmām,埃尔比勒省,populated_place_5000_plus,91696,PPL,38686,44.197030,36.385220
96046,Ḩarir,埃尔比勒省,populated_place_5000_plus,96046,PPL,32171,44.352580,36.551110
98156,Baḥarkah,埃尔比勒省,subdistrict_seat,98156,PPLA3,130518,44.035330,36.315560
446185,Dare Tû,埃尔比勒省,subdistrict_seat,446185,PPLA3,0,44.046120,36.126330
95804,Hīrān,埃尔比勒省,subdistrict_seat,95804,PPLA3,0,44.494300,36.276340
446208,Khasnahzān,埃尔比勒省,subdistrict_seat,446208,PPLA3,146639,44.142350,36.200900
446174,Qushtepe,埃尔比勒省,subdistrict_seat,446174,PPLA3,0,44.032050,36.008870
98304,‘Aynkāwah,埃尔比勒省,subdistrict_seat,98304,PPLA3,0,43.994420,36.230600
390188,Al Ḩawījah,基尔库克省,district_seat,390188,PPLA2,0,43.772670,35.325920
97001,Dibis,基尔库克省,district_seat,97001,PPLA2,0,44.070670,35.674820
90220,Dāqūq,基尔库克省,district_seat,90220,PPLA2,0,44.449070,35.139230
94787,Kirkuk,基尔库克省,governorate_capital,94787,PPLA,1031000,44.392220,35.468060
90199,Tāzah Khūrmātū,基尔库克省,populated_place_5000_plus,90199,PPL,21788,44.326370,35.302360
95224,Al ‘Abbāsī,基尔库克省,subdistrict_seat,95224,PPLA3,0,43.595930,35.275170
98697,Ar Riyāḑ,基尔库克省,subdistrict_seat,98697,PPLA3,0,43.910670,35.269640
99454,Al Fallūjah,安巴尔省,district_seat,99454,PPLA2,190159,43.785990,33.349130
92138,Al Qā’im,安巴尔省,district_seat,92138,PPLA2,74100,40.989450,34.392510
98677,Ar Ruţbah,安巴尔省,district_seat,98677,PPLA2,22370,40.285860,33.037180
95788,Hīt,安巴尔省,district_seat,95788,PPLA2,31901,42.827680,33.636640
92004,Rāwah,安巴尔省,district_seat,92004,PPLA2,13000,41.918980,34.482290
96309,Ḩadīthah,安巴尔省,district_seat,96309,PPLA2,30925,42.377270,34.136610
6765385,‘Anah,安巴尔省,district_seat,6765385,PPLA2,27000,41.981940,34.368570
98717,Ramadi,安巴尔省,governorate_capital,98717,PPLA,223500,43.307780,33.420560
95886,Al Ḩaqlānīyah,安巴尔省,subdistrict_seat,95886,PPLA3,0,42.361740,34.085990
99524,Al Ba‘āj,尼尼微省,district_seat,99524,PPLA2,0,41.716320,36.042600
99413,Al Ḩaḑar,尼尼微省,district_seat,99413,PPLA2,0,42.733950,35.572900
98293,Ash Shaykhān,尼尼微省,district_seat,98293,PPLA2,0,43.352020,36.695950
448149,Sinjār,尼尼微省,district_seat,448149,PPLA2,38294,41.876560,36.320900
90393,Tall ‘Afar,尼尼微省,district_seat,90393,PPLA2,0,42.448060,36.379130
90353,Tallkayf,尼尼微省,district_seat,90353,PPLA2,23524,43.121140,36.491180
98822,‘Aqrah,尼尼微省,district_seat,98822,PPLA2,23000,43.894280,36.760380
99072,Mosul,尼尼微省,governorate_capital,99072,PPLA,1683000,43.118890,36.335000
92430,Al-Hamdaniya,尼尼微省,populated_place_5000_plus,92430,PPL,50000,43.377580,36.270930
97890,Barţalah,尼尼微省,populated_place_5000_plus,97890,PPL,15000,43.381280,36.353690
6999619,Kays Qal‘ah,尼尼微省,populated_place_5000_plus,6999619,PPL,10000,43.303780,36.630110
99003,Al Qayyārah,尼尼微省,subdistrict_seat,99003,PPLA3,0,43.294470,35.799330
100050,Abī al Khaşīb,巴士拉省,district_seat,100050,PPLA2,0,47.978130,30.446360
99446,Al Fāw,巴士拉省,district_seat,99446,PPLA2,104569,48.473090,29.974210
99106,Al Madīnah,巴士拉省,district_seat,99106,PPLA2,255000,47.269980,30.963240
98993,Al Qurnah,巴士拉省,district_seat,98993,PPLA2,134174,47.433620,31.015470
98245,Az Zubayr,巴士拉省,district_seat,98245,PPLA2,122676,47.701750,30.392130
99532,Basrah,巴士拉省,governorate_capital,99532,PPLA,1326564,47.780400,30.508520
89824,Umm Qaşr,巴士拉省,populated_place_5000_plus,89824,PPL,107620,47.919510,30.036200
91772,Şafwān,巴士拉省,populated_place_5000_plus,91772,PPL,22929,47.716350,30.116450
7326104,Nāḩiyat Baḩār,巴士拉省,subdistrict_seat,7326104,PPLA3,0,48.397750,30.176490
7326105,Nāḩiyat ‘Atbah,巴士拉省,subdistrict_seat,7326105,PPLA3,0,48.014240,30.481170
98182,Baghdad,巴格达省,country_capital,98182,PPLC,7216000,44.400880,33.340580
100077,Abū Ghurayb,巴格达省,district_seat,100077,PPLA2,900000,44.184770,33.305630
99100,Al Maḩmūdīyah,巴格达省,district_seat,99100,PPLA2,350000,44.365640,33.062210
98403,Aţ Ţārmīyah,巴格达省,district_seat,98403,PPLA2,0,44.395830,33.674440
99357,Al Hāshimīyah,巴比伦省,district_seat,99357,PPLA2,0,44.660110,32.363510
99103,Al Maḩāwīl,巴比伦省,district_seat,99103,PPLA2,31200,44.408540,32.661380
99039,Al-Musayab,巴比伦省,district_seat,99039,PPLA2,101873,44.290050,32.778720
99347,Al Hillah,巴比伦省,governorate_capital,99347,PPLA,455700,44.419630,32.463670
387345,Abu Gharaq,巴比伦省,populated_place_5000_plus,387345,PPL,108212,44.343970,32.527110
99010,Al-Qāsim,巴比伦省,populated_place_5000_plus,99010,PPL,93546,44.682820,32.297990
99226,Nāḩiyat al Iskandarīyah,巴比伦省,populated_place_5000_plus,99226,PPL,100600,44.346190,32.887300
91812,Saddat al Hindīyah,巴比伦省,populated_place_5000_plus,91812,PPL,35720,44.278570,32.715570
99611,Al ‘Amādīyah,杜胡克省,district_seat,99611,PPLA2,0,43.487690,37.092140
97825,Batifa,杜胡克省,district_seat,97825,PPLA2,28000,43.012330,37.174540
90532,Sumayl,杜胡克省,district_seat,90532,PPLA2,152512,42.848200,36.858230
89570,Zaxo,杜胡克省,district_seat,89570,PPLA2,95052,42.685910,37.148710
96994,Dihok,杜胡克省,governorate_capital,96994,PPLA,340900,42.987900,36.866080
97788,Begova,杜胡克省,populated_place_5000_plus,97788,PPL,15000,43.162760,37.237490
9253107,Dêrelûk Devera Nihêliya,杜胡克省,populated_place_5000_plus,9253107,PPL,44448,43.651880,37.055980
13680586,Shelādiz,杜胡克省,populated_place_5000_plus,13680586,PPL,50000,43.776160,37.032600
90708,Sīnah,杜胡克省,populated_place_5000_plus,90708,PPL,128776,43.039350,36.808510
98069,Bāmarnī,杜胡克省,subdistrict_seat,98069,PPLA3,0,43.270900,37.121630
97145,Derkar,杜胡克省,subdistrict_seat,97145,PPLA3,0,42.823610,37.199890
6998238,Ibrāhīm al Khalīl,杜胡克省,subdistrict_seat,6998238,PPLA3,0,42.569950,37.139630
94911,Kānī Māsī,杜胡克省,subdistrict_seat,94911,PPLA3,0,43.437320,37.227810
89482,Zāwītah,杜胡克省,subdistrict_seat,89482,PPLA3,0,43.144780,36.905470
97478,Al Jabāyish,济加尔省,district_seat,97478,PPLA2,0,47.001960,30.965880
98699,Ar Rifā‘ī,济加尔省,district_seat,98699,PPLA2,0,46.107780,31.720790
98622,Ash Shaţrah,济加尔省,district_seat,98622,PPLA2,182175,46.172700,31.409060
90510,Sūq ash Shuyūkh,济加尔省,district_seat,90510,PPLA2,0,46.454370,30.890690
98854,Nasiriyah,济加尔省,governorate_capital,98854,PPLA,558400,46.257260,31.057990
99439,Nāḩiyat al Fuhūd,济加尔省,populated_place_5000_plus,99439,PPL,21551,46.722780,30.969720
