administrative_code,name,admin_area,city_level,geonames_id,wikidata_id,longitude,latitude
3007,Chaharbagh,Alborz,county_seat,,Q2437702,50.848056,35.838889
3005,Eshtehard,Alborz,county_seat,,Q2625453,50.366111,35.725556
3006,Fardis,Alborz,county_seat,,Q5948920,50.988333,35.722500
3002,Hashtgerd,Alborz,county_seat,,Q720668,50.680000,35.961944
3001,Karaj,Alborz,county_seat,,Q36529,50.991667,35.832778
3003,Nazarabad,Alborz,county_seat,,Q2570924,50.607500,35.952222
3004,Taleghan,Alborz,county_seat,,Q609422,50.769167,36.174444
2412,Angut,Ardabil,county_seat,,Q4364998,47.745278,39.044167
2401,Ardabil,Ardabil,county_seat,,Q180103,48.300000,38.250000
2411,Aslan Duz,Ardabil,county_seat,142703,,47.405600,39.443900
2402,Bilesuvar,Ardabil,county_seat,,Q2725024,48.361667,39.378611
2405,Germi,Ardabil,county_seat,,Q2570951,48.080000,39.021389
2407,Givi,Ardabil,county_seat,,Q30833,48.516667,37.616667
2403,Khalkhal,Ardabil,county_seat,,Q10967863,48.525800,37.618900
2404,Meshginshahr,Ardabil,county_seat,,Q720048,47.681944,38.398889
2408,Namin,Ardabil,county_seat,,Q2549731,48.483889,38.426944
2409,Nir,Ardabil,county_seat,,Q720633,47.998611,38.034722
2406,Parsabad,Ardabil,county_seat,,Q720064,47.911389,39.648889
2410,Sareyn,Ardabil,county_seat,,Q2617493,48.070833,38.151389
1802,Ahram,Bushehr,county_seat,,Q968057,51.274722,28.882500
1810,Asaluyeh,Bushehr,county_seat,,Q643944,52.607500,27.476111
1808,Bandar Deylam,Bushehr,county_seat,,Q720292,50.158889,30.054167
1805,Bandar Deyr,Bushehr,county_seat,,Q862479,51.937778,27.840000
1807,Bandar Ganaveh,Bushehr,county_seat,,Q720298,50.516944,29.584722
1806,Bandar Kangan,Bushehr,county_seat,,Q862332,52.062778,27.833889
1803,Borazjan,Bushehr,county_seat,,Q720683,51.218889,29.270000
1801,Bushehr,Bushehr,county_seat,,Q158928,50.836667,28.968889
1809,Jam,Bushehr,county_seat,,Q862336,52.325278,27.828056
1804,Khormoj,Bushehr,county_seat,,Q720039,51.380000,28.654167
1410,Aluni,Chaharmahal and Bakhtiari,county_seat,143758,,51.060500,31.553030
1405,Ardal,Chaharmahal and Bakhtiari,county_seat,,Q889142,50.656389,31.996111
1409,Ben,Chaharmahal and Bakhtiari,county_seat,140891,,50.745150,32.540370
1401,Borujen,Chaharmahal and Bakhtiari,county_seat,,Q888701,51.289444,31.968333
1406,Chelgard,Chaharmahal and Bakhtiari,county_seat,,Q2634871,50.121389,32.468056
1412,Farrokh Shahr,Chaharmahal and Bakhtiari,county_seat,120678,,50.980080,32.271740
1403,Farsan,Chaharmahal and Bakhtiari,county_seat,,Q2325495,50.564167,32.256944
1404,Lordegan,Chaharmahal and Bakhtiari,county_seat,,Q888694,50.828333,31.509722
1411,Mal-e Khalifeh,Chaharmahal and Bakhtiari,county_seat,125077,,51.260260,31.290800
1408,Saman,Chaharmahal and Bakhtiari,county_seat,117627,,50.910920,32.450140
1402,Shahr-e Kord,Chaharmahal and Bakhtiari,county_seat,,Q386649,50.864444,32.325556
1407,Shalamzar,Chaharmahal and Bakhtiari,county_seat,,Q888936,50.813889,32.043889
0302,Ahar,East Azerbaijan,county_seat,,Q911727,47.066221,38.477493
0325,Ajab Shir,East Azerbaijan,county_seat,,Q2718461,45.894167,37.477500
0321,Azarshahr,East Azerbaijan,county_seat,,Q793611,45.978333,37.758889
0312,Bonab,East Azerbaijan,county_seat,,Q720710,46.056111,37.340278
0313,Bostanabad,East Azerbaijan,county_seat,,Q2717320,46.833333,37.850000
0311,Hashtrud,East Azerbaijan,county_seat,,Q720586,47.050833,37.477778
0316,Heris,East Azerbaijan,county_seat,,Q1610007,47.116667,38.248056
0327,Hurand,East Azerbaijan,county_seat,,Q30916,47.368611,38.859167
0319,Jolfa,East Azerbaijan,county_seat,,Q720079,45.643056,38.935278
0315,Kaleybar,East Azerbaijan,county_seat,,Q862556,47.033333,38.866667
0326,Khomarlu,East Azerbaijan,county_seat,,Q4358620,47.034722,39.148889
0328,Leylan,East Azerbaijan,county_seat,125710,,46.206500,37.010990
0320,Malekan,East Azerbaijan,county_seat,,Q1295841,46.102778,37.145833
0306,Maragheh,East Azerbaijan,county_seat,,Q605021,46.239167,37.391944
0307,Marand,East Azerbaijan,county_seat,,Q721024,45.774100,38.430636
0310,Mianeh,East Azerbaijan,county_seat,,Q720392,47.705812,37.428415
0322,Osku,East Azerbaijan,county_seat,,Q719770,46.123611,37.915833
0323,Qarah Aghaj,East Azerbaijan,county_seat,,Q2633584,46.975278,37.128889
0305,Sarab,East Azerbaijan,county_seat,,Q863240,47.536667,37.940833
0314,Shabestar,East Azerbaijan,county_seat,,Q765501,45.702778,38.180278
0303,Tabriz,East Azerbaijan,county_seat,,Q80053,46.296111,38.073889
0329,Torkamanchay,East Azerbaijan,county_seat,,Q2717301,47.389722,37.585278
0324,Varzaqan,East Azerbaijan,county_seat,,Q2717308,46.654444,38.509722
0701,Abadeh,Fars,county_seat,,Q192928,52.650556,31.160833
0735,Abadeh Tashk,Fars,county_seat,,Q888291,53.727500,29.810833
0706,Ardakan,Fars,county_seat,,Q2617100,51.983412,30.263286
0717,Arsanjan,Fars,county_seat,,Q2627738,53.308333,29.912222
0734,Bab Anar,Fars,county_seat,,Q4811070,53.216389,28.964167
0731,Beyza,Fars,county_seat,131536,,52.360920,30.008710
0705,Darab,Fars,county_seat,,Q719977,54.548149,28.753194
