administrative_code,name,admin_area,city_level,geonames_id,feature_code,population,longitude,latitude
250774,Aqaba,亚喀巴省,governorate_capital,250774,PPLA,95048,35.007780,29.526670
7031363,Ad Dīsah,亚喀巴省,subdistrict_seat,7031363,PPLA3,0,35.511230,29.652840
385027,Ar Rīshah,亚喀巴省,subdistrict_seat,385027,PPLA3,0,35.216710,30.224350
250538,Al Mazār ash Shamālī,伊尔比德省,district_seat,250538,PPLA2,0,35.796930,32.470410
250675,Al Ḩişn,伊尔比德省,district_seat,250675,PPLA2,0,35.884060,32.484540
250336,Ar Ramthā,伊尔比德省,district_seat,250336,PPLA2,155693,36.008160,32.558730
250278,Ash Shūnah ash Shamālīyah,伊尔比德省,district_seat,250278,PPLA2,0,35.614510,32.620230
250186,Aţ Ţayyibah,伊尔比德省,district_seat,250186,PPLA2,12615,35.717560,32.543040
249699,Dayr Abū Sa‘īd,伊尔比德省,district_seat,249699,PPLA2,0,35.686710,32.498160
248734,Kafr Asad,伊尔比德省,district_seat,248734,PPLA2,8203,35.712660,32.598000
247014,Sammā ar Rawsān,伊尔比德省,district_seat,247014,PPLA2,0,35.826610,32.637940
248946,Irbid,伊尔比德省,governorate_capital,248946,PPLA,569068,35.850000,32.555560
250294,Ash Shajarah,伊尔比德省,populated_place_5000_plus,250294,PPL,11243,35.941750,32.643910
250179,Aţ Ţurrah,伊尔比德省,populated_place_5000_plus,250179,PPL,14619,35.989430,32.639790
249930,Bayt Yāfā,伊尔比德省,populated_place_5000_plus,249930,PPL,7788,35.786180,32.522530
249676,Dayr Yūsuf,伊尔比德省,populated_place_5000_plus,249676,PPL,6223,35.796350,32.487010
248803,Judita,伊尔比德省,populated_place_5000_plus,248803,PPL,20000,35.708020,32.407920
248738,Kafr Abīl,伊尔比德省,populated_place_5000_plus,248738,PPL,6333,35.663050,32.417520
248719,Kafr Sawm,伊尔比德省,populated_place_5000_plus,248719,PPL,7152,35.801020,32.685270
248627,Kharjā,伊尔比德省,populated_place_5000_plus,248627,PPL,5498,35.887820,32.659880
248434,Kitim,伊尔比德省,populated_place_5000_plus,248434,PPL,5292,35.896770,32.438340
248414,Kurayyimah,伊尔比德省,populated_place_5000_plus,248414,PPL,17837,35.599380,32.276390
248250,Malkā,伊尔比德省,populated_place_5000_plus,248250,PPL,6856,35.748510,32.676450
247496,Qumaym,伊尔比德省,populated_place_5000_plus,247496,PPL,5111,35.734520,32.571740
247103,Saḩam al Kaffārāt,伊尔比德省,populated_place_5000_plus,247103,PPL,6203,35.774380,32.698480
247061,Sāl,伊尔比德省,populated_place_5000_plus,247061,PPL,6896,35.911850,32.568970
246522,Tibnah,伊尔比德省,populated_place_5000_plus,246522,PPL,5229,35.730560,32.475210
245989,Waqqāş,伊尔比德省,populated_place_5000_plus,245989,PPL,5678,35.605080,32.542140
247015,Şammā,伊尔比德省,populated_place_5000_plus,247015,PPL,8926,35.689840,32.571020
249318,Ḩakamā,伊尔比德省,populated_place_5000_plus,249318,PPL,7075,35.883200,32.593540
249184,Ḩātim,伊尔比德省,populated_place_5000_plus,249184,PPL,5542,35.777710,32.644920
250540,Al Mazār al Janūbī,卡拉克省,district_seat,250540,PPLA2,9383,35.694860,31.067220
250487,Al Qaşr,卡拉克省,district_seat,250487,PPLA2,3840,35.743930,31.314070
250480,Al Qaţrānah,卡拉克省,district_seat,250480,PPLA2,7070,36.049320,31.250830
249481,Fuqū‘,卡拉克省,district_seat,249481,PPLA2,0,35.702200,31.368050
250106,‘Ayy,卡拉克省,district_seat,250106,PPLA2,7340,35.643750,31.133710
6946409,Karak City,卡拉克省,governorate_capital,6946409,PPLA,21678,35.762040,31.163680
250187,Al Khinzīrah,卡拉克省,populated_place_5000_plus,250187,PPL,5231,35.606060,31.050560
250267,Safi,卡拉克省,populated_place_5000_plus,250267,PPL,15200,35.465440,31.036080
248923,‘Izrā,卡拉克省,populated_place_5000_plus,248923,PPL,22756,35.692780,31.158890
247969,Al Mughayyir,卡拉克省,subdistrict_seat,247969,PPLA3,0,35.770830,31.406340
250662,Al Ḩusaynīyah,卡拉克省,subdistrict_seat,250662,PPLA3,0,35.722940,31.026060
250534,Ghawr al Mazra‘ah,卡拉克省,subdistrict_seat,250534,PPLA3,0,35.516740,31.265860
250688,Al Ḩasā,塔菲拉省,district_seat,250688,PPLA2,0,35.974990,30.821310
249842,Buşayrā,塔菲拉省,district_seat,249842,PPLA2,7154,35.609430,30.732560
250198,Aţ Ţafīlah,塔菲拉省,governorate_capital,250198,PPLA,25429,35.604420,30.837520
250441,Amman,安曼省,country_capital,250441,PPLC,1275857,35.945030,31.955220
250639,Al Jīzah,安曼省,district_seat,250639,PPLA2,4397,35.955300,31.698930
407169,Al Muwaqqar,安曼省,district_seat,407169,PPLA2,0,36.108790,31.814730
247724,Nā‘ūr,安曼省,district_seat,247724,PPLA2,0,35.824670,31.874360
247105,Saḩāb,安曼省,district_seat,247105,PPLA2,40241,36.004790,31.870320
248843,Jāwā,安曼省,populated_place_5000_plus,248843,PPL,10628,35.939280,31.852470
247273,Rujm ash Shāmī al Gharbī,安曼省,subdistrict_seat,247273,PPLA3,0,36.004920,31.836930
246384,Umm al Basātīn,安曼省,subdistrict_seat,246384,PPLA3,0,35.877950,31.824540
