administrative_code,name,admin_area,city_level,geonames_id,feature_code,population,longitude,latitude
285629,Ḩawallī,哈瓦利省,governorate_capital,285629,PPLA,164212,48.028610,29.332780
285799,Al Jahrā’,杰赫拉省,governorate_capital,285799,PPLA,24281,47.658060,29.337500
285815,Al Farwānīyah,法尔瓦尼亚省,governorate_capital,285815,PPLA,86525,47.958610,29.277500
7329411,Mubārak al Kabīr,穆巴拉克卡比尔省,governorate_capital,7329411,PPLA,0,48.087160,29.189790
412800,Şabāḩ as Sālim,穆巴拉克卡比尔省,populated_place_5000_plus,412800,PPL,139163,48.057220,29.257220
285839,Al Aḩmadī,艾哈迈迪省,governorate_capital,285839,PPLA,637411,48.083890,29.076940
285811,Al Faḩāḩīl,艾哈迈迪省,populated_place_5000_plus,285811,PPL,68290,48.130280,29.082500
285812,Al Finţās,艾哈迈迪省,populated_place_5000_plus,285812,PPL,23071,48.121110,29.173890
285782,Al Mahbūlah,艾哈迈迪省,populated_place_5000_plus,285782,PPL,18178,48.130280,29.145000
285778,Al Manqaf,艾哈迈迪省,populated_place_5000_plus,285778,PPL,39025,48.132780,29.096110
285760,Al Wafrah,艾哈迈迪省,populated_place_5000_plus,285760,PPL,10017,47.930560,28.639170
285728,Ar Riqqah,艾哈迈迪省,populated_place_5000_plus,285728,PPL,52068,48.094720,29.145830
285787,Kuwait City,首都省,country_capital,285787,PPLC,60064,47.974290,29.367000
285673,Az Zawr,首都省,populated_place_5000_plus,285673,PPL,5750,48.274720,29.442500
