administrative_code,name,admin_area,city_level,geonames_id,longitude,latitude
103620100,Ayagoz,Abay Region,district_significance_city,1525988,80.434370,47.964470
101810000,Kurchatov,Abay Region,regional_significance_city,1520885,78.541880,50.756170
101010000,Semey,Abay Region,regional_significance_city,1519422,80.250250,50.420640
104221100,Shar,Abay Region,district_significance_city,1519275,81.048830,49.587200
113220100,Akkol',Akmola Region,district_significance_city,1526797,69.599970,53.296170
113820100,Atbasar,Akmola Region,district_significance_city,1526038,68.358230,51.808540
115420100,Derzhavinsk,Akmola Region,district_significance_city,1524606,66.318750,51.097180
114820100,Esil,Akmola Region,district_significance_city,1524296,66.407720,51.954530
111010000,Kokshetau,Akmola Region,regional_significance_city,1522203,69.393640,53.284140
114020100,Makinsk,Akmola Region,district_significance_city,1521230,70.419110,52.632900
111610000,Qosshy,Akmola Region,regional_significance_city,1522202,71.353110,50.970750
117020100,Shchuchinsk,Akmola Region,district_significance_city,1519244,70.188950,52.935920
111810000,Stepnogorsk,Akmola Region,regional_significance_city,1537939,71.881610,52.350620
114520100,Stepnyak,Akmola Region,district_significance_city,1518768,70.788610,52.834890
114620100,Yereymentau,Akmola Region,district_significance_city,1524302,73.102650,51.623640
151010000,Aktobe,Aktobe Region,regional_significance_city,610611,57.207180,50.279690
153220100,Algha,Aktobe Region,district_significance_city,610658,57.327870,49.898630
154823100,Embi,Aktobe Region,district_significance_city,609924,58.150420,48.829810
154820100,Kandyagash,Aktobe Region,district_significance_city,608679,57.418650,49.469170
156020100,Khromtau,Aktobe Region,district_significance_city,609404,58.435740,50.251610
156420100,Shalqar,Aktobe Region,district_significance_city,608359,59.619260,47.831540
155621100,Temir,Aktobe Region,district_significance_city,608036,57.127360,49.142840
154825100,Zhem,Aktobe Region,district_significance_city,,58.071269,48.775253
750000000,Almaty,Almaty,republican_significance_city,1526384,76.911500,43.252490
191810000,Alatau,Almaty Region,regional_significance_city,1520706,77.109050,43.676540
194020100,Esik,Almaty Region,district_significance_city,1523741,77.452450,43.355200
195220100,Kaskelen,Almaty Region,district_significance_city,1519931,76.630990,43.198390
191010000,Konayev,Almaty Region,regional_significance_city,1519948,77.063040,43.866810
196220100,Talghar,Almaty Region,district_significance_city,1518518,77.238110,43.302350
710000000,Astana,Astana,republican_significance_city,1526273,71.445980,51.180100
231010000,Atyrau,Atyrau Region,regional_significance_city,610529,51.884270,47.104800
233620100,Qulsary,Atyrau Region,district_significance_city,609123,54.019780,46.953070
634820100,Altay,East Kazakhstan Region,district_significance_city,1516438,84.254160,49.736260
632410000,Ridder,East Kazakhstan Region,regional_significance_city,1521370,83.515620,50.345240
634821100,Serebryansk,East Kazakhstan Region,district_significance_city,1519395,83.296770,49.684020
636820100,Shemonaikha,East Kazakhstan Region,district_significance_city,1519226,81.910920,50.628990
631010000,Ust-Kamenogorsk,East Kazakhstan Region,regional_significance_city,1520316,82.605860,49.971430
634620100,Zaysan,East Kazakhstan Region,district_significance_city,1517060,84.871440,47.466570
316220100,Karatau,Jambyl Region,district_significance_city,1519938,70.459200,43.179590
