administrative_code,name,admin_area,city_level,geonames_id,feature_code,population,longitude,latitude
278936,Amioûn,北部省,district_seat,278936,PPLA2,0,35.808890,34.300000
280328,Batroûn,北部省,district_seat,280328,PPLA2,10852,35.658060,34.255280
276359,Bsharri,北部省,district_seat,276359,PPLA2,20000,36.010560,34.250830
267156,Sîr ed Danniyé,北部省,district_seat,267156,PPLA2,0,36.031110,34.385280
265846,Zghartā,北部省,district_seat,265846,PPLA2,0,35.894930,34.397390
266826,Tripoli,北部省,governorate_capital,266826,PPLA,229398,35.844150,34.433520
273360,Jezzine,南部省,district_seat,273360,PPLA2,0,35.584440,33.541670
267008,Tyre,南部省,district_seat,267008,PPLA2,135204,35.193890,33.273330
268064,Sidon,南部省,governorate_capital,268064,PPLA,163554,35.371480,33.557510
278832,En Nâqoûra,南部省,populated_place_5000_plus,278832,PPL,24910,35.139720,33.118060
280155,Ghazieh,南部省,populated_place_5000_plus,280155,PPL,50000,35.368890,33.517500
269355,Qâna,南部省,populated_place_5000_plus,269355,PPL,10000,35.299320,33.208990
278040,Sarafand,南部省,populated_place_5000_plus,278040,PPL,10965,35.299480,33.449480
279997,El Hermel,巴勒贝克-希尔米勒省,district_seat,279997,PPLA2,22250,36.384720,34.394170
277130,Baalbek,巴勒贝克-希尔米勒省,governorate_capital,277130,PPLA,30916,36.218060,34.005830
273675,Aarsâl,巴勒贝克-希尔米勒省,populated_place_5000_plus,273675,PPL,50000,36.420830,34.179440
276294,Boudaï,巴勒贝克-希尔米勒省,populated_place_5000_plus,276294,PPL,8000,36.061110,34.061110
267553,Chaat,巴勒贝克-希尔米勒省,populated_place_5000_plus,267553,PPL,6322,36.231110,34.142220
267305,Chmistâr,巴勒贝克-希尔米勒省,populated_place_5000_plus,267305,PPL,30000,36.017500,33.964720
275666,Deïr el Ahmar,巴勒贝克-希尔米勒省,populated_place_5000_plus,275666,PPL,5947,36.131110,34.125280
276592,Bent Jbaïl,纳巴提耶省,district_seat,276592,PPLA2,0,35.433440,33.118640
274313,Hasbaya,纳巴提耶省,district_seat,274313,PPLA2,0,35.685000,33.397780
271226,Marjayoun,纳巴提耶省,district_seat,271226,PPLA2,0,35.591110,33.360280
278913,Nabatîyé et Tahta,纳巴提耶省,governorate_capital,278913,PPLA,120000,35.483890,33.378890
274874,Habboûch,纳巴提耶省,populated_place_5000_plus,274874,PPL,98433,35.481770,33.407530
272849,Kfar Kila,纳巴提耶省,populated_place_5000_plus,272849,PPL,5878,35.551970,33.277340
273185,Joubb Jannîne,贝卡省,district_seat,273185,PPLA2,0,35.784170,33.626940
6253857,Râchaïya el Ouadi,贝卡省,district_seat,6253857,PPLA2,0,35.843700,33.500890
266045,Zahlé,贝卡省,governorate_capital,266045,PPLA,78145,35.902030,33.846750
277367,Aaïtanît,贝卡省,populated_place_5000_plus,277367,PPL,6800,35.670280,33.561390
276781,Beirut,贝鲁特省,country_capital,276781,PPLC,1916100,35.501570,33.893320
274723,Halba,阿卡省,governorate_capital,274723,PPLA,4500,36.079720,34.542780
280425,Aley,黎巴嫩山省,district_seat,280425,PPLA2,130000,35.600000,33.805280
276771,Beït ed Dîne,黎巴嫩山省,district_seat,276771,PPLA2,0,35.580830,33.694170
273203,Byblos,黎巴嫩山省,district_seat,273203,PPLA2,20784,35.648060,34.121110
279854,Jdaidet el Matn,黎巴嫩山省,district_seat,279854,PPLA2,0,35.566390,33.890560
273140,Jounieh,黎巴嫩山省,district_seat,273140,PPLA2,96315,35.617780,33.980830
277226,Baabda,黎巴嫩山省,governorate_capital,277226,PPLA,9000,35.544170,33.833890
280602,Aajaltoûn,黎巴嫩山省,populated_place_5000_plus,280602,PPL,10000,35.682780,33.965280
274499,Hrajel,黎巴嫩山省,populated_place_5000_plus,274499,PPL,8000,35.792440,34.017220
