administrative_code,name,admin_area,city_level,geonames_id,longitude,latitude
COLOMBO,Colombo,Colombo,municipal_council,1248991,79.848680,6.935480
DEHIWALA-MOUNT-LAVINIA,Dehiwala-Mount Lavinia,Colombo,municipal_council,1248423,79.861590,6.856260
SRI-JAYEWARDENEPURA-KOTTE,Sri Jayewardenepura Kotte,Colombo,capital_municipal_council,1238992,79.907080,6.882970
KADUWELA,Kaduwela,Colombo,municipal_council,1242511,79.982000,6.933900
MORATUWA,Moratuwa,Colombo,municipal_council,1234633,79.881600,6.773000
NEGOMBO,Negombo,Gampaha,municipal_council,1233369,79.835800,7.208300
GAMPAHA,Gampaha,Gampaha,municipal_council,1246007,79.992500,7.089700
KALUTARA,Kalutara,Kalutara,municipal_council,1241964,79.959300,6.583100
KANDY,Kandy,Kandy,municipal_council,1241622,80.633600,7.290600
DAMBULLA,Dambulla,Matale,municipal_council,1248749,80.651670,7.860000
MATALE,Matale,Matale,municipal_council,1235855,80.621700,7.469800
NUWARA-ELIYA,Nuwara Eliya,Nuwara Eliya,municipal_council,1232783,80.782860,6.970780
GALLE,Galle,Galle,municipal_council,1246294,80.210300,6.046100
MATARA,Matara,Matara,municipal_council,1235846,80.535280,5.948510
HAMBANTOTA,Hambantota,Hambantota,municipal_council,1244926,81.118500,6.124100
JAFFNA,Jaffna,Jaffna,municipal_council,1242833,80.007420,9.668450
VAVUNIYA,Vavuniya,Vavuniya,municipal_council,1225018,80.497100,8.751400
BATTICALOA,Batticaloa,Batticaloa,municipal_council,1250161,81.692400,7.710200
KALMUNAI,Kalmunai,Ampara,municipal_council,1242110,81.834720,7.409020
AKKARAIPATTU,Akkaraipattu,Ampara,municipal_council,1252160,81.853800,7.216500
TRINCOMALEE,Trincomalee,Trincomalee,municipal_council,1226260,81.228900,8.577800
KURUNEGALA,Kurunegala,Kurunegala,municipal_council,1237980,80.368300,7.483900
PUTTALAM,Puttalam,Puttalam,municipal_council,1229293,79.828300,8.036200
ANURADHAPURA,Anuradhapura,Anuradhapura,municipal_council,1251081,80.413060,8.312230
POLONNARUWA,Polonnaruwa,Polonnaruwa,municipal_council,1229901,81.002740,7.939650
BADULLA,Badulla,Badulla,municipal_council,1250615,81.057700,6.980200
BANDARAWELA,Bandarawela,Badulla,municipal_council,1250308,80.985300,6.833400
RATNAPURA,Ratnapura,Ratnapura,municipal_council,1228730,80.403600,6.685800
KEGALLE,Kegalle,Kegalle,municipal_council,1240723,80.343600,7.252300
