administrative_code,name,official_name,admin_area,city_level,geonames_id,feature_code,population,longitude,latitude
5501,Ialoveni,Ialoveni,亚洛韦尼区,official_city,618196,PPLA,14915,28.781530,46.943570
5301,Hînceşti,Hîncești,亨切什蒂区,municipality,617993,PPLA,16900,28.589990,46.830890
0300,Bălţi,Bălți,伯尔兹市,municipality,618605,PPLA,125000,27.928540,47.762910
2301,Căinari,Căinari,克乌谢尼区,official_city,618455,PPL,0,29.048330,46.681960
2701,Căuşeni,Căușeni,克乌谢尼区,official_city,618120,PPLA,21690,29.410870,46.637380
2501,Călăraşi,Călărași,克勒拉希区,official_city,618454,PPLA,14066,28.309530,47.255480
3101,Criuleni,Criuleni,克留莱尼区,official_city,618403,PPLA,6932,29.158470,47.213400
9602,Ceadîr-Lunga,Ceadîr-Lunga,加告兹自治区,municipality,618450,PPL,22700,28.830780,46.061690
9601,Comrat,Comrat,加告兹自治区,municipality,618405,PPLA,22911,28.657130,46.294880
9603,Vulcăneşti,Vulcănești,加告兹自治区,official_city,617096,PPL,14352,28.406130,45.684920
1701,Cahul,Cahul,卡胡尔区,municipality,618456,PPLA,34492,28.195160,45.904560
2101,Cantemir,Cantemir,坎特米尔区,official_city,618452,PPLA,3829,28.200520,46.277490
4102,Cupcini,Cupcini,埃迪内茨区,official_city,617947,PPL,0,27.383900,48.110230
4101,Edineţ,Edineț,埃迪内茨区,municipality,617076,PPLA,22872,27.300750,48.173190
0100,Chisinau,Chișinău,基希讷乌市,capital,618426,PPLC,635994,28.859380,47.009020
0131,Codru,Codru,基希讷乌市,official_city,618054,PPL,15934,28.819000,46.976480
0151,Cricova,Cricova,基希讷乌市,official_city,617965,PPL,7400,28.861560,47.138350
0121,Durleşti,Durlești,基希讷乌市,official_city,618356,PPL,26308,28.763030,47.021560
3153,Stăuceni,Stăuceni,基希讷乌市,official_city,617317,PPL,5700,28.867910,47.096430
0111,Sîngera,Sîngera,基希讷乌市,official_city,617279,PPL,7200,28.966730,46.915570
0141,Vadul lui Vodă,Vadul lui Vodă,基希讷乌市,official_city,617164,PPL,5300,29.075700,47.090090
0122,Vatra,Vatra,基希讷乌市,official_city,824134,PPL,3800,28.736850,47.074600
8701,Taraclia,Taraclia,塔拉克利亚区,official_city,617270,PPLA,13512,28.666280,45.903210
8728,Tvardița,Tvardița,塔拉克利亚区,official_city,617187,PPL,5800,28.964910,46.148260
2901,Cimişlia,Cimișlia,奇米什利亚区,official_city,618406,PPLA,12464,28.764900,46.526290
6202,Frunză,Frunză,奥克尼察区,official_city,618320,PPL,0,27.592430,48.413650
6201,Ocniţa,Ocnița,奥克尼察区,official_city,617659,PPLA,9325,27.438640,48.382310
6203,Otaci,Otaci,奥克尼察区,official_city,618631,PPL,8400,27.799120,48.432850
6401,Orhei,Orhei,奥尔海伊区,municipality,617638,PPLA,24918,28.825350,47.385030
6001,Nisporeni,Nisporeni,尼斯波雷尼区,official_city,617753,PPLA,11718,28.170980,47.080250
1201,Basarabeasca,Basarabeasca,巴萨拉贝亚斯卡区,official_city,618594,PPLA,10809,28.961650,46.333520
1401,Briceni,Briceni,布里切尼区,official_city,618510,PPLA,9900,27.078470,48.363020
1402,Lipcani,Lipcani,布里切尼区,official_city,617897,PPL,0,26.810140,48.262210
4501,Floreşti,Florești,弗洛雷什蒂区,official_city,618329,PPLA,16759,28.293390,47.891680
4502,Ghindești,Ghindești,弗洛雷什蒂区,official_city,618275,PPL,2100,28.376790,47.854820
4503,Mărculeşti,Mărculești,弗洛雷什蒂区,official_city,617837,PPL,2400,28.241090,47.868970
4301,Fălești,Fălești,弗莱什蒂区,official_city,618344,PPLA,14377,27.712640,47.576670
1901,Camenca,Camenca,德涅斯特河左岸地区,official_city,618453,PPL,11072,28.698990,48.032330
7602,Crasnoe,Crasnoe,德涅斯特河左岸地区,official_city,617973,PPL,4200,29.823000,46.643000
0701,Dnestrovsc,Dnestrovsc,德涅斯特河左岸地区,official_city,618387,PPL,10426,29.906000,46.624000
3801,Dubăsari,Dubăsari,德涅斯特河左岸地区,official_city,618365,PPL,23254,29.166670,47.265620
5001,Hryhoriopol,Grigoriopol,德涅斯特河左岸地区,official_city,618234,PPL,9456,29.300080,47.154130
5002,Maiac,Maiac,德涅斯特河左岸地区,official_city,617830,PPL,1500,29.384980,47.237270
6901,Rîbniţa,Rîbnița,德涅斯特河左岸地区,official_city,617486,PPL,55455,29.010000,47.768170
7601,Slobozia,Slobozia,德涅斯特河左岸地区,official_city,617381,PPL,15356,29.704460,46.729270
0700,Tiraspol,Tiraspol,德涅斯特河左岸地区,municipality,617239,PPLA,157000,29.628400,46.842750
0702,Tiraspolul Nou,Tiraspolul Nou,德涅斯特河左岸地区,official_city,617053,PPL,2200,29.564000,46.830000
3601,Drochia,Drochia,德罗基亚区,official_city,618370,PPLA,16080,27.812420,48.036860
8501,Ştefan Vodă,Ștefan Vodă,斯特凡沃达区,official_city,617284,PPLA,7700,29.662230,46.512940
8002,Bucovăţ,Bucovăț,斯特勒谢尼区,official_city,618459,PPL,1600,28.458020,47.190640
8001,Strășeni,Strășeni,斯特勒谢尼区,municipality,617302,PPLA,19225,28.607740,47.142160
1001,Anenii Noi,Anenii Noi,新阿内尼区,official_city,617702,PPLA,8250,29.235030,46.877950
0500,Bender,Bender,本德尔市,municipality,618577,PPLA,110175,29.476710,46.831580
3401,Donduşeni,Dondușeni,栋杜谢尼区,official_city,618382,PPLA,9435,27.610100,48.242680
4801,Glodeni,Glodeni,格洛代尼区,official_city,618261,PPLA,10146,27.517530,47.774670
7402,Biruinţa,Biruința,森杰雷区,official_city,830975,PPL,4700,28.070040,47.813530
7401,Sîngerei,Sîngerei,森杰雷区,official_city,617914,PPLA,14600,28.140700,47.636940
8901,Teleneşti,Telenești,泰莱内什蒂区,official_city,617254,PPLA,6633,28.364780,47.501790
9202,Corneşti,Cornești,温盖尼区,official_city,618020,PPL,0,27.997840,47.370090
9201,Ungheni,Ungheni,温盖尼区,municipality,617180,PPLA,34422,27.800130,47.210230
7801,Soroca,Soroca,索罗卡区,municipality,617367,PPLA,27423,28.284890,48.156590
8301,Şoldăneşti,Șoldănești,绍尔德内什蒂区,official_city,617372,PPLA,6160,28.798410,47.816180
5702,Iargara,Iargara,莱奥瓦区,official_city,617081,PPL,5600,28.426760,46.425200
5701,Leova,Leova,莱奥瓦区,official_city,617904,PPLA,14301,28.252980,46.481950
7122,Costeşti,Costești,雷什卡内区,official_city,618000,PPL,0,27.259470,47.857910
7101,Rîşcani,Rîșcani,雷什卡内区,official_city,617482,PPLA,12893,27.566690,47.948290
6701,Rezina,Rezina,雷济纳区,official_city,617502,PPLA,9806,28.967690,47.748570
