administrative_code,name,admin_area,city_level,geonames_id,feature_code,population,longitude,latitude
3188516,Ulcinj,乌尔齐尼市镇,municipal_seat,3188516,PPLA,10828,19.224360,41.929360
3220594,Petnjica,佩特尼察市镇,municipal_seat,3220594,PPLA,0,19.963640,42.909660
3199463,Gusinje,古西涅市镇,municipal_seat,3199463,PPLA,1673,19.833890,42.561940
3188584,Tuzi,图齐市镇,municipal_seat,3188584,PPLA,3789,19.329700,42.365780
3204816,Andrijevica,安德里耶维察市镇,municipal_seat,3204816,PPLA,1073,19.791940,42.733890
3194494,Nikšić,尼克希奇市镇,municipal_seat,3194494,PPLA,58212,18.944460,42.773100
3204509,Bar,巴尔市镇,municipal_seat,3204509,PPLA,17727,19.098410,42.093700
3189979,Stari Bar,巴尔市镇,official_urban_town,3189979,PPL,1514,19.136000,42.097000
3189429,Sutomore,巴尔市镇,official_urban_town,3189429,PPL,1827,19.046670,42.142780
3187691,Virpazar,巴尔市镇,official_urban_town,3187691,PPL,337,19.092500,42.245560
3203106,Budva,布德瓦市镇,municipal_seat,3203106,PPLA,18000,18.839220,42.287210
3204388,Bečići,布德瓦市镇,official_urban_town,3204388,PPL,850,18.869170,42.283890
3193413,Petrovac na Moru,布德瓦市镇,official_urban_town,3193413,PPL,1485,18.942500,42.205560
3189282,Sveti Stefan,布德瓦市镇,official_urban_town,3189282,PPL,410,18.891390,42.256110
3186999,Žabljak,扎布利亚克市镇,municipal_seat,3186999,PPLA,1937,19.123250,43.154230
3199394,Herceg Novi,新海尔采格市镇,municipal_seat,3199394,PPLA,19536,18.537500,42.453060
3204214,Bijela,新海尔采格市镇,official_urban_town,3204214,PPL,2395,18.655560,42.453330
3199161,Igalo,新海尔采格市镇,official_urban_town,3199161,PPL,3754,18.506470,42.460070
3186616,Zelenika,新海尔采格市镇,official_urban_town,3186616,PPL,0,18.576670,42.451390
3193161,Pljevlja,普列夫利亚市镇,municipal_seat,3193161,PPLA,19489,19.358430,43.356700
3318571,Donji Gradac,普列夫利亚市镇,official_urban_town,3318571,PPL,0,19.152780,43.394170
3193131,Plužine,普卢日内市镇,municipal_seat,3193131,PPLA,1494,18.839020,43.152110
3193228,Plav,普拉夫市镇,municipal_seat,3193228,PPLA,3615,19.944150,42.596900
3204176,Bijelo Polje,比耶洛波列市镇,municipal_seat,3204176,PPLA,15400,19.747580,43.038340
3191222,Šavnik,沙夫尼克市镇,municipal_seat,3191222,PPLA,633,19.096050,42.956920
3193044,Podgorica,波德戈里察市,country_capital,3193044,PPLC,236852,19.263090,42.441240
3200422,Golubovci,泽塔市镇,municipal_seat,3200422,PPLA,3110,19.231040,42.335200
3197538,Kotor,科托尔市镇,municipal_seat,3197538,PPLA,5345,18.768250,42.420670
3201903,Dobrota,科托尔市镇,official_urban_town,3201903,PPLL,5435,18.768330,42.454170
3193504,Perast,科托尔市镇,official_urban_town,3193504,PPL,551,18.699170,42.486940
3192576,Prčanj,科托尔市镇,official_urban_town,3192576,PPL,1244,18.742220,42.457500
3191631,Risan,科托尔市镇,official_urban_town,3191631,PPL,2083,18.695560,42.515000
3197896,Kolašin,科拉欣市镇,municipal_seat,3197896,PPLA,2989,19.516530,42.822290
786234,Rožaje,罗扎伊市镇,municipal_seat,786234,PPLA,9121,20.166520,42.832990
3194926,Mojkovac,莫伊科瓦茨市镇,municipal_seat,3194926,PPLA,4120,19.583300,42.960440
3189073,Tivat,蒂瓦特市镇,municipal_seat,3189073,PPLA,6280,18.693610,42.436230
3201675,Donja Lastva,蒂瓦特市镇,official_urban_town,3201675,PPL,674,18.688610,42.443060
3199071,Berane,贝拉内市镇,municipal_seat,3199071,PPLA,11073,19.872810,42.843330
3202194,Danilovgrad,达尼洛夫格勒市镇,municipal_seat,3202194,PPLA,5208,19.146080,42.553840
3190178,Spuž,达尼洛夫格勒市镇,official_urban_town,3190178,PPL,1241,19.195000,42.515000
3202641,Cetinje,采蒂涅市镇,municipal_seat,3202641,PPLA,15137,18.914170,42.390630
3191646,Rijeka Crnojevića,采蒂涅市镇,official_urban_town,3191646,PPL,484,19.025280,42.356390
