administrative_code,name,official_name,admin_area,city_level,geonames_id,feature_code,population,longitude,latitude
789091,Kratovo,Kratovo,东北统计区,official_city,789091,PPLA,10288,22.181670,42.079060
789045,Kriva Palanka,Kriva Palanka,东北统计区,official_city,789045,PPLA,20820,22.333850,42.201970
788886,Kumanovo,Kumanovo,东北统计区,official_city,788886,PPLA,75051,21.715850,42.132790
792523,Bogdanci,Bogdanci,东南统计区,official_city,792523,PPLA,8636,22.575860,41.203630
790744,Gevgelija,Gevgelija,东南统计区,official_city,790744,PPLA,20664,22.501080,41.142890
786565,Radovis,Radoviš,东南统计区,official_city,786565,PPLA,24984,22.464720,41.638330
785380,Strumica,Strumica,东南统计区,official_city,785380,PPLA,33825,22.642880,41.437630
784733,Valandovo,Valandovo,东南统计区,official_city,784733,PPLA,3798,22.563030,41.317610
792656,Berovo,Berovo,东部统计区,official_city,792656,PPLA,13847,22.857160,41.701820
791559,Delcevo,Delčevo,东部统计区,official_city,791559,PPLA,17415,22.769440,41.967220
789403,Kochani,Kočani,东部统计区,official_city,789403,PPLA,34258,22.412780,41.916390
789629,Makedonska Kamenica,Makedonska Kamenica,东部统计区,official_city,789629,PPLA,8114,22.589810,42.021410
787147,Pehčevo,Pehčevo,东部统计区,official_city,787147,PPLA,2440,22.889820,41.762520
786700,Probishtip,Probištip,东部统计区,official_city,786700,PPLA,12702,22.178610,42.003060
784424,Vinica,Vinica,东部统计区,official_city,784424,PPLA,18218,22.510740,41.881200
785482,Shtip,Štip,东部统计区,official_city,785482,PPLA,48279,22.195830,41.745830
792578,Bitola,Bitola,佩拉戈尼亚统计区,official_city,792578,PPLA,69287,21.335530,41.032260
787778,Demir Hisar,Demir Hisar,佩拉戈尼亚统计区,official_city,787778,PPLA,2283,21.204050,41.220290
788961,Krusevo,Kruševo,佩拉戈尼亚统计区,official_city,788961,PPLA,5211,21.248890,41.368890
786735,Prilep,Prilep,佩拉戈尼亚统计区,official_city,786735,PPLA,73814,21.553700,41.345580
786341,Resen,Resen,佩拉戈尼亚统计区,official_city,786341,PPLA,16539,21.008850,41.089990
785842,Skopje,Skopje,斯科普里统计区,capital,785842,PPLC,474889,21.431410,41.996460
790295,Gostivar,Gostivar,波洛格统计区,official_city,790295,PPLA,50974,20.907990,41.796270
785082,Tetovo,Tetovo,波洛格统计区,official_city,785082,PPLA,63176,20.971380,42.009890
791542,Demir Kapija,Demir Kapija,瓦尔达尔统计区,official_city,791542,PPLA,4451,22.243050,41.406330
789541,Kavadarci,Kavadarci,瓦尔达尔统计区,official_city,789541,PPLA,38799,22.012180,41.433440
787716,Negotino,Negotino,瓦尔达尔统计区,official_city,787716,PPLA,19515,22.090560,41.484560
785201,Sveti Nikole,Sveti Nikole,瓦尔达尔统计区,official_city,785201,PPLA,13292,21.952740,41.869560
785058,Veles,Veles,瓦尔达尔统计区,official_city,785058,PPLA,57873,21.771960,41.717190
791606,Debar,Debar,西南统计区,official_city,791606,PPLA,18074,20.521980,41.522860
789527,Kičevo,Kičevo,西南统计区,official_city,789527,PPLA,31123,20.958670,41.512740
792257,Makedonski Brod,Makedonski Brod,西南统计区,official_city,792257,PPLA,5607,21.216410,41.513280
787487,Ohrid,Ohrid,西南统计区,official_city,787487,PPLA,42033,20.801750,41.117010
785387,Struga,Struga,西南统计区,official_city,785387,PPLA,37387,20.678940,41.177870
