administrative_code,name,admin_area,city_level,geonames_id,longitude,latitude
capital-ulaanbaatar,Улаанбаатар,Улаанбаатар,capital_city,2028462,106.883240,47.907710
national-darkhan,Дархан,Дархан-Уул,national_city,2031964,105.922780,49.486670
national-erdenet,Эрдэнэт,Орхон,national_city,2031405,104.083330,49.033330
national-choibalsan,Чойбалсан,Дорнод,national_city,2032054,114.532640,48.072570
aimag-uliastai,Улиастай,Завхан,aimag_city,1515007,96.844440,47.741670
aimag-olgii,Өлгий,Баян-Өлгий,aimag_city,1515436,89.962500,48.968330
aimag-moron,Мөрөн,Хөвсгөл,aimag_city,2029945,100.162500,49.634170
aimag-tsetserleg,Цэцэрлэг,Архангай,aimag_city,2028606,101.454170,47.475000
aimag-khovd,Ховд,Ховд,aimag_city,1516048,91.641940,48.005560
aimag-ulaangom,Улаангом,Увс,aimag_city,1515029,92.066670,49.981110
aimag-sukhbaatar,Сүхбаатар,Сэлэнгэ,aimag_city,2029156,106.207780,50.231390
aimag-bayankhongor,Баянхонгор,Баянхонгор,aimag_city,2032533,100.718060,46.194440
aimag-chinggis,Чингис,Хэнтий,aimag_city,2029656,110.655560,47.319440
aimag-zuunmod,Зуунмод,Төв,aimag_city,2031517,106.952780,47.706940
aimag-baruun-urt,Баруун-Урт,Сүхбаатар,aimag_city,2032614,113.279170,46.680560
aimag-sainshand,Сайншанд,Дорноговь,aimag_city,2032081,110.116310,44.882390
aimag-dalanzadgad,Даланзадгад,Өмнөговь,aimag_city,2032007,104.425000,43.570830
aimag-arvaikheer,Арвайхээр,Өвөрхангай,aimag_city,2032814,102.775000,46.263890
aimag-mandalgovi,Мандалговь,Дундговь,aimag_city,2030065,106.270830,45.762500
aimag-altai,Алтай,Говь-Алтай,aimag_city,1516393,96.258330,46.372220
aimag-bulgan,Булган,Булган,aimag_city,2032201,103.534720,48.812500
aimag-zuunkharaa,Зүүнхараа,Сэлэнгэ,aimag_city,2030066,106.733330,48.633330
aimag-tosontsengel,Тосонцэнгэл,Завхан,aimag_city,1515167,98.283890,48.756670
aimag-choir,Чойр,Говьсүмбэр,aimag_city,2032050,108.361110,46.361110
