administrative_code,name,admin_area,city_level,geonames_id,longitude,latitude
10106,Phungling,Taplejung,municipality,,87.714617,27.380617
10206,Khandabari,Sankhuwasabha,municipality,,87.195493,27.398721
10207,Panchakhapan,Sankhuwasabha,municipality,,87.309667,27.354685
10208,Chainapur,Sankhuwasabha,municipality,,87.363819,27.304923
10209,Madi,Sankhuwasabha,municipality,,87.418158,27.256885
10210,Dharmadevi,Sankhuwasabha,municipality,,87.348731,27.207592
10307,Solu Dhudhakunda,Solukhumbu,municipality,,86.574962,27.567046
10402,Siddhicharan,Okhaldhunga,municipality,,86.516487,27.323352
10504,Halesi Tuwachung,Khotang,municipality,,86.606420,27.166405
10505,Diktel Rupakot Majhuwagadhi,Khotang,municipality,,86.805067,27.232806
10601,Shadananda,Bhojpur,municipality,,87.111350,27.329730
10604,Bhojpur,Bhojpur,municipality,,87.060580,27.201683
10701,Mahalaxmi,Dhankuta,municipality,,87.332646,27.136705
10702,Pakhribas,Dhankuta,municipality,,87.254372,27.052204
10704,Dhankuta,Dhankuta,municipality,,87.330912,26.982895
10804,Myanglung,Terhathum,municipality,,87.528644,27.138452
10805,Laligurans,Terhathum,municipality,,87.450667,27.127621
10904,Phidim,Panchthar,municipality,,87.801941,27.116558
11003,Illam,Ilam,municipality,,87.911279,26.930978
11004,Deumai,Ilam,municipality,,87.832541,26.920891
11008,Mai,Ilam,municipality,,87.870611,26.766408
11009,Suryodaya,Ilam,municipality,,88.071227,26.890317
11101,Mechinagar,Jhapa,municipality,,88.118349,26.674937
11103,Arjundhara,Jhapa,municipality,,87.986923,26.704138
11104,Kankai,Jhapa,municipality,,87.908169,26.640160
11105,Shivasatakshi,Jhapa,municipality,,87.823307,26.611745
11107,Damak,Jhapa,municipality,,87.679239,26.672618
11108,Gauradaha,Jhapa,municipality,,87.707539,26.532150
11112,Birtamod,Jhapa,municipality,,87.996576,26.608380
11114,Bhadrapur,Jhapa,municipality,,88.076911,26.523931
11202,Letang,Morang,municipality,,87.519206,26.755068
11204,Sundarharaicha,Morang,municipality,,87.352388,26.657149
11205,Belbari,Morang,municipality,,87.442013,26.629296
11207,Pathari Shanishchare,Morang,municipality,,87.567714,26.611481
11208,Urlabari,Morang,municipality,,87.624323,26.648927
11209,Ratuwamai,Morang,municipality,,87.622587,26.478805
11210,Sunwarshi,Morang,municipality,,87.557206,26.481002
11211,Rangeli,Morang,municipality,,87.472756,26.494236
11214,Biratnagar,Morang,metropolitan_city,,87.279699,26.448979
11301,Dharan,Sunsari,sub_metropolitan_city,,87.276985,26.800559
11302,Barahachhetra,Sunsari,municipality,,87.136086,26.754392
11305,Ramdhuni,Sunsari,municipality,,87.183110,26.687242
11306,Itahari,Sunsari,sub_metropolitan_city,,87.267499,26.672379
11307,Duhabi,Sunsari,municipality,,87.248966,26.554160
11309,Inaruwa,Sunsari,municipality,,87.164877,26.606709
11401,Belaka,Udayapur,municipality,,87.052574,26.824210
11402,Chaudandigadhi,Udayapur,municipality,,86.882764,26.808430
11403,Triyuga,Udayapur,municipality,,86.693330,26.806632
11407,Katari,Udayapur,municipality,,86.386577,26.998628
20101,Saptakoshi,Saptari,municipality,,86.929829,26.710331
20102,Kanchanrup,Saptari,municipality,,86.900750,26.635756
20105,Shambhunath,Saptari,municipality,,86.684537,26.637902
20106,Khadak,Saptari,municipality,,86.607083,26.640438
20107,Surunga,Saptari,municipality,,86.542086,26.699048
20109,Bode Barsain,Saptari,municipality,,86.573850,26.564207
20110,Dakneshwori,Saptari,municipality,,86.632837,26.529844
20113,Rajbiraj,Saptari,municipality,,86.767869,26.535148
20116,Hanumannagar Kankalini,Saptari,municipality,,86.878688,26.512112
20201,Lahan,Siraha,municipality,,86.483634,26.756467
20202,Dhangadhimai,Siraha,municipality,,86.416125,26.810372
20203,Golbazar,Siraha,municipality,,86.346283,26.814441
20204,Mirchaiya,Siraha,municipality,,86.259941,26.835005
20205,Karjanha,Siraha,municipality,,86.181851,26.867912
20206,Kalyanpur,Siraha,municipality,,86.202046,26.760224
20210,Sukhipur,Siraha,municipality,,86.352676,26.696308
20217,Siraha,Siraha,municipality,,86.221932,26.647137
20301,Ganeshman Charnath,Dhanusha,municipality,,86.125725,26.939023
20302,Dhanushadham,Dhanusha,municipality,,86.045465,26.873953
20303,Mithila,Dhanusha,municipality,,85.967153,26.978749
20305,Chhireshwornath,Dhanusha,municipality,,85.975703,26.846202
20307,Mithila Bihari,Dhanusha,municipality,,86.003511,26.797269
20308,Hansapur,Dhanusha,municipality,,86.029876,26.757725
20309,Sabaila,Dhanusha,municipality,,86.104679,26.798442
20310,Shahidnagar,Dhanusha,municipality,,86.109196,26.734705
20311,Kamala,Dhanusha,municipality,,86.158314,26.699235
20313,Bideha,Dhanusha,municipality,,86.062710,26.678663
