administrative_code,name,admin_area,city_level,geonames_id,feature_code,population,longitude,latitude
287939,Haymā’,中部省,governorate_capital,287939,PPLA,1294,56.275750,19.959310
286621,Şalālah,佐法尔省,governorate_capital,286621,PPLA,163140,54.092370,17.015050
286140,Thamarīt,佐法尔省,populated_place_5000_plus,286140,PPL,10552,54.033330,17.670000
8549596,Al Mazyūnah,佐法尔省,second_order_administrative_seat,8549596,PPLA2,0,52.660420,17.838360
287832,Ibrā’,北东部省,governorate_capital,287832,PPLA,25265,58.533370,22.690570
289142,Al Qābil,北东部省,populated_place_5000_plus,289142,PPL,14008,58.694720,22.571000
288902,Badīyah,北东部省,populated_place_5000_plus,288902,PPL,18479,58.800000,22.450000
286282,Sohar,北巴提奈省,governorate_capital,286282,PPLA,108274,56.709370,24.347450
289199,Al Khābūrah,北巴提奈省,populated_place_5000_plus,289199,PPL,50223,57.093130,23.971440
288955,As Suwayq,北巴提奈省,populated_place_5000_plus,288955,PPL,107143,57.438610,23.849440
289174,Liwá,北巴提奈省,populated_place_5000_plus,289174,PPL,26372,56.563000,24.530770
286402,Shināş,北巴提奈省,populated_place_5000_plus,286402,PPL,48009,56.466980,24.742600
286647,Şaḩam,北巴提奈省,populated_place_5000_plus,286647,PPL,140000,56.888610,24.172220
286245,Sur,南东部省,governorate_capital,286245,PPLA,71152,59.528890,22.566670
288789,Barkā’,南巴提奈省,official_city_or_populated_place_5000_plus,288789,PPLX,81647,57.886050,23.678720
289011,Rustaq,南巴提奈省,populated_place_5000_plus,289011,PPL,120000,57.424440,23.390830
289317,Al Buraymī,布赖米省,governorate_capital,289317,PPLA,73670,55.793120,24.250880
411849,Yanqul,扎希拉省,populated_place_5000_plus,411849,PPL,16599,56.539690,23.586450
287830,‘Ibrī,扎希拉省,populated_place_5000_plus,287830,PPL,163473,56.515720,23.225730
287614,Khasab,穆桑达姆省,governorate_capital,287614,PPLA,17904,56.247740,26.179930
11764763,Mīnā’ Dabā,穆桑达姆省,populated_place_5000_plus,11764763,PPL,9863,56.265160,25.650560
286987,Nizwá,达希利耶省,governorate_capital,286987,PPLA,72076,57.533330,22.933330
289433,Adam,达希利耶省,populated_place_5000_plus,289433,PPL,17283,57.527180,22.379340
288899,Bahlā’,达希利耶省,populated_place_5000_plus,288899,PPL,54338,57.304700,22.978860
288721,Bidbid,达希利耶省,populated_place_5000_plus,288721,PPL,21188,58.128300,23.407870
287814,Izkī,达希利耶省,populated_place_5000_plus,287814,PPL,36203,57.766670,22.933330
286590,Samā’il,达希利耶省,populated_place_5000_plus,286590,PPL,80538,57.953100,23.298380
287286,Muscat,马斯喀特省,country_capital,287286,PPLC,797000,58.407780,23.584130
287275,Muţraḩ,马斯喀特省,official_city_or_populated_place_5000_plus,287275,PPLX,0,58.557170,23.617750
288764,Bawshar,马斯喀特省,populated_place_5000_plus,288764,PPL,383257,58.399820,23.577690
286839,Qurayyāt,马斯喀特省,populated_place_5000_plus,286839,PPL,63133,58.920140,23.262980
288967,Seeb,马斯喀特省,populated_place_5000_plus,288967,PPL,470878,58.189110,23.670270
