administrative_code,name,admin_area,city_level,geonames_id,longitude,latitude
0102805000,Batac,Ilocos Norte,component_city,1726339,120.564890,18.055400
0102812000,Laoag,Ilocos Norte,component_city,1707404,120.595700,18.197800
0102906000,Candon,Ilocos Sur,component_city,1719251,120.451670,17.194720
0102934000,Vigan,Ilocos Sur,component_city,1679980,120.386940,17.574720
0103314000,San Fernando,La Union,component_city,1690033,120.316630,16.615910
0105503000,Alaminos,Pangasinan,component_city,1731685,119.981110,16.156110
0105518000,Dagupan,Pangasinan,independent_component_city,1716198,120.333250,16.043130
0105532000,San Carlos,Pangasinan,component_city,1690206,120.348630,15.929410
0105546000,Urdaneta,Pangasinan,component_city,1680197,120.571110,15.976110
0201529000,Tuguegarao City,Cagayan,component_city,1680932,121.722850,17.615770
0203108000,Cauayan,Isabela,component_city,1717729,121.772500,16.934720
0203114000,Ilagan,Isabela,component_city,1711146,121.889240,17.148540
0203135000,Santiago,Isabela,independent_component_city,1687801,121.548700,16.688080
0300803000,Balanga,Bataan,component_city,1728523,120.536110,14.676110
0301403000,Baliwag,Bulacan,component_city,1727995,120.896940,14.954720
0301410000,Malolos,Bulacan,component_city,1702540,120.810390,14.844300
0301412000,Meycauayan,Bulacan,component_city,1699802,120.960830,14.736940
0301420000,San Jose Del Monte,Bulacan,component_city,1689395,121.045280,14.813890
0304903000,Cabanatuan,Nueva Ecija,component_city,1721906,120.966480,15.485860
0304908000,Gapan,Nueva Ecija,component_city,1713226,120.946400,15.307200
0304917000,Science City of Muñoz,Nueva Ecija,component_city,1699088,120.903060,15.716110
0304919000,Palayan,Nueva Ecija,component_city,1696165,121.084800,15.541500
0304926000,San Jose City,Nueva Ecija,component_city,1689431,120.989400,15.792300
0305409000,Mabalacat City,Pampanga,component_city,1704703,120.571170,15.223030
0305416000,San Fernando,Pampanga,component_city,1690039,120.684450,15.034250
0306916000,Tarlac,Tarlac,component_city,1682812,120.597940,15.480170
0330100000,Angeles,Pampanga,highly_urbanized_city,1730737,120.583330,15.150000
0331400000,Olongapo,Zambales,highly_urbanized_city,1697175,120.282780,14.829170
0401005000,Batangas City,Batangas,component_city,1726280,121.058400,13.756700
0401007000,Calaca,Batangas,component_city,1720751,120.813270,13.932440
0401014000,Lipa,Batangas,component_city,1706090,121.163100,13.941100
0401028000,Sto. Tomas,Batangas,component_city,1687534,121.141360,14.107900
0401031000,Tanauan,Batangas,component_city,1683340,121.149750,14.086270
0402103000,Bacoor,Cavite,component_city,1729524,120.938510,14.458960
0402104000,Carmona,Cavite,component_city,1718306,121.057600,14.313200
