administrative_code,name,admin_area,city_level,geonames_id,longitude,latitude
AWARAN-AWARAN-MUNICIPAL-COMMITTEE,Awaran,Awaran,municipal_committee,1184205,65.231440,26.456770
AWARAN-GUJAR-MASHKAI-MUNICIPAL-COMMITTEE,Gujar Mashkai,Awaran,municipal_committee,1179112,65.561320,27.111360
BARKHAN-BARKHAN-MUNICIPAL-COMMITTEE,Barkhan,Barkhan,municipal_committee,1183307,69.525580,29.897730
CHAGAI-DALBANDIN-MUNICIPAL-COMMITTEE,Dalbandin,Chagai,municipal_committee,1180729,64.406160,28.888460
CHAMAN-CHAMAN-MUNICIPAL-CORPORATION,Chaman,Chaman,municipal_corporation,1181611,66.452590,30.917690
DERA-BUGTI-DERA-BUGTI-MUNICIPAL-COMMITTEE,Dera Bugti,Dera Bugti,municipal_committee,1180295,69.158490,29.036190
DERA-BUGTI-SUI-MUNICIPAL-COMMITTEE,Sui,Dera Bugti,municipal_committee,11019477,69.178880,28.631670
DUKI-DUKI-MUNICIPAL-COMMITTEE,Duki,Duki,municipal_committee,1353378,68.567600,30.177480
GWADAR-GWADAR-MUNICIPAL-COMMITTEE,Gwadar,Gwadar,municipal_committee,1177446,62.325410,25.121630
GWADAR-JIWANI-MUNICIPAL-COMMITTEE,Jiwani,Gwadar,municipal_committee,1175712,61.745730,25.048520
GWADAR-ORMARA-MUNICIPAL-COMMITTEE,Ormara,Gwadar,municipal_committee,1168700,64.636260,25.210180
GWADAR-PASNI-MUNICIPAL-COMMITTEE,Pasni,Gwadar,municipal_committee,1168312,63.469210,25.263020
HARNAI-HARNAI-MUNICIPAL-COMMITTEE,Harnai,Harnai,municipal_committee,12524520,67.347350,30.255720
HARNAI-SHAHRIG-MUNICIPAL-COMMITTEE,Shahrig,Harnai,municipal_committee,1165495,67.709810,30.190050
JAFFARABAD-DERA-ALLAH-YAR-MUNICIPAL-CORPORATION,Dera Allah Yar,Jaffarabad,municipal_corporation,9034767,68.350320,28.374730
JAFFARABAD-USTA-MUHAMMAD-MUNICIPAL-CORPORATION,Usta Muhammad,Jaffarabad,municipal_corporation,1162868,68.043670,28.177230
JHAL-MAGSI-GANDAWA-MUNICIPAL-COMMITTEE,Gandawa,Jhal Magsi,municipal_committee,1179030,67.485640,28.613210
KACHHI-BHAG-MUNICIPAL-COMMITTEE,Bhag,Kachhi,municipal_committee,1182872,67.823940,29.041740
KACHHI-DHADAR-MUNICIPAL-COMMITTEE,Dhadar,Kachhi,municipal_committee,1180825,67.651670,29.474890
KACHHI-MACH-MUNICIPAL-COMMITTEE,Mach,Kachhi,municipal_committee,1171757,67.330180,29.863710
KALAT-KALAT-MUNICIPAL-COMMITTEE,Kalat,Kalat,municipal_committee,1175296,66.593610,29.026630
KECH-BULAIDA-MUNICIPAL-COMMITTEE,Bulaida,Kech,municipal_committee,1181169,63.153720,26.309150
KECH-TUMP-MUNICIPAL-COMMITTEE,Tump,Kech,municipal_committee,1163071,62.365870,26.101440
KECH-TURBAT-MUNICIPAL-CORPORATION,Turbat,Kech,municipal_corporation,1163054,63.048490,26.001220
KHARAN-KHARAN-MUNICIPAL-COMMITTEE,Kharan,Kharan,municipal_committee,1174062,65.415010,28.584590
KHUZDAR-KHUZDAR-MUNICIPAL-CORPORATION,Khuzdar,Khuzdar,municipal_corporation,1173664,66.610960,27.811930
KHUZDAR-NAL-MUNICIPAL-COMMITTEE,Nal,Khuzdar,municipal_committee,1169469,66.191510,27.686890
KHUZDAR-WADH-MUNICIPAL-COMMITTEE,Wadh,Khuzdar,municipal_committee,7110974,66.910000,27.449000
KHUZDAR-ZEHRI-MUNICIPAL-COMMITTEE,Zehri,Khuzdar,municipal_committee,12524500,66.749740,28.567500
KILLA-ABDULLAH-KILLA-ABDULLAH-MUNICIPAL-COMMITTEE,Killa Abdullah,Killa Abdullah,municipal_committee,1167579,66.661170,30.728030
KILLA-SAIFULLAH-KILLA-SAIFULLAH-MUNICIPAL-COMMITTEE,Killa Saifullah,Killa Saifullah,municipal_committee,1167550,68.359840,30.700770
KILLA-SAIFULLAH-MUSLIM-BAGH-MUNICIPAL-COMMITTEE,Muslim Bagh,Killa Saifullah,municipal_committee,1169625,67.734000,30.824280
KOHLU-KOHLU-MUNICIPAL-COMMITTEE,Kohlu,Kohlu,municipal_committee,1173464,69.231000,29.903000
LASBELA-BELA-MUNICIPAL-COMMITTEE,Bela,Lasbela,municipal_committee,1182998,66.311780,26.227180
LASBELA-DUREJI-MUNICIPAL-COMMITTEE,Dureji,Lasbela,municipal_committee,1179439,67.303110,25.884050
LASBELA-GADDANI-MUNICIPAL-COMMITTEE,Gaddani,Lasbela,municipal_committee,1179185,66.732190,25.118790
LASBELA-HUB-MUNICIPAL-COMMITTEE,Hub,Lasbela,municipal_committee,12524485,66.885340,25.025550
LASBELA-UTHAL-MUNICIPAL-COMMITTEE,Uthal,Lasbela,municipal_committee,1162862,66.621940,25.807220
LASBELA-WINDER-MUNICIPAL-COMMITTEE,Winder,Lasbela,municipal_committee,11610649,66.664650,25.385360
LORALAI-LORALAI-MUNICIPAL-COMMITTEE,Loralai,Loralai,municipal_committee,1171868,68.597950,30.370510
MASTUNG-MASTUNG-MUNICIPAL-COMMITTEE,Mastung,Mastung,municipal_committee,1170706,66.845530,29.799660
MUSAKHEL-MUSAKHEL-MUNICIPAL-COMMITTEE,Musakhel,Musakhel,municipal_committee,1169663,69.822080,30.859440
NASIRABAD-DERA-MURAD-JAMALI-MUNICIPAL-COMMITTEE,Dera Murad Jamali,Nasirabad,municipal_committee,1397479,68.223080,28.546570
NUSHKI-NUSHKI-MUNICIPAL-COMMITTEE,Nushki,Nushki,municipal_committee,1168749,66.022880,29.552180
PANJGUR-CHITKAN-MUNICIPAL-CORPORATION,Chitkan,Panjgur,municipal_corporation,11221193,64.081780,26.965360
PANJGUR-TASP-MUNICIPAL-COMMITTEE,Tasp,Panjgur,municipal_committee,11221164,64.053080,26.983760
PANJGUR-WASHBOOD-MUNICIPAL-COMMITTEE,Washbood,Panjgur,municipal_committee,11225240,64.144220,27.002170
PISHIN-HURRAM-ZAI-MUNICIPAL-COMMITTEE,Hurram Zai,Pishin,municipal_committee,1176771,66.842100,30.726870
PISHIN-KHANOZAI-MUNICIPAL-COMMITTEE,Khanozai,Pishin,municipal_committee,1174176,67.325820,30.624840
PISHIN-PISHIN-MUNICIPAL-CORPORATION,Pishin,Pishin,municipal_corporation,1167821,66.994060,30.581760
PISHIN-SARANAN-MUNICIPAL-COMMITTEE,Saranan,Pishin,municipal_committee,1342085,66.850930,30.604520
QUETTA-QUETTA-METROPOLITAN-CORPORATION,Quetta,Quetta,metropolitan_corporation,1167528,67.001410,30.184140
SIBI-SIBI-MUNICIPAL-COMMITTEE,Sibi,Sibi,municipal_committee,1164896,67.877260,29.542990
SOHBATPUR-SOHBATPUR-MUNICIPAL-COMMITTEE,Sohbatpur,Sohbatpur,municipal_committee,1164660,68.542980,28.520380
SURAB-SURAB-MUNICIPAL-COMMITTEE,Surab,Surab,municipal_committee,1164306,66.259990,28.492760
WASHUK-WASHUK-MUNICIPAL-COMMITTEE,Washuk,Washuk,municipal_committee,1162500,64.809720,27.727280
ZHOB-ZHOB-MUNICIPAL-COMMITTEE,Zhob,Zhob,municipal_committee,1162105,69.449300,31.340820
ZIARAT-SINJAWI-MUNICIPAL-COMMITTEE,Sinjawi,Ziarat,municipal_committee,1166119,68.343600,30.282940
ZIARAT-ZIARAT-MUNICIPAL-COMMITTEE,Ziarat,Ziarat,municipal_committee,1394355,67.742160,30.343370
ISLAMABAD-ISLAMABAD-METROPOLITAN-CORPORATION,Islamabad,Islamabad,metropolitan_corporation,1176615,73.043290,33.721480
ABBOTTABAD-ABBOTTABAD-MUNICIPAL-COMMITTEE,Abbottabad,Abbottabad,municipal_committee,1185056,73.211680,34.146300
ABBOTTABAD-HAVELIAN-MUNICIPAL-COMMITTEE,Havelian,Abbottabad,municipal_committee,1176995,73.159930,34.053480
BANNU-BANNU-MUNICIPAL-COMMITTEE,Bannu,Bannu,municipal_committee,1183460,70.604030,32.985270
CHARSADDA-CHARSADDA-MUNICIPAL-COMMITTEE,Charsadda,Charsadda,municipal_committee,1335536,71.631710,34.304840
CHARSADDA-SHABQADAR-MUNICIPAL-COMMITTEE,Shabqadar,Charsadda,municipal_committee,1165744,71.554800,34.215990
CHARSADDA-TANGI-MUNICIPAL-COMMITTEE,Tangi,Charsadda,municipal_committee,1163927,71.652380,34.300900
CHARSADDA-UTMANZAI-MUNICIPAL-COMMITTEE,Utmanzai,Charsadda,municipal_committee,1334363,71.759050,34.372700
DERA-ISMAIL-KHAN-DERA-ISMAIL-KHAN-MUNICIPAL-COMMITTEE,Dera Ismail Khan,Dera Ismail Khan,municipal_committee,1180281,70.901700,31.831290
DERA-ISMAIL-KHAN-KULACHI-MUNICIPAL-COMMITTEE,Kulachi,Dera Ismail Khan,municipal_committee,1172779,70.459590,31.930580
DERA-ISMAIL-KHAN-PAHARPUR-MUNICIPAL-COMMITTEE,Paharpur,Dera Ismail Khan,municipal_committee,1168633,70.970550,32.105020
DERA-ISMAIL-KHAN-PAROA-MUNICIPAL-COMMITTEE,Paroa,Dera Ismail Khan,municipal_committee,1168354,70.760060,31.557290
HANGU-HANGU-MUNICIPAL-COMMITTEE,Hangu,Hangu,municipal_committee,1177203,71.059500,33.531980
HANGU-TALL-MUNICIPAL-COMMITTEE,Tall,Hangu,municipal_committee,1163651,70.551000,33.364540
HARIPUR-HARIPUR-MUNICIPAL-COMMITTEE,Haripur,Haripur,municipal_committee,1177107,72.934930,33.997830
HARIPUR-KHALABAT-MUNICIPAL-COMMITTEE,Khalabat,Haripur,municipal_committee,1174301,72.889630,34.059970
KARAK-KARAK-MUNICIPAL-COMMITTEE,Karak,Karak,municipal_committee,1174074,71.093540,33.116330
KOHAT-KOHAT-MUNICIPAL-COMMITTEE,Kohat,Kohat,municipal_committee,1173491,71.449290,33.581960
