administrative_code,name,admin_area,city_level,geonames_id,feature_code,population,longitude,latitude
281133,Gaza,加沙地带,administrative_center,281133,PPLA,410000,34.466720,31.501610
281141,Dayr al Balaḩ,加沙地带,governorate_center,281141,PPLA2,59504,34.349330,31.418340
281124,Khān Yūnis,加沙地带,governorate_center,281124,PPLA2,173183,34.306270,31.340180
281102,Rafaḩ,加沙地带,governorate_center,281102,PPLA2,126305,34.243570,31.297220
281160,Al Fukhkhārī,加沙地带,populated_place_5000_plus,281160,PPL,5464,34.330610,31.292780
6968063,Al Mughrāqah,加沙地带,populated_place_5000_plus,6968063,PPL,6448,34.412080,31.465870
6967865,Al Qarārah,加沙地带,populated_place_5000_plus,6967865,PPL,19500,34.340850,31.373890
6967857,An Naşr,加沙地带,populated_place_5000_plus,6967857,PPL,6211,34.302530,31.281370
6967990,Az Zuwāydah,加沙地带,populated_place_5000_plus,6967990,PPL,16688,34.380530,31.439540
281148,Banī Suhaylā,加沙地带,populated_place_5000_plus,281148,PPL,31272,34.323370,31.343370
281145,Bayt Lāhyā,加沙地带,populated_place_5000_plus,281145,PPL,56919,34.495140,31.546400
281146,Bayt Ḩānūn,加沙地带,populated_place_5000_plus,281146,PPL,37392,34.535790,31.535300
281129,Jabālyā,加沙地带,populated_place_5000_plus,281129,PPL,168568,34.483470,31.527200
281119,Khuzā‘ah,加沙地带,populated_place_5000_plus,281119,PPL,9023,34.361100,31.306750
281093,Shūkat aş Şūfī,加沙地带,populated_place_5000_plus,281093,PPL,10566,34.282600,31.259970
6967863,‘Abasān al Jadīdah,加沙地带,populated_place_5000_plus,6967863,PPL,5984,34.345920,31.341580
281165,‘Abasān al Kabīrah,加沙地带,populated_place_5000_plus,281165,PPL,18163,34.340050,31.319130
284899,Jericho,约旦河西岸,administrative_center,284899,PPLA,19783,35.450000,31.866670
284315,Bethlehem,约旦河西岸,governorate_center,284315,PPLA2,29019,35.203760,31.704870
285066,Hebron,约旦河西岸,governorate_center,285066,PPLA2,160470,35.093800,31.529350
282615,Nablus,约旦河西岸,governorate_center,282615,PPLA2,130326,35.254440,32.221110
281581,Ţūbās,约旦河西岸,governorate_center,281581,PPLA2,15591,35.369890,32.320910
285279,Abū Dīs,约旦河西岸,populated_place_5000_plus,285279,PPL,11753,35.261660,31.762150
7890368,Ad Dawḩah,约旦河西岸,populated_place_5000_plus,7890368,PPL,9631,35.180470,31.699480
285108,Al Bīrah,约旦河西岸,populated_place_5000_plus,285108,PPL,38192,35.216450,31.910010
285061,Al Khaḑir,约旦河西岸,populated_place_5000_plus,285061,PPL,9003,35.166850,31.694050
284999,Al Yāmūn,约旦河西岸,populated_place_5000_plus,284999,PPL,16164,35.230110,32.485630
285111,Al ‘Ayzarīyah,约旦河西岸,populated_place_5000_plus,285111,PPL,17455,35.269170,31.770780
7890350,Al ‘Ubaydīyah,约旦河西岸,populated_place_5000_plus,7890350,PPL,10618,35.290070,31.716970
284890,Ar Rām wa Ḑāḩiyat al Barīd,约旦河西岸,populated_place_5000_plus,284890,PPL,24838,35.234200,31.849450
284583,As Samū‘,约旦河西岸,populated_place_5000_plus,284583,PPL,19355,35.066110,31.396710
284597,Ash Shuyūkh,约旦河西岸,populated_place_5000_plus,284597,PPL,8151,35.156060,31.570040
285034,Az Zaytūnīyah,约旦河西岸,populated_place_5000_plus,285034,PPL,6107,35.162400,31.954030
284486,Az̧ Z̧āhirīyah,约旦河西岸,populated_place_5000_plus,284486,PPL,27616,34.973290,31.409670
284461,Bal‘ā,约旦河西岸,populated_place_5000_plus,284461,PPL,6545,35.111600,32.333920
284431,Banī Na‘īm,约旦河西岸,populated_place_5000_plus,284431,PPL,19783,35.164160,31.515910
7889665,Banī Zayd,约旦河西岸,populated_place_5000_plus,7889665,PPL,5441,35.103160,32.039240
282783,Banī Zayd ash Shārqīyah,约旦河西岸,populated_place_5000_plus,282783,PPL,5015,35.165930,32.049350
284341,Bayt Fajjār,约旦河西岸,populated_place_5000_plus,284341,PPL,10579,35.154570,31.624430
284339,Bayt Fūrīk,约旦河西岸,populated_place_5000_plus,284339,PPL,10108,35.335410,32.176890
284324,Bayt Jālā,约旦河西岸,populated_place_5000_plus,284324,PPL,16183,35.187880,31.715450
284320,Bayt Kāḩil,约旦河西岸,populated_place_5000_plus,284320,PPL,5663,35.065020,31.570110
284312,Bayt Liqyā,约旦河西岸,populated_place_5000_plus,284312,PPL,7795,35.065400,31.869580
284313,Bayt Līd,约旦河西岸,populated_place_5000_plus,284313,PPL,5740,35.131690,32.260890
284304,Bayt Sāḩūr,约旦河西岸,populated_place_5000_plus,284304,PPL,14921,35.226310,31.700950
