administrative_code,name,admin_area,city_level,geonames_id,feature_code,population,longitude,latitude
289524,Umm Şalāl ‘Alī,乌姆萨拉勒市,municipality_center,289524,PPLA,0,51.397500,25.469720
289523,Umm Şalāl Muḩammad,乌姆萨拉勒市,populated_place_5000_plus,289523,PPL,29391,51.406470,25.415240
289739,Madīnat ash Shamāl,北部市,municipality_center,289739,PPLA,5267,51.200900,26.129330
290030,Doha,多哈市,country_capital,290030,PPLC,344939,51.530960,25.285450
289847,Az̧ Z̧a‘āyin,戴扬市,municipality_center,289847,PPLA,54339,51.483060,25.577440
13512674,Lusail,戴扬市,populated_place_5000_plus,13512674,PPL,198600,51.507500,25.417500
289915,Al Wakrah,沃克拉市,municipality_center,289915,PPLA,26436,51.603370,25.171510
289913,Al Wukayr,沃克拉市,populated_place_5000_plus,289913,PPL,5146,51.537180,25.151070
289525,Musay‘īd,沃克拉市,populated_place_5000_plus,289525,PPL,5769,51.550670,24.992260
289877,Ash Shīḩānīyah,沙哈尼亚市,municipality_center,289877,PPLA,8380,51.222640,25.370880
289813,Dukhān,沙哈尼亚市,populated_place_5000_plus,289813,PPL,7250,50.782270,25.424850
289962,Al Khawr,豪尔市,municipality_center,289962,PPLA,18923,51.505830,25.683890
289888,Ar Rayyān,赖扬市,municipality_center,289888,PPLA,272465,51.424440,25.291940
