administrative_code,name,official_name,admin_area,city_level,geonames_id,feature_code,population,longitude,latitude
101190,Bolintin Vale,BOLINTIN-VALE,久尔久县,oras,684266,PPLA2,11700,25.757780,44.448890
100521,Giurgiu,GIURGIU,久尔久县,municipiu,677106,PPLA,54551,25.962700,43.886640
104136,Mihăileşti,MIHĂILEŞTI,久尔久县,oras,673387,PPLA2,7506,25.908330,44.326670
179221,Bragadiru,BRAGADIRU,伊尔福夫县,oras,683914,PPLA2,8274,25.977500,44.371110
100576,Buftea,BUFTEA,伊尔福夫县,oras,683394,PPLA2,20691,25.948890,44.561390
179285,Chitila,CHITILA,伊尔福夫县,oras,681990,PPLA2,12788,25.982220,44.508060
179409,Măgurele,MĂGURELE,伊尔福夫县,oras,674117,PPLA2,9375,26.033330,44.350000
179481,Otopeni,OTOPENI,伊尔福夫县,oras,671590,PPLA2,10332,26.066670,44.550000
179515,Pantelimon,PANTELIMON,伊尔福夫县,oras,671382,PPLA2,16206,26.200000,44.450000
179533,Popeşti-Leordeni,POPEŞTI-LEORDENI,伊尔福夫县,oras,669870,PPLA2,15279,26.166670,44.383330
179551,Voluntari,VOLUNTARI,伊尔福夫县,oras,662476,PPLA2,30323,26.173380,44.490020
101458,Budeşti,BUDEŞTI,克勒拉希县,oras,683447,PPLA2,9598,26.465830,44.234720
92569,Călăraşi,CĂLĂRAŞI,克勒拉希县,municipiu,673150,PPLA,6687,27.313560,44.205100
103032,Fundulea,FUNDULEA,克勒拉希县,oras,677790,PPLA2,6668,26.516670,44.466670
93888,Lehliu-Gară,LEHLIU-GARĂ,克勒拉希县,oras,674916,PPL,6538,26.850000,44.433330
100610,Olteniţa,OLTENIŢA,克勒拉希县,municipiu,671832,PPL,22624,26.633330,44.083330
54975,Cluj-Napoca,CLUJ-NAPOCA,克卢日县,municipiu,681290,PPLA,286598,23.600000,46.766670
55357,Câmpia Turzii,CÂMPIA TURZII,克卢日县,municipiu,681865,PPLA2,26457,23.883330,46.550000
55008,Dej,DEJ,克卢日县,municipiu,679550,PPLA2,38033,23.866670,47.150000
55384,Gherla,GHERLA,克卢日县,municipiu,677429,PPLA2,23741,23.916670,47.033330
55446,Huedin,HUEDIN,克卢日县,oras,675937,PPLA2,9395,23.050000,46.866670
55259,Turda,TURDA,克卢日县,municipiu,664460,PPL,43319,23.783330,46.566670
75338,Berești,BEREŞTI,加拉茨县,oras,685023,PPLA2,2916,27.883330,46.100000
75098,Galaţi,GALAŢI,加拉茨县,municipiu,677697,PPLA,217851,28.050280,45.436870
75203,Tecuci,TECUCI,加拉茨县,municipiu,665355,PPLA2,41154,27.434410,45.849730
75472,Târgu Bujor,TÂRGU BUJOR,加拉茨县,oras,683352,PPLA2,4121,27.900000,45.866670
35731,Botoşani,BOTOŞANI,博托沙尼县,municipiu,684039,PPLA,90010,26.666670,47.750000
36453,Bucecea,BUCECEA,博托沙尼县,oras,683602,PPLA2,5143,26.433330,47.766670
35946,Darabani,DARABANI,博托沙尼县,oras,679736,PPLA2,11890,26.583330,48.183330
36006,Dorohoi,DOROHOI,博托沙尼县,municipiu,679065,PPLA2,30776,26.400000,47.950000
37280,Flămânzi,FLĂMÂNZI,博托沙尼县,oras,678080,PPLA2,0,26.866670,47.550000
36060,Săveni,SĂVENI,博托沙尼县,oras,667757,PPLA2,8126,26.866670,47.950000
39168,Ștefănești,ŞTEFĂNEŞTI,博托沙尼县,oras,666233,PPLA2,1264,27.200530,47.791690
50889,Anina,ANINA,卡拉什-塞韦林县,oras,686324,PPLA2,8689,21.856940,45.079440
50969,Bocşa,BOCŞA,卡拉什-塞韦林县,oras,684490,PPLA2,16349,21.709170,45.373330
50923,Băile Herculane,BĂILE HERCULANE,卡拉什-塞韦林县,oras,685796,PPLA2,6022,22.412500,44.879720
51010,Caransebeş,CARANSEBEŞ,卡拉什-塞韦林县,municipiu,682729,PPLA2,27521,22.216670,45.416670
51056,Moldova Nouă,MOLDOVA NOUĂ,卡拉什-塞韦林县,oras,672912,PPLA2,13263,21.666940,44.737500
51118,Oraviţa,ORAVIŢA,卡拉什-塞韦林县,oras,671746,PPLA2,12332,21.689440,45.032500
51207,Oţelu Roşu,OŢELU ROŞU,卡拉什-塞韦林县,oras,671603,PPLA2,11482,22.366670,45.533330
50790,Reşiţa,REŞIŢA,卡拉什-塞韦林县,municipiu,668954,PPLA,81228,21.889170,45.300830
83491,Borsec,BORSEC,哈尔吉塔县,oras,684143,PPLA2,2815,25.566670,46.950000
83428,Băile Tuşnad,BĂILE TUŞNAD,哈尔吉塔县,oras,685782,PPLA2,1675,25.857000,46.144000
83464,Bălan,BĂLAN,哈尔吉塔县,oras,685707,PPLA2,7275,25.808340,46.650500
83525,Cristuru Secuiesc,CRISTURU SECUIESC,哈尔吉塔县,oras,680148,PPLA2,9554,25.033330,46.283330
83561,Gheorgheni,GHEORGHENI,哈尔吉塔县,municipiu,677458,PPLA2,19777,25.600550,46.722920
83320,Miercurea-Ciuc,MIERCUREA CIUC,哈尔吉塔县,municipiu,673441,PPLA,34484,25.800000,46.350000
83133,Odorheiu Secuiesc,ODORHEIU SECUIESC,哈尔吉塔县,municipiu,671964,PPLA2,36532,25.300000,46.300000
83632,Topliţa,TOPLIŢA,哈尔吉塔县,municipiu,664750,PPL,12609,25.351900,46.924300
83749,Vlăhiţa,VLĂHIŢA,哈尔吉塔县,oras,662570,PPLA2,6922,25.527000,46.345000
159650,Babadag,BABADAG,图尔恰县,oras,685997,PPLA2,10101,28.716670,44.900000
159687,Isaccea,ISACCEA,图尔恰县,oras,675495,PPLA2,5375,28.466670,45.266670
159730,Măcin,MĂCIN,图尔恰县,oras,674230,PPLA2,10295,28.135640,45.243710
159767,Sulina,SULINA,图尔恰县,oras,665790,PPLA2,4443,29.654030,45.155640
159614,Tulcea,TULCEA,图尔恰县,municipiu,664518,PPLA,65624,28.805010,45.178700
70879,Bechet,BECHET,多尔日县,oras,685218,PPLA2,3824,23.957060,43.781880
70316,Băileşti,BĂILEŞTI,多尔日县,municipiu,685785,PPLA2,19599,23.350000,44.016670
70352,Calafat,CALAFAT,多尔日县,municipiu,683034,PPLA2,18643,22.933280,43.990690
69900,Craiova,CRAIOVA,多尔日县,municipiu,680332,PPLA,234140,23.800000,44.316670
72007,Dăbuleni,DĂBULENI,多尔日县,oras,679841,PPLA2,13641,24.083330,43.800000
70414,Filiaşi,FILIAŞI,多尔日县,oras,678261,PPLA2,18995,23.516670,44.550000
70502,Segarcea,SEGARCEA,多尔日县,oras,667453,PPLA2,7944,23.750000,44.100000
125418,Balş,BALŞ,奥尔特县,oras,685586,PPLA2,20626,24.100000,44.350000
125472,Caracal,CARACAL,奥尔特县,municipiu,682747,PPLA2,33761,24.350000,44.116670
125542,Corabia,CORABIA,奥尔特县,oras,680897,PPLA2,20047,24.501460,43.775130
125622,Drăgăneşti-Olt,DRĂGĂNEŞTI-OLT,奥尔特县,oras,678987,PPLA2,12056,24.533330,44.166670
128105,Piatra Olt,PIATRA-OLT,奥尔特县,oras,670888,PPLA2,6313,24.266670,44.366670
128374,Potcoava,POTCOAVA,奥尔特县,oras,669772,PPLA2,6022,24.650000,44.483330
128711,Scorniceşti,SCORNICEŞTI,奥尔特县,oras,667593,PPLA2,12456,24.550000,44.566670
125347,Slatina,SLATINA,奥尔特县,municipiu,666767,PPLA,63487,24.366670,44.433330
120968,Bicaz,BICAZ,尼亚姆茨县,oras,684924,PPLA2,8340,26.066670,46.916670
120726,Piatra Neamţ,PIATRA-NEAMŢ,尼亚姆茨县,municipiu,670889,PPLA,102688,26.333330,46.916670
120860,Roman,ROMAN,尼亚姆茨县,municipiu,668732,PPLA2,67819,26.926460,46.921190
124117,Roznov,ROZNOV,尼亚姆茨县,oras,668546,PPLA2,8688,26.516670,46.833330
121055,Târgu Neamţ,TÂRGU NEAMŢ,尼亚姆茨县,oras,665003,PPLA2,20473,26.366670,47.200000
20297,Bacău,BACĂU,巴克乌县,municipiu,685948,PPLA,136087,26.913840,46.567180
20778,Buhuşi,BUHUŞI,巴克乌县,oras,683365,PPLA2,18395,26.700000,46.716670
20821,Comăneşti,COMĂNEŞTI,巴克乌县,oras,681017,PPLA2,23729,26.436450,46.421350
22166,Dărmăneşti,DĂRMĂNEŞTI,巴克乌县,oras,679724,PPLA2,14290,26.483330,46.366670
20876,Moineşti,MOINEŞTI,巴克乌县,municipiu,672926,PPLA2,23981,26.489070,46.475230
20563,Onesti,ONEŞTI,巴克乌县,municipiu,677463,PPLA2,0,26.750000,46.250000
20910,Slănic-Moldova,SLĂNIC-MOLDOVA,巴克乌县,oras,666770,PPLA2,4955,26.474130,46.223080
20965,Târgu Ocna,TÂRGU OCNA,巴克乌县,oras,665002,PPLA2,13127,26.613010,46.278990
179132,Bucharest,BUCUREŞTI,布加勒斯特市,capital,683506,PPLC,1877155,26.106260,44.432250
42682,Brăila,BRĂILA,布勒伊拉县,municipiu,683902,PPLA,154686,27.974290,45.271520
42753,Făurei,FĂUREI,布勒伊拉县,oras,678395,PPLA2,4043,27.266670,45.083330
43331,Ianca,IANCA,布勒伊拉县,oras,675840,PPLA2,11209,27.450000,45.133330
43411,Însurăţei,ÎNSURĂŢEI,布勒伊拉县,oras,675590,PPLA2,7309,27.600000,44.916670
40198,Braşov,BRAŞOV,布拉索夫县,municipiu,683844,PPLA,253200,25.606130,45.648610
40241,Codlea,CODLEA,布拉索夫县,municipiu,681179,PPL,20534,25.450000,45.700000
40278,Făgăraș,FĂGĂRAŞ,布拉索夫县,municipiu,678499,PPLA2,30714,24.966670,45.850000
40214,Ghimbav,GHIMBAV,布拉索夫县,oras,677382,PPLA2,4967,25.500000,45.666670
40303,Predeal,PREDEAL,布拉索夫县,oras,669704,PPLA2,5615,25.566670,45.500000
40394,Rupea,RUPEA,布拉索夫县,oras,668442,PPLA2,5610,25.216670,46.033330
40367,Râşnov,RÂŞNOV,布拉索夫县,oras,668828,PPLA2,15253,25.450000,45.583330
40438,Săcele,SĂCELE,布拉索夫县,municipiu,668314,PPLA2,29918,25.711010,45.616740
40465,Victoria,VICTORIA,布拉索夫县,oras,662986,PPLA2,10247,24.702800,45.729680
40492,Zărnești,ZĂRNEŞTI,布拉索夫县,oras,662284,PPLA2,24926,25.317870,45.560930
44818,Buzău,BUZĂU,布泽乌县,municipiu,683123,PPLA,103481,26.833330,45.150000
47916,Nehoiu,NEHOIU,布泽乌县,oras,672331,PPLA2,11350,26.300000,45.416670
48744,Pogoanele,POGOANELE,布泽乌县,oras,670167,PPLA2,7777,27.000000,44.916670
48325,Pătârlagele,PĂTÂRLAGELE,布泽乌县,oras,671271,PPLA2,2667,26.361340,45.320810
44845,Râmnicu Sărat,RÂMNICU SĂRAT,布泽乌县,municipiu,668873,PPLA2,38526,27.050000,45.383330
60776,Cernavodă,CERNAVODĂ,康斯坦察县,oras,682321,PPLA2,18502,28.032730,44.339570
