administrative_code,name,admin_area,city_level,geonames_id,feature_code,population,longitude,latitude
107312,Abqaiq,东部省,populated_place_5000_plus,107312,PPL,29474,49.668800,25.934020
110107,Al Awjām,东部省,populated_place_5000_plus,110107,PPL,11460,49.943310,26.563240
109915,Al Baţţālīyah,东部省,populated_place_5000_plus,109915,PPL,16606,49.633330,25.433330
109571,Al Hufūf,东部省,populated_place_5000_plus,109571,PPL,293179,49.587640,25.364670
109502,Al Jafr,东部省,populated_place_5000_plus,109502,PPL,8715,49.721540,25.377360
109435,Al Jubayl,东部省,populated_place_5000_plus,109435,PPL,237274,49.622510,27.017400
109380,Al Khafjī,东部省,populated_place_5000_plus,109380,PPL,54857,48.491320,28.439050
109165,Al Markaz,东部省,populated_place_5000_plus,109165,PPL,6464,49.733330,25.400000
109101,Al Mubarraz,东部省,populated_place_5000_plus,109101,PPL,290802,49.590280,25.407680
109059,Al Munayzilah,东部省,populated_place_5000_plus,109059,PPL,16296,49.666670,25.383330
109008,Al Muţayrifī,东部省,populated_place_5000_plus,109008,PPL,5962,49.558240,25.478780
108927,Al Qaţīf,东部省,populated_place_5000_plus,108927,PPL,98259,50.008900,26.565420
108890,Al Qurayn,东部省,populated_place_5000_plus,108890,PPL,12013,49.600000,25.483330
108957,Al Qārah,东部省,populated_place_5000_plus,108957,PPL,9106,49.666670,25.416670
109998,Al ‘Awwāmīyah,东部省,populated_place_5000_plus,109998,PPL,26276,49.979510,26.591440
108142,As Saffānīyah,东部省,populated_place_5000_plus,108142,PPL,7014,48.730000,27.970830
101344,At Tūbī,东部省,populated_place_5000_plus,101344,PPL,7740,49.991670,26.557780
107959,Aţ Ţaraf,东部省,populated_place_5000_plus,107959,PPL,21386,49.727570,25.362320
107797,Dhahran,东部省,populated_place_5000_plus,107797,PPL,99540,50.113960,26.288640
106297,Hafar Al-Batin,东部省,populated_place_5000_plus,106297,PPL,271642,45.970770,28.432790
105252,Julayjilah,东部省,populated_place_5000_plus,105252,PPL,5359,49.600000,25.500000
109323,Khobar,东部省,populated_place_5000_plus,109323,PPL,165799,50.208330,26.279440
103922,Mulayjah,东部省,populated_place_5000_plus,103922,PPL,5247,48.424190,27.271030
108918,Qaisumah,东部省,populated_place_5000_plus,108918,PPL,20685,46.127290,28.311170
102891,Ras Tanura,东部省,populated_place_5000_plus,102891,PPL,62314,50.067350,26.707420
102318,Sayhāt,东部省,populated_place_5000_plus,102318,PPL,66702,50.048490,26.483450
101554,Tārūt,东部省,populated_place_5000_plus,101554,PPL,85371,50.040280,26.573300
101035,Umm as Sāhik,东部省,populated_place_5000_plus,101035,PPL,11813,49.916390,26.653610
102585,Şafwá,东部省,populated_place_5000_plus,102585,PPL,45876,49.955220,26.649700
108655,‘Inak,东部省,populated_place_5000_plus,108655,PPL,20038,50.027150,26.519590
110336,Dammam,东部省,region_capital,110336,PPLA,1252523,50.103260,26.434420
108410,Riyadh,利雅得省,country_capital,108410,PPLC,4205961,46.721850,24.687730
109194,Al Majma‘ah,利雅得省,governorate_seat,109194,PPLA2,0,45.356650,25.910970
110325,Ad Dawādimī,利雅得省,populated_place_5000_plus,110325,PPL,86861,44.392370,24.507720
110314,Ad Dilam,利雅得省,populated_place_5000_plus,110314,PPL,35371,47.161810,23.991040
110312,Ad Dir‘īyah,利雅得省,populated_place_5000_plus,110312,PPL,61609,46.538740,24.751870
110250,Afif,利雅得省,populated_place_5000_plus,110250,PPL,45525,42.917240,23.906500
110031,Al Arţāwīyah,利雅得省,populated_place_5000_plus,110031,PPL,9152,45.348130,26.503870
109615,Al Hayāthim,利雅得省,populated_place_5000_plus,109615,PPL,13893,47.237640,24.165550
109432,Al Jubaylah,利雅得省,populated_place_5000_plus,109432,PPL,8005,46.446500,24.911160
109353,Al Kharj,利雅得省,populated_place_5000_plus,109353,PPL,425300,47.334570,24.155410
108787,Al ‘Uyaynah,利雅得省,populated_place_5000_plus,108787,PPL,8649,46.384600,24.907400
108048,As Sulayyil,利雅得省,populated_place_5000_plus,108048,PPL,24097,45.577920,20.460670
107781,Az Zulfī,利雅得省,populated_place_5000_plus,107781,PPL,125000,44.815420,26.299450
104716,Laylá,利雅得省,populated_place_5000_plus,104716,PPL,29698,46.723760,22.292060
104376,Marāt,利雅得省,populated_place_5000_plus,104376,PPL,8885,45.457750,25.070640
102744,Rumāḩ,利雅得省,populated_place_5000_plus,102744,PPL,25031,47.164080,25.563950
102170,Shaqra,利雅得省,populated_place_5000_plus,102170,PPL,32215,45.251040,25.240190
108121,Sājir,利雅得省,populated_place_5000_plus,108121,PPL,11717,44.599640,25.182510
396550,Tumayr,利雅得省,populated_place_5000_plus,396550,PPL,8246,45.868350,25.703470
13631408,Ḥawṭah Banī Tamīm,利雅得省,populated_place_5000_plus,13631408,PPL,30720,46.878010,23.495980
101313,Ţurayf,北部边疆省,populated_place_5000_plus,101313,PPL,66014,38.663000,31.672000
108512,Arar,北部边疆省,region_capital,108512,PPLA,148540,41.038080,30.975310
110275,Adh Dhibiyah,卡西姆省,populated_place_5000_plus,110275,PPL,5068,43.157000,26.027000
397833,Al Badā’i‘ al Wusţá,卡西姆省,populated_place_5000_plus,397833,PPL,48474,43.736590,25.985460
109878,Al Bukayrīyah,卡西姆省,populated_place_5000_plus,109878,PPL,43229,43.657820,26.139150
397513,Al Fuwayliq,卡西姆省,populated_place_5000_plus,397513,PPL,5205,43.251640,26.443600
109391,Al Khabrā’,卡西姆省,populated_place_5000_plus,109391,PPL,16906,43.624970,26.071790
109131,Al Mithnab,卡西姆省,populated_place_5000_plus,109131,PPL,33341,44.222280,25.860120
11829674,Al Mulaydā’,卡西姆省,populated_place_5000_plus,11829674,PPL,6967,43.785270,26.317810
108435,Ar Rass,卡西姆省,populated_place_5000_plus,108435,PPL,81728,43.497300,25.869440
107840,Ayn Ibn Fuhayd,卡西姆省,populated_place_5000_plus,107840,PPL,6548,44.207100,26.771570
106872,Dukhnah,卡西姆省,populated_place_5000_plus,106872,PPL,6354,43.622680,25.356210
103220,Qibah,卡西姆省,populated_place_5000_plus,103220,PPL,11506,44.327700,27.402850
11835536,Riyāḑ al Khabrā’,卡西姆省,populated_place_5000_plus,11835536,PPL,25588,43.553440,26.066720
101581,Tanūmah,卡西姆省,populated_place_5000_plus,101581,PPL,13594,44.133330,27.100000
101732,Unaizah,卡西姆省,populated_place_5000_plus,101732,PPL,183319,44.000000,26.100000
100732,‘Uqlat aş Şuqūr,卡西姆省,populated_place_5000_plus,100732,PPL,9717,42.201190,25.829160
108782,‘Uyūn al Jiwā’,卡西姆省,populated_place_5000_plus,108782,PPL,15619,43.631200,26.498290
107304,Buraydah,卡西姆省,region_capital,107304,PPLA,745353,43.974970,26.325990
110619,Abū ‘Arīsh,吉赞省,populated_place_5000_plus,110619,PPL,69632,42.832510,16.968870
110328,Ad Darb,吉赞省,populated_place_5000_plus,110328,PPL,5378,42.252610,17.722850
109481,Al Jarādīyah,吉赞省,populated_place_5000_plus,109481,PPL,7396,42.912400,16.579460
101973,Ash Shuqayrī,吉赞省,populated_place_5000_plus,101973,PPL,6069,42.826740,17.131090
100399,Az̧ Z̧abyah,吉赞省,populated_place_5000_plus,100399,PPL,11287,42.666940,17.117880
13645279,Dhahabān,吉赞省,populated_place_5000_plus,13645279,PPL,9436,41.616050,18.099760
106744,Farasān,吉赞省,populated_place_5000_plus,106744,PPL,10527,42.118330,16.702220
106667,Fayfā’,吉赞省,populated_place_5000_plus,106667,PPL,29793,43.137350,17.280600
104269,Mislīyah,吉赞省,populated_place_5000_plus,104269,PPL,6117,42.557200,17.459880
410874,Mizhirah,吉赞省,populated_place_5000_plus,410874,PPL,5529,42.733330,16.826110
102651,Şabyā,吉赞省,populated_place_5000_plus,102651,PPL,228375,42.625370,17.149500
102451,Şāmitah,吉赞省,populated_place_5000_plus,102451,PPL,26945,42.944350,16.596010
107117,Ḑamad,吉赞省,populated_place_5000_plus,107117,PPL,26079,42.781550,17.104260
105299,Jizan,吉赞省,region_capital,105299,PPLA,105198,42.551110,16.889170
107588,Baq‘ā’,哈伊勒省,populated_place_5000_plus,107588,PPL,19659,42.388980,27.906470
393275,Turubah,哈伊勒省,populated_place_5000_plus,393275,PPL,28279,42.924570,28.258490
106281,Ha'il,哈伊勒省,region_capital,106281,PPLA,605930,41.690730,27.521880
108773,Al Wajh,塔布克省,governorate_seat,108773,PPLA2,26636,36.464920,26.230940
106909,Duba,塔布克省,populated_place_5000_plus,106909,PPL,22000,35.690140,27.351340
101516,Taymā’,塔布克省,populated_place_5000_plus,101516,PPL,37579,38.538820,27.622330
100926,Umluj,塔布克省,populated_place_5000_plus,100926,PPL,33874,37.268500,25.021260
101628,Tabuk,塔布克省,region_capital,101628,PPLA,667000,36.571510,28.399800
12513572,Al Mash‘ilīyah,奈季兰省,populated_place_5000_plus,12513572,PPL,23252,44.468000,17.755580
108753,Al Wadī‘ah,奈季兰省,populated_place_5000_plus,108753,PPL,8365,47.089020,17.058380
13645278,Khubāsh,奈季兰省,populated_place_5000_plus,13645278,PPL,7182,44.748000,17.556270
12513575,Ḩabūnā,奈季兰省,populated_place_5000_plus,12513575,PPL,12738,44.020810,17.847220
103630,Najrān,奈季兰省,region_capital,103630,PPLA,505652,44.127660,17.493260
109118,Al Mindak,巴哈省,populated_place_5000_plus,109118,PPL,9218,41.283370,20.158800
110060,Al ‘Aqīq,巴哈省,populated_place_5000_plus,110060,PPL,19269,41.664340,20.273580
107692,Baljurashi,巴哈省,populated_place_5000_plus,107692,PPL,51787,41.557220,19.859440
109953,Al Bahah,巴哈省,region_capital,109953,PPLA,88419,41.467670,20.012880
108648,Qurayyat,焦夫省,populated_place_5000_plus,108648,PPL,102903,37.342820,31.331760
392753,Şuwayr,焦夫省,populated_place_5000_plus,392753,PPL,8515,40.389250,30.117130
101631,Ţubarjal,焦夫省,populated_place_5000_plus,101631,PPL,40019,38.216030,30.499870
106102,Ḩaql,焦夫省,populated_place_5000_plus,106102,PPL,25649,34.946870,29.286270
102527,Sakakah,焦夫省,region_capital,102527,PPLA,128332,40.206410,29.969740
101547,Tathlīth,阿西尔省,governorate_seat,101547,PPLA2,0,43.519720,19.531850
399518,Al Majāridah,阿西尔省,populated_place_5000_plus,399518,PPL,14830,41.924000,19.132000
108617,An Nimas,阿西尔省,populated_place_5000_plus,108617,PPL,24153,42.120090,19.145470
12495725,Bariq,阿西尔省,populated_place_5000_plus,12495725,PPL,75351,41.929530,18.929660
103369,Bīshah,阿西尔省,populated_place_5000_plus,103369,PPL,115537,42.605200,20.000540
105072,Khamis Mushait,阿西尔省,populated_place_5000_plus,105072,PPL,387553,42.733330,18.300000
12546009,Ranyah,阿西尔省,populated_place_5000_plus,12546009,PPL,45942,42.847510,21.250400
12500245,Sarāt ‘Abīdah,阿西尔省,populated_place_5000_plus,12500245,PPL,19855,43.132000,18.089000
101633,Tabālah,阿西尔省,populated_place_5000_plus,101633,PPL,5151,42.400000,19.950000
110690,Abha,阿西尔省,region_capital,110690,PPLA,210886,42.505280,18.216390
410084,Al Hadā,麦加省,populated_place_5000_plus,410084,PPL,6885,40.280300,21.359030
109417,Al Jumūm,麦加省,populated_place_5000_plus,109417,PPL,22207,39.696590,21.619510
109306,Al Khurmah,麦加省,populated_place_5000_plus,109306,PPL,28491,42.030920,21.911490
109253,Al Līth,麦加省,populated_place_5000_plus,109253,PPL,72000,40.272240,20.148040
409993,Al Muwayh,麦加省,populated_place_5000_plus,409993,PPL,7364,41.758290,22.433330
410096,Ash Shafā,麦加省,populated_place_5000_plus,410096,PPL,72190,40.318420,21.072680
105343,Jeddah,麦加省,populated_place_5000_plus,105343,PPL,4697000,39.186240,21.490120
104923,Khulayş,麦加省,populated_place_5000_plus,104923,PPL,20139,39.320150,22.155530
11524299,King Abdullah City,麦加省,populated_place_5000_plus,11524299,PPL,10000,39.124550,22.446330
103035,Rābigh,麦加省,populated_place_5000_plus,103035,PPL,72928,39.034930,22.798560
107968,Ta’if,麦加省,populated_place_5000_plus,107968,PPL,688693,40.415830,21.270280
409682,Thuwal,麦加省,populated_place_5000_plus,409682,PPL,26957,39.112450,22.282720
101322,Turabah,麦加省,populated_place_5000_plus,101322,PPL,23235,41.633100,21.214060
104515,Makkah,麦加省,region_capital,104515,PPLA,1578722,39.825630,21.426640
104979,Khaybar,麦地那省,governorate_seat,104979,PPLA2,0,39.280310,25.713440
108841,Al-`Ula,麦地那省,populated_place_5000_plus,108841,PPL,32413,37.923160,26.608530
107744,Badr Ḩunayn,麦地那省,populated_place_5000_plus,107744,PPL,27257,38.790470,23.782920
104578,Mahd adh Dhahab,麦地那省,populated_place_5000_plus,104578,PPL,20272,40.884080,23.499660
100425,Yanbu,麦地那省,populated_place_5000_plus,100425,PPL,200161,38.061800,24.089540
109223,Madinah,麦地那省,region_capital,109223,PPLA,1300000,39.614170,24.468610
