administrative_code,name,official_name,admin_area,city_level,geonames_id,feature_code,population,longitude,latitude
3203925,Bled,Bled,上卡尼奥拉统计区,official_city,3203925,PPLA,5181,14.116520,46.368590
3198647,Jesenice,Jesenice,上卡尼奥拉统计区,official_city,3198647,PPLA,13255,14.062320,46.432400
3197378,Kranj,Kranj,上卡尼奥拉统计区,official_city,3197378,PPLA,37966,14.355610,46.238870
3192063,Radovljica,Radovljica,上卡尼奥拉统计区,official_city,3192063,PPLA,5940,14.175470,46.343470
3188688,Tržič,Tržič,上卡尼奥拉统计区,official_city,3188688,PPLA,3670,14.310460,46.363570
3190717,Škofja Loka,Škofja Loka,上卡尼奥拉统计区,official_city,3190717,PPLA,11619,14.306260,46.165510
3186607,Železniki,Železniki,上卡尼奥拉统计区,official_city,3186607,PPLA,3075,14.172050,46.224820
3186450,Žiri,Žiri,上卡尼奥拉统计区,official_city,3186450,PPLA,3588,14.107360,46.044050
3203412,Brežice,Brežice,下萨瓦统计区,official_city,3203412,PPLA,6843,15.593190,45.907260
3197581,Kostanjevica na Krki,Kostanjevica na Krki,下萨瓦统计区,official_city,3197581,PPLA,695,15.420360,45.845600
3197147,Krško,Krško,下萨瓦统计区,official_city,3197147,PPLA,6852,15.491670,45.959150
3192144,Radeče,Radeče,下萨瓦统计区,official_city,3192144,PPLA,2168,15.182060,46.065510
3190950,Sevnica,Sevnica,下萨瓦统计区,official_city,3190950,PPLA,4660,15.316460,46.007920
3197943,Kočevje,Kočevje,东南斯洛文尼亚统计区,official_city,3197943,PPLA,8113,14.860360,45.643230
3195214,Metlika,Metlika,东南斯洛文尼亚统计区,official_city,3195214,PPLA,3206,15.313330,45.649830
3194351,Novo Mesto,Novo mesto,东南斯洛文尼亚统计区,official_city,3194351,PPLA,24446,15.168860,45.803970
3191685,Ribnica,Ribnica,东南斯洛文尼亚统计区,official_city,3191685,PPLA,3604,14.727500,45.738610
3188886,Trebnje,Trebnje,东南斯洛文尼亚统计区,official_city,3188886,PPLA,3477,15.022380,45.904240
3202333,Črnomelj,Črnomelj,东南斯洛文尼亚统计区,official_city,3202333,PPLA,5496,15.191900,45.572620
3201730,Domžale,Domžale,中斯洛文尼亚统计区,official_city,3201730,PPLA,13204,14.593710,46.137740
