administrative_code,name,admin_area,city_level,geonames_id,feature_code,population,longitude,latitude
173480,Al Mayādīn,代尔祖尔省,district_seat,173480,PPLA2,54534,40.451540,35.019820
174448,Ālbū Kamāl,代尔祖尔省,district_seat,174448,PPLA2,57572,40.918540,34.452260
170794,Deir ez-Zor,代尔祖尔省,governorate_capital,170794,PPLA,271800,40.140840,35.335880
164025,Subaykhān,代尔祖尔省,populated_place_5000_plus,164025,PPL,25514,40.599870,34.853050
173927,Al Buşayrah,代尔祖尔省,subdistrict_seat,173927,PPLA3,0,40.427160,35.156180
166597,Al Jalā’,代尔祖尔省,subdistrict_seat,166597,PPLA3,0,40.840540,34.633460
8308210,Al Kasrah,代尔祖尔省,subdistrict_seat,8308210,PPLA3,0,39.920200,35.567430
174036,Al ‘Ashārah,代尔祖尔省,subdistrict_seat,174036,PPLA3,0,40.560070,34.921330
172415,As Sūsah,代尔祖尔省,subdistrict_seat,172415,PPLA3,8797,40.958190,34.533660
172327,At Tibnī,代尔祖尔省,subdistrict_seat,172327,PPLA3,0,39.818100,35.611700
170691,Dhībān,代尔祖尔省,subdistrict_seat,170691,PPLA3,0,40.510280,35.014980
174506,Hajīn,代尔祖尔省,subdistrict_seat,174506,PPLA3,29237,40.831380,34.695080
167899,Khushām,代尔祖尔省,subdistrict_seat,167899,PPLA3,0,40.289160,35.300880
162284,Mūḩ Ḩasan,代尔祖尔省,subdistrict_seat,162284,PPLA3,0,40.316600,35.233490
172994,Arīḩā,伊德利卜省,district_seat,172994,PPLA2,0,36.609640,35.813740
169023,Jisr ash Shughūr,伊德利卜省,district_seat,169023,PPLA2,39311,36.319830,35.814180
167611,Ma‘arrat an Nu‘mān,伊德利卜省,district_seat,167611,PPLA2,0,36.676930,35.648300
169866,Ḩārim,伊德利卜省,district_seat,169866,PPLA2,0,36.520780,36.211760
169389,Idlib,伊德利卜省,governorate_capital,169389,PPLA,128840,36.633930,35.930620
174191,Afis,伊德利卜省,populated_place_5000_plus,174191,PPL,6338,36.804190,35.906900
174611,Abū az̧ Z̧uhūr,伊德利卜省,subdistrict_seat,174611,PPLA3,0,37.044800,35.740580
174259,Ad Dānā,伊德利卜省,subdistrict_seat,174259,PPLA3,21987,36.769980,36.212540
173715,Al Jānūdīyah,伊德利卜省,subdistrict_seat,173715,PPLA3,0,36.291080,35.884690
172988,Armanāz,伊德利卜省,subdistrict_seat,172988,PPLA3,0,36.503100,36.083630
172347,At Tamāni‘ah,伊德利卜省,subdistrict_seat,172347,PPLA3,0,36.748160,35.458460
171494,Bdāmā,伊德利卜省,subdistrict_seat,171494,PPLA3,0,36.196490,35.811510
171451,Binnish,伊德利卜省,subdistrict_seat,171451,PPLA3,30354,36.713800,35.956640
170865,Darkūsh,伊德利卜省,subdistrict_seat,170865,PPLA3,0,36.393610,35.991800
174144,Iḩsim,伊德利卜省,subdistrict_seat,174144,PPLA3,0,36.556310,35.720780
168629,Kafr Takhārīm,伊德利卜省,subdistrict_seat,168629,PPLA3,22436,36.515220,36.116800
168661,Kafranbel,伊德利卜省,subdistrict_seat,168661,PPLA3,45652,36.564490,35.613760
168325,Khān Shaykhūn,伊德利卜省,subdistrict_seat,168325,PPLA3,48975,36.650950,35.442080
167605,Ma‘arratmişrīn,伊德利卜省,subdistrict_seat,167605,PPLA3,32163,36.671830,36.011520
166757,Muḩambal,伊德利卜省,subdistrict_seat,166757,PPLA3,0,36.472100,35.787350
165672,Qūrqīnā,伊德利卜省,subdistrict_seat,165672,PPLA3,0,36.612470,36.138490
164898,Salqīn,伊德利卜省,subdistrict_seat,164898,PPLA3,31608,36.452440,36.138650
164816,Saraqib,伊德利卜省,subdistrict_seat,164816,PPLA3,34231,36.805910,35.864470
164782,Sarmīn,伊德利卜省,subdistrict_seat,164782,PPLA3,0,36.725010,35.904030
164094,Sinjār,伊德利卜省,subdistrict_seat,164094,PPLA3,0,37.004720,35.590110
163799,Taftanāz,伊德利卜省,subdistrict_seat,163799,PPLA3,0,36.785790,35.998320
169563,Ḩīsh,伊德利卜省,subdistrict_seat,169563,PPLA3,0,36.643560,35.547930
173530,Al Mālikīyah,哈塞克省,district_seat,173530,PPLA2,26311,42.140060,37.177010
173377,Al Qāmishlī,哈塞克省,district_seat,173377,PPLA2,184231,41.231420,37.052150
