administrative_code,name,admin_area,city_level,geonames_id,longitude,latitude
1221714,Hisor,Districts of Republican Subordination,republic_subordinate_city,1221714,68.551240,38.525040
1220701,Roghun,Districts of Republican Subordination,republic_subordinate_city,1220701,69.870810,38.782570
1282601,Tursunzoda,Districts of Republican Subordination,republic_subordinate_city,1282601,68.231630,38.512710
1220855,Vahdat,Districts of Republican Subordination,republic_subordinate_city,1220855,69.013540,38.556320
1221874,Dushanbe,Dushanbe,capital_city,1221874,68.779050,38.535750
1221328,Khorugh,Gorno-Badakhshan Autonomous Region,regional_city,1221328,71.553370,37.490390
1220747,Bokhtar,Khatlon Region,regional_city,1220747,68.777620,37.836540
1221194,Kulob,Khatlon Region,regional_city,1221194,69.784540,37.914590
1221549,Levakant,Khatlon Region,regional_city,1221549,68.922330,37.871360
1220905,Norak,Khatlon Region,regional_city,1220905,69.322720,38.389170
1538311,Buston,Sughd Region,regional_city,1538311,69.694810,40.234170
1514883,Guliston,Sughd Region,regional_city,1514883,69.795850,40.265980
1514896,Isfara,Sughd Region,regional_city,1514896,70.625260,40.126490
1220253,Istaravshan,Sughd Region,regional_city,1220253,69.003280,39.914200
1514829,Istiqlol,Sughd Region,regional_city,1514829,69.641750,40.570170
1514879,Khujand,Sughd Region,regional_city,1514879,69.622160,40.282560
1514891,Konibodom,Sughd Region,regional_city,1514891,70.431220,40.294140
1220798,Panjakent,Sughd Region,regional_city,1220798,67.609310,39.495240
