administrative_code,name,admin_area,city_level,geonames_id,longitude,latitude
13562212,Altyn asyr,Ahal Region,city_in_district,13562212,60.704320,37.281580
1219812,Babadaýhan,Ahal Region,city_in_district,1219812,60.393720,37.688870
162158,Bäherden,Ahal Region,city_in_district,162158,57.431580,38.436240
161950,Gökdepe,Ahal Region,city_in_district,161950,57.960720,38.158630
161901,Kaka,Ahal Region,city_in_district,161901,59.614310,37.348210
1218456,Sarahs,Ahal Region,city_in_district,1218456,61.214770,36.523810
1218239,Tejen,Ahal Region,city_in_district,1218239,60.505450,37.383380
162199,Änew,Ahal Region,city_in_district,162199,58.515960,37.887540
13526673,Arkadag,Arkadag,state_significance_city,13526673,58.067770,38.069690
162183,Ashgabat,Ashgabat,province_equivalent_city,162183,58.383330,37.950000
161616,Balkanabat,Balkan Region,district_rights_city,161616,54.367130,39.510750
161974,Bereket,Balkan Region,city_in_district,161974,55.515360,39.244630
161371,Esenguly,Balkan Region,city_in_district,161371,53.979510,37.467970
161370,Etrek,Balkan Region,city_in_district,161370,54.763950,37.661570
601758,Garabogaz,Balkan Region,city_in_district,601758,52.573440,41.540130
161931,Gyzylarbat,Balkan Region,city_in_district,161931,56.275750,38.976440
161980,Magtymguly,Balkan Region,city_in_district,161980,56.284010,38.436370
601594,Türkmenbaşy,Balkan Region,district_rights_city,601594,52.955170,40.022160
601551,Akdepe,Daşoguz Region,city_in_district,601551,59.378770,42.055130
601432,Andalyp,Daşoguz Region,city_in_district,601432,59.650000,41.833330
601661,Boldumsaz,Daşoguz Region,city_in_district,601661,59.671010,42.128240
601734,Daşoguz,Daşoguz Region,district_rights_city,601734,59.966610,41.836250
601460,Gubadag,Daşoguz Region,city_in_district,601460,59.949640,42.079480
601475,Görogly,Daşoguz Region,city_in_district,601475,59.916400,41.650410
601608,Köneürgenç,Daşoguz Region,city_in_district,601608,59.154420,42.327730
601532,Saparmyrat Türkmenbaşy,Daşoguz Region,city_in_district,601532,58.814000,42.379860
1514745,Şabat,Daşoguz Region,city_in_district,1514745,60.131720,41.839260
1514801,Darganata,Lebap Region,city_in_district,1514801,62.158600,40.482040
1219513,Dostluk,Lebap Region,city_in_district,1219513,65.337610,37.745480
1219525,Dänew,Lebap Region,city_in_district,1219525,63.184290,39.262840
1219431,Farap,Lebap Region,city_in_district,1219431,63.611650,39.170370
1219148,Garabekewül,Lebap Region,city_in_district,1219148,64.151490,38.484570
1514792,Gazojak,Lebap Region,city_in_district,1514792,61.403600,41.187460
1218987,Halaç,Lebap Region,city_in_district,1218987,64.879380,38.072010
1218928,Hojambaz,Lebap Region,city_in_district,1218928,65.003470,38.116350
1219002,Kerki,Lebap Region,city_in_district,1219002,65.206390,37.840790
1219647,Köýtendag,Lebap Region,city_in_district,1219647,66.013480,37.515570
1219392,Magdanly,Lebap Region,city_in_district,1219392,66.046560,37.812440
1218477,Sakar,Lebap Region,city_in_district,1218477,63.743380,38.925770
1218436,Saýat,Lebap Region,city_in_district,1218436,63.880350,38.783930
1218420,Seýdi,Lebap Region,city_in_district,1218420,62.913740,39.481600
1219649,Türkmenabat,Lebap Region,district_rights_city,1219649,63.578610,39.073280
1219762,Baýramaly,Mary Region,district_rights_city,1219762,62.167150,37.618520
1218667,Mary,Mary Region,district_rights_city,1218667,61.830310,37.593780
1218612,Murgap,Mary Region,city_in_district,1218612,61.971420,37.496560
1218472,Sakarçäge,Mary Region,city_in_district,1218472,61.660070,37.663510
1219377,Serhetabat,Mary Region,city_in_district,1219377,62.343830,35.279920
1218195,Türkmengala,Mary Region,city_in_district,1218195,62.338210,37.424690
1218021,Ýolöten,Mary Region,city_in_district,1218021,62.359750,37.298860
1218401,Şatlyk,Mary Region,city_in_district,1218401,61.593940,37.607240
