administrative_code,name,admin_area,city_level,geonames_id,feature_code,population,longitude,latitude
322051,Banaz,乌沙克省,district_center,322051,PPLA2,17080,29.751940,38.737070
315183,Eşme,乌沙克省,district_center,315183,PPLA2,11000,28.969050,38.399760
309821,Karahallı,乌沙克省,district_center,309821,PPLA2,4948,29.530280,38.320830
300616,Sivaslı,乌沙克省,district_center,300616,PPLA2,7378,29.683610,38.499440
298454,Ulubey,乌沙克省,district_center,298454,PPLA2,5092,29.291290,38.419870
298299,Uşak,乌沙克省,province_capital,298299,PPLA,369433,29.405800,38.673510
752278,Alaca,乔鲁姆省,district_center,752278,PPLA2,27019,34.842500,40.168330
750948,Bayat,乔鲁姆省,district_center,750948,PPLA2,5613,34.261390,40.645830
750539,Boğazkale,乔鲁姆省,district_center,750539,PPLA2,0,34.609470,40.021910
748048,Dodurga,乔鲁姆省,district_center,748048,PPLA2,0,34.807030,40.854890
744006,Kargı,乔鲁姆省,district_center,744006,PPLA2,0,34.487440,41.133730
750165,Laçin,乔鲁姆省,district_center,750165,PPLA2,2471,34.880680,40.774860
741692,Mecitözü,乔鲁姆省,district_center,741692,PPLA2,5506,35.295280,40.520000
740964,Ortaköy,乔鲁姆省,district_center,740964,PPLA2,0,35.251750,40.273520
740883,Osmancık,乔鲁姆省,district_center,740883,PPLA2,36443,34.804700,40.978180
744138,Oğuzlar,乔鲁姆省,district_center,744138,PPLA2,0,34.702750,40.753530
739236,Sungurlu,乔鲁姆省,district_center,739236,PPLA2,37526,34.373890,40.167500
738468,Uğurludağ,乔鲁姆省,district_center,738468,PPLA2,7399,34.452590,40.446310
745076,İskilip,乔鲁姆省,district_center,745076,PPLA2,19829,34.473890,40.735280
748879,Çorum,乔鲁姆省,province_capital,748879,PPLA,269595,34.953330,40.548890
752042,Altınova,亚洛瓦省,district_center,752042,PPLA2,3875,29.509860,40.694950
751881,Armutlu,亚洛瓦省,district_center,751881,PPLA2,0,28.828060,40.519440
8384779,Termal,亚洛瓦省,district_center,8384779,PPLA2,0,29.173060,40.607390
749163,Çiftlikköy,亚洛瓦省,district_center,749163,PPLA2,5750,29.323610,40.660280
749075,Çınarcık,亚洛瓦省,district_center,749075,PPLA2,7629,29.124500,40.645380
