administrative_code,name,admin_area,city_level,geonames_id,longitude,latitude
1703401,Andijon,Andijan Region,regional_significance_city,1514588,72.350670,40.783380
1703224501,Asaka,Andijan Region,district_significance_city,1513271,72.238680,40.641530
1703211501,Jalolquduq,Andijan Region,district_significance_city,1514109,72.609310,40.689180
1703227501,Marhamat,Andijan Region,district_significance_city,1513242,72.313880,40.480480
1703232501,Paxtaobod,Andijan Region,district_significance_city,1538115,72.557540,40.578040
1703214501,Poytug,Andijan Region,district_significance_city,1513010,72.244900,40.897700
1703220501,Qo`rg`ontepa,Andijan Region,district_significance_city,8149735,72.265660,40.727170
1703220505,Qorasuv,Andijan Region,district_significance_city,1513953,72.885770,40.727820
1703230501,Shahrixon,Andijan Region,district_significance_city,1512832,72.057060,40.713310
1703236501,Xo`jaobod,Andijan Region,district_significance_city,8149757,72.140700,40.703400
1703408,Xonobod,Andijan Region,regional_significance_city,1513578,72.974990,40.802600
1706401,Buxoro,Bukhara Region,regional_significance_city,1217662,64.430690,39.770260
1706215501,G'ijduvon,Bukhara Region,district_significance_city,1513983,64.682260,40.102230
1706207501,Galaosiyo,Bukhara Region,district_significance_city,1217340,64.446410,39.857210
1706242505,Gazli,Bukhara Region,district_significance_city,1513990,63.457130,40.131110
1706230501,Karakul,Bukhara Region,district_significance_city,1217084,63.833330,39.533330
1706403,Kogon,Bukhara Region,regional_significance_city,1217180,64.554660,39.727460
1706204501,Olot,Bukhara Region,district_significance_city,1217907,63.803330,39.415000
1706232501,Qorovulbozor,Bukhara Region,district_significance_city,1217035,64.793610,39.500560
1706242501,Romitan,Bukhara Region,district_significance_city,1216290,64.379440,39.929440
1706258501,Shofirkon,Bukhara Region,district_significance_city,1512838,64.501390,40.120000
1706212501,Vobkent,Bukhara Region,district_significance_city,1512423,64.502130,40.000330
1730215501,Beshariq,Fergana Region,district_significance_city,1514382,70.610280,40.435830
1730401,Fargʻona,Fergana Region,regional_significance_city,1514019,71.784320,40.384210
1730412,Margʻilon,Fergana Region,regional_significance_city,1513243,71.724630,40.472370
1730405,Qoʻqon,Fergana Region,regional_significance_city,1512979,70.942500,40.528610
1730218501,Quva,Fergana Region,district_significance_city,1526979,72.072920,40.522040
1730408,Quvasoy,Fergana Region,regional_significance_city,1513331,71.980260,40.297210
1730224501,Rishton,Fergana Region,district_significance_city,1512955,71.284720,40.356670
1730203508,Tinchlik,Fergana Region,district_significance_city,10974665,71.550890,40.475910
1730230501,Yaypan,Fergana Region,district_significance_city,1512320,70.815560,40.375830
1708218503,Dashtobod,Jizzakh Region,district_significance_city,1512480,68.494440,40.126940
1708215501,Do'stlik,Jizzakh Region,district_significance_city,1514125,68.031530,40.528810
1708209501,G'allaorol,Jizzakh Region,district_significance_city,1514008,67.587810,40.026960
1708223501,Gagarin,Jizzakh Region,district_significance_city,1514011,68.167680,40.664730
1708401,Jizzax,Jizzakh Region,regional_significance_city,1513886,67.829560,40.133510
1708228501,Paxtakor,Jizzakh Region,district_significance_city,1513038,67.956670,40.311810
1735207501,Beruniy,Karakalpakstan,district_significance_city,1514387,60.752500,41.691110
1735250501,Bo`ston,Karakalpakstan,district_significance_city,1514306,60.913000,41.841000
1735240501,Chimboy,Karakalpakstan,district_significance_city,829960,59.781990,42.929520
1735204501,Manghit,Karakalpakstan,district_significance_city,1513245,60.059720,42.115560
1735222501,Muynoq,Karakalpakstan,district_significance_city,601299,59.021390,43.768330
1735401,Nukus,Karakalpakstan,regional_significance_city,601294,59.605760,42.458610
1735215501,Qunghirot,Karakalpakstan,district_significance_city,601323,58.839440,43.043330
1735243501,Shumanay,Karakalpakstan,district_significance_city,601278,58.913450,42.642810
1735228501,Taxiatosh,Karakalpakstan,district_significance_city,829958,59.569950,42.342500
1735233501,Turtkul,Karakalpakstan,district_significance_city,1512535,61.001110,41.554440
1735212505,Xalqobod,Karakalpakstan,district_significance_city,829963,59.735800,42.696960
1735236501,Xo'jayli,Karakalpakstan,district_significance_city,601339,59.445440,42.408810
1714236501,Chortoq,Namangan Region,district_significance_city,1514258,71.823720,41.069240
1714237501,Chust,Namangan Region,district_significance_city,1514192,71.237910,41.003290
1714216501,Haqqulobod,Namangan Region,district_significance_city,1513655,72.116670,40.916670
1714207501,Kosonsoy,Namangan Region,district_significance_city,1513714,71.547380,41.249440
1714401,Namangan,Namangan Region,regional_significance_city,1513157,71.672570,40.998300
1714219501,Pop,Namangan Region,district_significance_city,1513023,71.108890,40.873610
1714224501,To`raqo`rg`on,Namangan Region,district_significance_city,7536946,71.509080,40.938250
1714234501,Uchqurghon,Namangan Region,district_significance_city,1512501,72.079150,41.113710
1712412,Gʻozgʻon,Navoiy Region,regional_significance_city,1513992,65.494660,40.590780
1712401,Navoiy,Navoiy Region,regional_significance_city,1513131,65.379170,40.084440
1712238501,Nurota,Navoiy Region,district_significance_city,1513087,65.688610,40.561390
1712216501,Qiziltepa,Navoiy Region,district_significance_city,1513288,64.850000,40.033060
1712248501,Uchquduq,Navoiy Region,district_significance_city,1538231,63.552210,42.150010
1712251501,Yangirabot,Navoiy Region,district_significance_city,1512348,65.960950,40.025390
1712408,Zarafshon,Navoiy Region,regional_significance_city,1538230,64.194920,41.580010
1710224501,Beshkent,Qashqadaryo Region,district_significance_city,1217703,65.653060,38.821390
1710242501,Chiroqchi,Qashqadaryo Region,district_significance_city,1217540,66.572220,39.033610
1710207501,G'uzor,Qashqadaryo Region,district_significance_city,1217262,66.251520,38.621300
1710232501,Kitob,Qashqadaryo Region,district_significance_city,1216787,66.886050,39.121580
1710229501,Koson,Qashqadaryo Region,district_significance_city,1217007,65.585000,39.037500
1710234501,Muborak,Qashqadaryo Region,district_significance_city,1216475,65.152780,39.255280
1710220501,Qamashi,Qashqadaryo Region,district_significance_city,1217144,65.375750,38.834240
1710401,Qarshi,Qashqadaryo Region,regional_significance_city,1216311,65.789050,38.860560
1710405,Shahrisabz,Qashqadaryo Region,regional_significance_city,1216187,66.834170,39.057780
1710235505,Tallimarjon,Qashqadaryo Region,district_significance_city,1346490,65.554380,38.298470
1710250501,Yakkabog`,Qashqadaryo Region,district_significance_city,1216075,66.676390,38.980830
1710235501,Yangi-Nishon,Qashqadaryo Region,district_significance_city,1346493,65.689520,38.645010
1718206501,Bulung'ur,Samarqand Region,district_significance_city,1217658,67.274410,39.760030
1718224502,Chelak,Samarqand Region,district_significance_city,1217569,66.862280,39.920020
1718212501,Ishtixon,Samarqand Region,district_significance_city,1217215,66.486110,39.966390
1718209501,Jomboy,Samarqand Region,district_significance_city,1217414,67.093330,39.698890
1718227501,Juma,Samarqand Region,district_significance_city,1217362,66.664170,39.716110
1718406,Kattaqoʻrgʻon,Samarqand Region,regional_significance_city,1216982,66.265560,39.905460
1718235501,Nurobod,Samarqand Region,district_significance_city,1216080,66.286670,39.608610
1718218501,Oqtosh,Samarqand Region,district_significance_city,1217926,65.925280,39.921390
1718224501,Payariq,Samarqand Region,district_significance_city,1216430,66.850120,39.992490
1718401,Samarqand,Samarqand Region,regional_significance_city,1216265,66.964450,39.654560
1718236501,Urgut,Samarqand Region,district_significance_city,1215839,67.261180,39.419020
1724231503,Baxt,Sirdaryo Region,district_significance_city,1514471,68.693000,40.720000
1724401,Guliston,Sirdaryo Region,regional_significance_city,1513966,68.775420,40.495360
1724410,Shirin,Sirdaryo Region,regional_significance_city,1512808,69.149740,40.223430
1724231501,Sirdaryo,Sirdaryo Region,district_significance_city,1512770,68.661670,40.843610
1724413,Yangiyer,Sirdaryo Region,regional_significance_city,1512342,68.822500,40.275000
1722204501,Boysun,Surxondaryo Region,district_significance_city,1217734,67.206640,38.208350
1722210501,Denov,Surxondaryo Region,district_significance_city,1217474,67.898860,38.267460
1722212501,Jarqo`rg`on,Surxondaryo Region,district_significance_city,1217192,67.423330,37.508890
1722214501,Qumqo`rg`on,Surxondaryo Region,district_significance_city,1216686,67.578890,37.815280
1722217505,Sharg`un,Surxondaryo Region,district_significance_city,1216177,67.962910,38.464600
1722223501,Sherobod,Surxondaryo Region,district_significance_city,1216157,67.015000,37.673060
1722226501,Sho'rchi,Surxondaryo Region,district_significance_city,1216115,67.787500,37.999440
1722401,Termiz,Surxondaryo Region,regional_significance_city,1215957,67.278330,37.224170
1726,Tashkent,Tashkent,republican_significance_city,1512569,69.216270,41.264650
1727407,Angren,Tashkent Region,regional_significance_city,1514581,70.143610,41.016670
1727413,Bekobod,Tashkent Region,regional_significance_city,1514402,69.269720,40.220830
1727228501,Bo`ka,Tashkent Region,district_significance_city,1514330,69.194170,40.811080
1727256501,Chinoz,Tashkent Region,district_significance_city,1514215,68.761280,40.936330
1727419,Chirchiq,Tashkent Region,regional_significance_city,1514210,69.582220,41.468890
1727233501,Do`stobod,Tashkent Region,district_significance_city,1512762,68.929270,40.856790
1727224501,G'azalkent,Tashkent Region,district_significance_city,1513996,69.770830,41.558060
1727265501,Keles,Tashkent Region,district_significance_city,1513677,69.206670,41.403330
1727401,Nurafshon,Tashkent Region,regional_significance_city,1512524,69.362530,41.032100
1727415,Ohangaron,Tashkent Region,regional_significance_city,1513072,69.638330,40.906390
1727404,Olmaliq,Tashkent Region,regional_significance_city,1513064,69.598330,40.844720
1727206501,Oqqo'rg'on,Tashkent Region,district_significance_city,1514668,69.045830,40.877500
1727249501,Parkent,Tashkent Region,district_significance_city,1513017,69.676390,41.294440
1727250501,Piskent,Tashkent Region,district_significance_city,1512986,69.350560,40.897220
1727407505,Yangiobod,Tashkent Region,district_significance_city,1512372,70.094060,41.119190
1727424,Yangiyoʻl,Tashkent Region,regional_significance_city,1512339,69.047100,41.112020
1733220505,Pitnak,Xorazm Region,district_significance_city,1514140,61.306670,41.222220
1733401,Urganch,Xorazm Region,regional_significance_city,1512473,60.631430,41.551770
1733406,Xiva,Xorazm Region,regional_significance_city,1513604,60.364080,41.385550
