administrative_code,name,official_name,admin_area,city_level,geonames_id,feature_code,population,longitude,latitude
789996,Istok,Istog,佩奇地区,municipal_center,789996,PPLA2,40000,20.487500,42.780830
789455,Klina,Klinë,佩奇地区,municipal_center,789455,PPLA2,8050,20.577780,42.621670
787157,Pejë,Pejë,佩奇地区,municipal_center,787157,PPLA,48962,20.288280,42.659130
830390,Banja,Banja,佩奇地区,urban_town,830390,PPL,0,20.391390,42.726940
790674,Gjilan,Gjilan,吉兰地区,municipal_center,790674,PPLA,51912,21.469860,42.460450
789227,Kamenica,Kamenicë,吉兰地区,municipal_center,789227,PPLA2,9312,21.580280,42.578060
789427,Klokot,Kllokot,吉兰地区,municipal_center,789427,PPLA2,2551,21.374440,42.371390
787197,Partesh,Partesh,吉兰地区,municipal_center,787197,PPLA2,1787,21.433610,42.401940
786478,Ranilug,Ranillug,吉兰地区,municipal_center,786478,PPLA2,3785,21.598890,42.492220
784372,Vitina,Viti,吉兰地区,municipal_center,784372,PPLA2,46959,21.358330,42.321390
786714,Pristina,Prishtinë,普里什蒂纳地区,capital,786714,PPLC,550000,21.166880,42.672720
790701,Glogovac,Drenas,普里什蒂纳地区,municipal_center,790701,PPLA2,58579,20.893890,42.628330
789228,Kosovo Polje,Fushë Kosovë,普里什蒂纳地区,municipal_center,789228,PPLA2,16154,21.096110,42.663940
790265,Gračanica,Graçanicë,普里什蒂纳地区,municipal_center,790265,PPL,1000,21.195830,42.601110
788652,Lipljan,Lipjan,普里什蒂纳地区,municipal_center,788652,PPLA2,9047,21.125830,42.521670
787589,Novo Brdo,Novobërdë,普里什蒂纳地区,municipal_center,787589,PPLA2,6720,21.434050,42.615900
787534,Obiliq,Obiliq,普里什蒂纳地区,municipal_center,787534,PPLA2,11612,21.070280,42.686940
786950,Podujeva,Podujevë,普里什蒂纳地区,municipal_center,786950,PPLA2,35000,21.193060,42.910560
791122,Dragash,Dragash,普里兹伦地区,municipal_center,791122,PPLA2,35000,20.653330,42.026500
788239,Mališevo,Malishevë,普里兹伦地区,municipal_center,788239,PPLA2,2300,20.745830,42.482220
788187,Mamuša,Mamushë,普里兹伦地区,municipal_center,788187,PPLA2,5507,20.726940,42.330830
786712,Prizren,Prizren,普里兹伦地区,municipal_center,786712,PPLA,171464,20.739720,42.213890
785238,Suva Reka,Suharekë,普里兹伦地区,municipal_center,785238,PPLA2,72229,20.825000,42.358610
788731,Leposaviq,Leposaviq,米特罗维察地区,municipal_center,788731,PPLA2,19000,20.802780,43.103890
789225,Mitrovicë,Mitrovicë,米特罗维察地区,municipal_center,789225,PPLA,107045,20.866670,42.883330
785642,Srbica,Skënderaj,米特罗维察地区,municipal_center,785642,PPLA2,5089,20.788610,42.746670
784097,Vushtrri,Vushtrri,米特罗维察地区,municipal_center,784097,PPLA2,30651,20.967500,42.823060
783802,Zubin Potok,Zubin Potok,米特罗维察地区,municipal_center,783802,PPLA2,14900,20.689720,42.914440
783770,Zvečan,Zveçan,米特罗维察地区,municipal_center,783770,PPLA2,17000,20.840280,42.907500
788727,Leshak,Leshak,米特罗维察地区,urban_town,788727,PPL,0,20.742620,43.167300
784759,Ferizaj,Ferizaj,费里扎伊地区,municipal_center,784759,PPLA,59504,21.155280,42.370560
791539,Hani i Elezit,Hani i Elezit,费里扎伊地区,municipal_center,791539,PPLA2,9389,21.296670,42.150000
789721,Kačanik,Kaçanik,费里扎伊地区,municipal_center,789721,PPLA2,9800,21.259440,42.231940
785485,Shtime,Shtime,费里扎伊地区,municipal_center,785485,PPLA2,35000,21.039720,42.433060
785388,Štrpce,Shtërpcë,费里扎伊地区,municipal_center,785388,PPLA2,6913,21.027220,42.239440
791580,Deçan,Deçan,贾科维察地区,municipal_center,791580,PPLA2,50500,20.287930,42.540180
791646,Gjakovë,Gjakovë,贾科维察地区,municipal_center,791646,PPLA,94158,20.430830,42.380280
789739,Junik,Junik,贾科维察地区,municipal_center,789739,PPLA2,4,20.277220,42.475830
787456,Orahovac,Rahovec,贾科维察地区,municipal_center,787456,PPLA2,22049,20.654720,42.399440
