administrative_code,name,admin_area,city_level,geonames_id,feature_code,population,longitude,latitude
415189,Aden,亚丁省,governorate_capital,415189,PPLA,1079670,45.038520,12.779570
78964,Al Makhādir,伊卜省,district_seat,78964,PPLA2,0,44.197970,14.122240
78543,Al ‘Udayn,伊卜省,district_seat,78543,PPLA2,0,43.996730,13.969180
78379,An Nādirah,伊卜省,district_seat,78379,PPLA2,0,44.475590,14.096280
30762,Ar Ramādī,伊卜省,district_seat,30762,PPLA2,0,43.784570,13.956410
408846,Ar Raḑmah,伊卜省,district_seat,408846,PPLA2,0,44.586570,14.219730
408342,Ar Riḑā’ī,伊卜省,district_seat,408342,PPLA2,0,44.394090,14.017120
77881,As Saddah,伊卜省,district_seat,77881,PPLA2,0,44.421390,14.122100
77791,As Sayyānī,伊卜省,district_seat,77791,PPLA2,0,44.173950,13.842660
76154,Dhī as Sufāl,伊卜省,district_seat,76154,PPLA2,37997,44.114690,13.834460
74185,Jiblah,伊卜省,district_seat,74185,PPLA2,0,44.146680,13.921620
72561,Markaz Mudhaykirah,伊卜省,district_seat,72561,PPLA2,0,43.968800,13.889530
30696,Najd al Jamā‘ī,伊卜省,district_seat,30696,PPLA2,0,44.324460,13.915770
7356864,Qaryat ad Da‘īs,伊卜省,district_seat,7356864,PPLA2,0,44.274900,13.987700
71481,Riḩāb,伊卜省,district_seat,71481,PPLA2,0,44.188140,14.227620
69559,Yarīm,伊卜省,district_seat,69559,PPLA2,33050,44.377950,14.298040
30714,Z̧almah al ‘Ulyā,伊卜省,district_seat,30714,PPLA2,0,44.094040,14.102300
7360069,Ḩazm al ‘Udayn,伊卜省,district_seat,7360069,PPLA2,0,44.005260,14.027430
74477,Ibb,伊卜省,governorate_capital,74477,PPLA,771514,44.183330,13.966670
80331,Ad Dīs ash Sharqīyah,哈德拉毛省,district_seat,80331,PPLA2,0,49.948470,14.908400
77803,Al Bilād,哈德拉毛省,district_seat,77803,PPLA2,0,49.291670,16.138060
79845,Al Bāţinah,哈德拉毛省,district_seat,79845,PPLA2,0,48.433330,15.483330
72855,Al Jawl,哈德拉毛省,district_seat,72855,PPLA2,0,48.280660,14.456250
79478,Al Qaţan,哈德拉毛省,district_seat,79478,PPLA2,0,48.455560,15.840560
7931038,Al Shirūj,哈德拉毛省,district_seat,7931038,PPLA2,0,47.769260,14.685260
74785,Al ‘Abr,哈德拉毛省,district_seat,74785,PPLA2,0,47.235450,16.137700
8308729,Al ‘Ulayb,哈德拉毛省,district_seat,8308729,PPLA2,0,49.073250,15.147470
71549,Ar Raydah,哈德拉毛省,district_seat,71549,PPLA2,0,50.479170,15.035000
74499,As Salāsil,哈德拉毛省,district_seat,74499,PPLA2,0,48.831530,16.479590
30490,Ash Shiḩr,哈德拉毛省,district_seat,30490,PPLA2,0,49.605370,14.760260
80383,Az̧ Z̧alī‘ah,哈德拉毛省,district_seat,80383,PPLA2,0,48.016670,15.016670
76699,Burūm,哈德拉毛省,district_seat,76699,PPLA2,0,48.979720,14.363610
75618,Ghayl Bā Wazīr,哈德拉毛省,district_seat,75618,PPLA2,21259,49.366110,14.776110
72647,Minwakh,哈德拉毛省,district_seat,72647,PPLA2,0,48.108540,16.800350
7930439,Rumāh,哈德拉毛省,district_seat,7930439,PPLA2,0,50.577890,17.455320
71282,Sāh,哈德拉毛省,district_seat,71282,PPLA2,0,48.850560,15.577220
70160,Tarim,哈德拉毛省,district_seat,70160,PPLA2,0,48.998890,16.056940
70080,Thamūd,哈德拉毛省,district_seat,70080,PPLA2,0,49.919470,17.292450
71136,Şanā’,哈德拉毛省,district_seat,71136,PPLA2,0,47.766670,15.400000
70551,Şīf,哈德拉毛省,district_seat,70551,PPLA2,0,48.330000,15.313890
79609,Ḩajar al Mashā’ikh,哈德拉毛省,district_seat,79609,PPLA2,0,47.832300,16.139510
79393,Ḩurayḑah,哈德拉毛省,district_seat,79393,PPLA2,0,48.182780,15.598610
78448,‘Amd,哈德拉毛省,district_seat,78448,PPLA2,0,47.983330,15.300000
78754,Mukalla,哈德拉毛省,governorate_capital,78754,PPLA,594951,49.124240,14.542480
70676,Shibām,哈德拉毛省,populated_place_5000_plus,70676,PPL,7000,48.626670,15.926940
70357,Abs,哈杰省,district_seat,70357,PPLA2,0,43.197250,16.002950
407094,Al Jamīmah,哈杰省,district_seat,407094,PPLA2,0,43.596470,16.017870
