administrative_code,name,admin_area,city_level,geonames_id,longitude,latitude
63000,台北市,台湾,municipality,1668341,121.526390,25.053060
65000,新北市,台湾,municipality,12908892,121.457030,25.061990
68000,桃园市,台湾,municipality,6696918,121.296960,24.993680
66000,台中市,台湾,municipality,1668399,120.683900,24.146900
67000,台南市,台湾,municipality,1668355,120.213330,22.990830
64000,高雄市,台湾,municipality,1673820,120.313330,22.616260
10017,基隆市,台湾,provincial_city,1678228,121.740940,25.130890
10018,新竹市,台湾,provincial_city,1675151,120.968610,24.803610
10020,嘉义市,台湾,provincial_city,1678836,120.448890,23.479170
10002010,宜兰市,台湾,county_administered_city,1674199,121.756933,24.750314
10004010,竹北市,台湾,county_administered_city,1677112,120.994091,24.838542
10005010,苗栗市,台湾,county_administered_city,1671971,120.811231,24.563930
10005050,头份市,台湾,county_administered_city,1667027,120.918962,24.676393
10007010,彰化市,台湾,county_administered_city,1993459,120.569396,24.075426
10007100,员林市,台湾,county_administered_city,1665443,120.593096,23.956602
10008010,南投市,台湾,county_administered_city,1671566,120.678818,23.921805
10009010,斗六市,台湾,county_administered_city,1665196,120.560089,23.706613
10010010,太保市,台湾,county_administered_city,1668347,120.343942,23.473006
10010020,朴子市,台湾,county_administered_city,,120.253848,23.446150
10013010,屏东市,台湾,county_administered_city,1670481,120.479992,22.664838
10014010,台东市,台湾,county_administered_city,1668295,121.110557,22.751694
10015010,花莲市,台湾,county_administered_city,1674504,121.608703,23.996299
10016010,马公市,台湾,county_administered_city,1672228,119.585639,23.545640
